,college_index
0,3
1,17
2,23
3,26
4,65
5,67
6,72
7,77
8,78
9,104
10,117
11,121
12,125
13,129
14,134
15,137
16,141
17,152
18,155
19,164
20,171
21,184
22,185
23,187
24,199
25,200
26,207
27,212
28,217
29,218
30,237
31,238
32,239
33,248
34,263
35,264
36,267
37,269
38,273
39,280
40,285
41,288
42,289
43,291
44,293
45,294
46,300
47,309
48,313
49,314
50,315
51,318
52,326
53,338
54,339
55,356
56,361
57,362
58,367
59,385
60,386
61,403
62,408
63,425
64,426
65,440
66,443
67,455
68,483
69,485
70,512
71,521
72,539
73,541
74,558
75,569
76,583
77,584
