name,homepage,scholar_id,citations,h-index,earliest_paper
Nikolay A. Atanasov,https://natanaso.github.io,RTkSatQAAAAJ,2506.0,23.0,2007.0
Henrik Wann Jensen,http://graphics.ucsd.edu/~henrik,vthMwawAAAAJ,14296.0,50.0,1994.0
Steven Dow,http://spdow.ucsd.edu,ywTbDsQAAAAJ,6024.0,41.0,1997.0
Melissa Gymrek,http://gymreklab.com/index.html,nonLWiYAAAAJ,6347.0,30.0,2010.0
Edward Jay Wang,https://www.ejaywang.com,W2EHn7gAAAAJ,614.0,12.0,2005.0
Nicholas G. Gravish,http://web.eng.ucsd.edu/~ngravish,AEWTj-4AAAAJ,2665.0,25.0,2006.0
Babak Salimi,https://bsalimi.github.io,KC8hpXkAAAAJ,423.0,11.0,2014.0
George Papen,https://profiles.ucsd.edu/george.papen,,,,
Dinesh Bharadia,https://web.eng.ucsd.edu/~dineshb,5SjaXJsAAAAJ,8675.0,30.0,2011.0
James D. Hollan,http://hci.ucsd.edu/hollan,LOFYnLkAAAAJ,13451.0,36.0,1974.0
Tsui-Wei Weng,https://lilyweng.github.io,v8GM4xoAAAAJ,1909.0,14.0,2011.0
Yeshaiahu Fainman,https://cns.ucsd.edu/yeshaiyahu-shaya-fainman,oJwZRiYAAAAJ,20691.0,70.0,1981.0
Sidney Karin,http://www.sdsc.edu/~skarin,jDl3sroAAAAJ,1160.0,15.0,2000.0
Jingbo Shang,https://shangjingbo1226.github.io,0SkFI4MAAAAJ,2634.0,21.0,2014.0
Ryan Kastner,http://kastner.ucsd.edu,lfLiQmcAAAAJ,7549.0,44.0,2000.0
Mai ElSherief,https://mayelsherif.github.io/melsherif,Rykl2HkAAAAJ,782.0,9.0,
Sicun Gao,https://scungao.github.io,UmyrEtcAAAAJ,1968.0,17.0,2009.0
Thomas Bewley,http://fccr.ucsd.edu/Bewley.html,,,,
Behrouz Touri,http://eceweb.ucsd.edu/~btouri,W1BHaOwAAAAJ,1312.0,21.0,2009.0
Deian Stefan,https://cseweb.ucsd.edu/~dstefan,qTVj7nwAAAAJ,2467.0,28.0,2007.0
F. R. K. Chung,http://math.ucsd.edu/~fan,7hPnuFQAAAAJ,86329.0,145.0,1974.0
Rob Knight,https://knightlab.ucsd.edu,_e3QL94AAAAJ,306686.0,210.0,1997.0
Stanley Williamson,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=127,dAFE2L8AAAAJ,73837.0,121.0,1973.0
Ingolf H. Krüger,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=199,,,,
Andrew B. Kahng,http://vlsicad.ucsd.edu/~abk,IUSnNG0AAAAJ,31200.0,86.0,1989.0
Qi Rose Yu,http://roseyu.com,4HTITaMAAAAJ,3422.0,20.0,2011.0
Kristen Vaccaro,http://kvaccaro.com,O5s8ApsAAAAJ,1137.0,10.0,1997.0
Berk Ustun,https://www.berkustun.com,6z_XWYcAAAAJ,1625.0,14.0,2012.0
Garrison W. Cottrell,https://cseweb.ucsd.edu/~gary,5Aut7EEAAAAJ,21968.0,59.0,1964.0
Lilly C. Irani,https://quote.ucsd.edu/lirani,FGWYdYUAAAAJ,7006.0,31.0,2002.0
Yannis Papakonstantinou,http://db.ucsd.edu/People/yannis.htm,81cvn3sAAAAJ,18108.0,54.0,1994.0
Joseph Pasquale,https://cseweb.ucsd.edu/~pasquale,8lkdGgsAAAAJ,4475.0,29.0,1994.0
Joe Gibbs Politz,https://jpolitz.github.io,WKvmSlYAAAAJ,562.0,11.0,2004.0
Rajesh Gupta,http://mesl.ucsd.edu/gupta,I1w51gUAAAAJ,23105.0,72.0,
Mikhail Belkin,https://datascience.ucsd.edu/staff-members/mikhail-belkin,Iwd9DdkAAAAJ,29634.0,46.0,1999.0
Daniel Kane,https://cseweb.ucsd.edu/~dakane,DulpV-cAAAAJ,4825.0,36.0,2004.0
Larry Carter,https://cseweb.ucsd.edu/~carter,,,,
Walter A. Burkhard,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=100,,,,
Ranjit Jhala,https://ranjitjhala.github.io,H3wb878AAAAJ,12413.0,47.0,2000.0
Carlos Jensen,https://www.linkedin.com/in/carlos-jensen-356145,v7fzzssAAAAJ,3608.0,29.0,2000.0
Philip J. Guo,http://pgbovine.net,CKXeqHoAAAAJ,9535.0,41.0,2000.0
Ndapa Nakashole,http://nakashole.com,_8Nqf-cAAAAJ,2424.0,17.0,2000.0
Zhuowen Tu,http://pages.ucsd.edu/~ztu,9oz-dvgAAAAJ,32292.0,65.0,2000.0
Nuno Vasconcelos,http://www.svcl.ucsd.edu/~nuno,Fykyo9gAAAAJ,26759.0,79.0,2000.0
Imani N. Sherman,https://www.cise.ufl.edu/~isherman,LKa7Qs0AAAAJ,92.0,5.0,2000.0
Leon Bergen,http://ling.ucsd.edu/people/faculty/profiles/LeonBergen.html,0FclEuAAAAAJ,1720.0,14.0,2000.0
Yuanyuan (YY) Zhou,https://cseweb.ucsd.edu/~yyzhou,rWl0U0oAAAAJ,17461.0,66.0,2000.0
Arya Mazumdar,http://mazumdar.ucsd.edu,9tjQU1EAAAAJ,1907.0,22.0,2000.0
Laurel D. Riek,https://cseweb.ucsd.edu/~lriek,W6zy3tkAAAAJ,3405.0,30.0,2000.0
Yoav Freund,https://cseweb.ucsd.edu/~yfreund,NFdG-GMAAAAJ,66027.0,50.0,2000.0
Dean M. Tullsen,https://cseweb.ucsd.edu/~tullsen,BEEuinQAAAAJ,20726.0,59.0,2000.0
Russell Impagliazzo,https://cseweb.ucsd.edu/~russell,VwQRddkAAAAJ,20093.0,60.0,2000.0
H. L. Graham,https://cseweb.ucsd.edu/~rgraham,qrPaF3QAAAAJ,69582.0,84.0,2000.0
Ravi Ramamoorthi,https://cseweb.ucsd.edu/~ravir,q0MzO6cAAAAJ,19539.0,71.0,2000.0
Nadia Polikarpova,https://cseweb.ucsd.edu/~npolikarpova,CxzUX0EAAAAJ,1045.0,16.0,2000.0
Nuno Bandeira,https://cseweb.ucsd.edu/~nbandeir,bQvh6GhvDPQC,12458.0,48.0,2000.0
Nadia Heninger,https://cseweb.ucsd.edu/~nadiah,okx33sUAAAAJ,5334.0,26.0,2000.0
Mihir Bellare,https://cseweb.ucsd.edu/~mihir,2pW1g5IAAAAJ,63110.0,110.0,2000.0
Ramamohan Paturi,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=118,,,,
Jishen Zhao,https://cseweb.ucsd.edu/~jzhao,MtkNrygAAAAJ,1683.0,18.0,2000.0
Alon Orlitsky,http://jacobsdev.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=54,WUEjHB8AAAAJ,5149.0,37.0,2000.0
Alexander Vardy,http://jacobsdev.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=76,WtalCkkAAAAJ,15510.0,58.0,2000.0
Sylvia L. Herbert,http://sylviaherbert.com,IUH8CWEAAAAJ,1041.0,14.0,2000.0
Sanjoy Dasgupta,http://cseweb.ucsd.edu/~dasgupta,E5dXOFAAAAAJ,12323.0,40.0,2000.0
Siavash Mirarab,http://eceweb.ucsd.edu/~smirarab,uxSj18QAAAAJ,13201.0,48.0,2000.0
Don Norman,http://www.jnd.org,h-2JebwAAAAJ,132803.0,104.0,2000.0
Victor Vianu,https://cseweb.ucsd.edu/~vianu,CK_GLC8AAAAJ,13926.0,47.0,1977.0
Henrik I. Christensen,http://www.hichristensen.net,MA8rI0MAAAAJ,16390.0,66.0,1972.0
Kamalika Chaudhuri,http://cseweb.ucsd.edu/~kamalika,I-DJ7EsAAAAJ,8238.0,40.0,2003.0
David J. Kriegman,http://cseweb.ucsd.edu/~kriegman,EqetexsAAAAJ,51236.0,72.0,1980.0
Chung-Kuan Cheng,http://cseweb.ucsd.edu/~kuan,OogCTloAAAAJ,9563.0,47.0,1983.0
Sorin Lerner,http://cseweb.ucsd.edu/~lerner,C6Pd5zoAAAAJ,4683.0,29.0,1968.0
Yusu Wang,http://yusu.belkin-wang.org,L7jhqMIAAAAJ,4389.0,38.0,2001.0
Virginia R. de Sa,http://cogsci.ucsd.edu/~desa,UVzXKcIAAAAJ,3314.0,24.0,1988.0
Pavel A. Pevzner,http://cseweb.ucsd.edu/~ppevzner,0fq5QeIAAAAJ,71461.0,99.0,1987.0
Lawrence K. Saul,http://cseweb.ucsd.edu/~saul,Hft_8cgAAAAJ,42677.0,49.0,1992.0
