name,homepage,scholar_id,citations,h-index
Anru R. Zhang,https://anruzhang.github.io,H-PvgRsAAAAJ,2030.0,23.0
Brandon Fain,https://sites.duke.edu/btfain/,ldd8O18AAAAJ,297.0,6.0
Lisa Wu,https://www.lisawuwills.com,bAhJeo0AAAAJ,,
Michael K. Reiter,https://reitermk.github.io,qAKfQW0AAAAJ,,
Maciej A. Mazurowski,https://sites.duke.edu/mazurowski/,HlxjJPQAAAAJ,5451.0,32.0
Rebecca C. Steorts,https://resteorts.github.io/,EdgSKFEAAAAJ,1930.0,14.0
Alberto Bartesaghi,http://cryoem.cs.duke.edu/,vpf-lMkAAAAJ,6206.0,32.0
Bruce Randall Donald,https://www.cs.duke.edu/brd,TkayRqQAAAAJ,13122.0,63.0
Allison J. B. Chaney,http://ajbc.io/,EWlUGVcAAAAJ,786.0,7.0
Hai (Helen) Li,http://cei.pratt.duke.edu/people/hai-li,E6Tpfq8AAAAJ,15175.0,56.0
Alicia Nicki Washington,https://nickiwashington.com/,tMF4ixEAAAAJ,238.0,9.0
Fan Zhang,https://www.fanzhang.me/,YTokrfkAAAAJ,2943.0,15.0
Scott C. Schmidler,http://www2.stat.duke.edu/~scs/,NOSCHOLARPAGE,,
Katherine Heller,http://www2.stat.duke.edu/~kheller,WOAlvmoAAAAJ,4584.0,35.0
Ashwin Machanavajjhala,https://users.cs.duke.edu/~ashwin,A0hv6xwAAAAJ,12704.0,39.0
David E. Carlson,http://carlson.pratt.duke.edu,R9FqK9cAAAAJ,2611.0,26.0
Alexander J. Hartemink,https://users.cs.duke.edu/~amink,HLRZ3oAAAAAJ,11326.0,47.0
Bruce M. Maggs,https://users.cs.duke.edu/~bmm,Gwrwxa0AAAAJ,13943.0,56.0
Maria Gorlatova,https://ece.duke.edu/faculty/maria-gorlatova,h_DY5OQAAAAJ,1734.0,19.0
Benjamin Rossman,https://users.cs.duke.edu/~br148/,NOSCHOLARPAGE,,
David Page,https://scholars.duke.edu/person/david.page,z-P08tgAAAAJ,10797.0,44.0
Cynthia Rudin,https://users.cs.duke.edu/~cynthia/home.html,mezKJyoAAAAJ,11939.0,48.0
Debmalya Panigrahi,https://users.cs.duke.edu/~debmalya,syv4e-EAAAAJ,1809.0,26.0
Jun Yang,https://users.cs.duke.edu/~junyang,NOSCHOLARPAGE,,
Kamesh Munagala,https://users.cs.duke.edu/~kamesh,PJQPzgcAAAAJ,6690.0,43.0
Alex Volfovsky,https://volfovsky.github.io/,9qHFzDoAAAAJ,1373.0,12.0
Jeffrey S. Chase,https://users.cs.duke.edu/~chase,SOISrB0AAAAJ,17296.0,63.0
Alvin R. Lebeck,https://users.cs.duke.edu/~alvy,6s2hs3oAAAAJ,7610.0,38.0
Neil Zhenqiang Gong,http://people.duke.edu/~zg70,t6uCsYoAAAAJ,4403.0,33.0
Kartik Nayak,https://users.cs.duke.edu/~kartik,JEyz8wEAAAAJ,2306.0,19.0
Pankaj K. Agarwal,https://users.cs.duke.edu/~pankaj,xe0eVksAAAAJ,27215.0,80.0
Lawrence Carin,http://people.ee.duke.edu/~lcarin,2nmHOtoAAAAJ,,
Sam Wiseman,https://swiseman.github.io/,SDavuPAAAAAJ,1961.0,14.0
Michael M. Zavlanos,http://people.duke.edu/~mz61/,gqtM2HwAAAAJ,5394.0,35.0
Miroslav Pajic,http://people.duke.edu/~mp275,Fbn21-8AAAAJ,3962.0,33.0
Jennifer M. Groh,http://people.duke.edu/~jmgroh/,n_BMt9AAAAAJ,3183.0,29.0
Yiran Chen,https://ece.duke.edu/faculty/yiran-chen,3G-nnjMAAAAJ,21157.0,71.0
Mary L. Cummings,http://hal.pratt.duke.edu/,TqARAGcAAAAJ,6812.0,43.0
John Board,https://ece.duke.edu/faculty/john-board,G4sm_HQAAAAJ,2674.0,20.0
A. Robert Calderbank,https://ece.duke.edu/faculty/robert-calderbank,NOSCHOLARPAGE,,
Sina Farsiu,http://people.duke.edu/~sf59/,mzcr92sAAAAJ,17065.0,61.0
Ronald E. Parr,https://users.cs.duke.edu/~parr,b-GJ3QIAAAAJ,9878.0,43.0
Raluca Gordân,http://gordanlab.cs.duke.edu/,SV2GPKwAAAAJ,3672.0,26.0
Guillermo Sapiro,https://ece.duke.edu/faculty/guillermo-sapiro,ISRNX3gAAAAJ,74465.0,110.0
Krishnendu Chakrabarty,http://people.ee.duke.edu/~krish,R_VPUyEAAAAJ,33404.0,86.0
Rong Ge,https://users.cs.duke.edu/~rongge,MVxcjEoAAAAJ,10452.0,39.0
Daniel J. Sorin,http://people.ee.duke.edu/~sorin,bsoRFLAAAAAJ,8279.0,43.0
Sudeepa Roy,https://users.cs.duke.edu/~sudeepa,vzfO5TwAAAAJ,1330.0,18.0
Bhuwan Dhingra,http://www.cs.cmu.edu/~bdhingra/,2W2ttrQAAAAJ,,
Sayan Mukherjee,https://sayanmuk.github.io/,R94cBVgAAAAJ,54067.0,59.0
Xiaobai Sun,http://www.cs.duke.edu/people/women/individual/sun.php,NOSCHOLARPAGE,,
Amanda Randles,http://randleslab.pratt.duke.edu/,CSrcYkIAAAAJ,4342.0,31.0
Danyang Zhuo,https://danyangzhuo.com,E3yOuvEAAAAJ,365.0,10.0
