name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mario Di Francesco,Aalto University,https://users.aalto.fi/~difram1,xuJ3KAYAAAAJ,7480.0,30.0,2005.0
Mikko Kivelä,Aalto University,https://people.aalto.fi/new/mikko.kivela,Z3913I0AAAAJ,7068.0,19.0,2007.0
Parinya Chalermsook,Aalto University,https://people.aalto.fi/new/parinya.chalermsook,Cw6NQasAAAAJ,781.0,15.0,2004.0
Andrés A. Lucero,Aalto University,http://funkydesignspaces.com,YdNEAwoAAAAJ,3962.0,34.0,2004.0
Harri Lähdesmäki,Aalto University,https://users.ics.aalto.fi/harrila,,,,
Jukka Suomela,Aalto University,https://jukkasuomela.fi,hTZOWl8AAAAJ,2451.0,26.0,2005.0
Marjo Kauppinen,Aalto University,https://people.aalto.fi/new/marjo.kauppinen,Wo8x6EUAAAAJ,1801.0,19.0,2001.0
Samuel Kaski,Aalto University,https://users.ics.aalto.fi/sami,,,,
Eero Hyvönen,Aalto University,https://seco.cs.aalto.fi/u/eahyvone,FqbJBcsAAAAJ,6637.0,39.0,1981.0
Kari Smolander,Aalto University,https://people.aalto.fi/new/kari.smolander,f1w2dAwAAAAJ,5601.0,36.0,1989.0
Alex Jung,Aalto University,https://users.aalto.fi/~junga1,mHjdZdwAAAAJ,1072.0,16.0,2002.0
Tapio Lokki,Aalto University,https://users.aalto.fi/~ktlokki,vz4vC1cAAAAJ,5490.0,37.0,1986.0
Casper Lassenius,Aalto University,https://people.aalto.fi/casper_lassenius,rQHJ67UAAAAJ,6606.0,45.0,1994.0
Tuomas Aura,Aalto University,https://people.aalto.fi/new/tuomas.aura,izj4P5gAAAAJ,6062.0,39.0,1995.0
Jara Uitto,Aalto University,https://users.aalto.fi/~uittoj3,yzmXt14AAAAJ,783.0,16.0,2009.0
Marko H. T. Nieminen,Aalto University,https://users.aalto.fi/~mhtn/home,ouIgYzsAAAAJ,3668.0,25.0,1991.0
