name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Amanda Clare,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/afc,dsmbrisAAAAJ,3357.0,21.0,2000.0
António dos Anjos,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/ara11,vmlD9VYAAAAJ,314.0,8.0,2008.0
Edel Sherratt,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/eds,,,,
Chuan Lu,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/cul,tvY6seQAAAAJ,2938.0,27.0,2001.0
Frédéric Labrosse,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/ffl,,,,
N. A. Snooke,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/nns,,,,
Bernard Paul Tiddeman,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/bpt,pQHTi7UAAAAJ,5583.0,31.0,1998.0
Helen C. Miles,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/hem23,OWuu1f0AAAAJ,419.0,8.0,2011.0
Dimitris P. Tsakiris,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/dit5,05r1hHoAAAAJ,1712.0,25.0,
Christine Zarges,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/chz8,lDm_Kf4AAAAJ,1024.0,19.0,2005.0
Neil Mac Parthaláin,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/ncm,Um3skD0AAAAJ,1155.0,17.0,2005.0
Patricia Shaw,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/phs,4nu22CcAAAAJ,275.0,10.0,2007.0
Qiang Shen,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/qqs,bew3SPIAAAAJ,13153.0,50.0,1970.0
Richard Jensen,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/rkj,_nYdqsoAAAAJ,7657.0,37.0,2001.0
Hannah Dee,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/hmd1,qu8qeygAAAAJ,969.0,15.0,1999.0
Thomas Jansen,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/thj10,eXdrAtQAAAAJ,4524.0,34.0,1998.0
Chris J. Price,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/cjp,,,,
Reyer Zwiggelaar,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/rrz,NZldyesAAAAJ,5403.0,34.0,1989.0
Myra S. Wilson,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/mxw,,,,
