name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Kenneth M. Hopkinson,Air Force Institute of Technology,https://www.afit.edu/BIOS/bio.cfm?facID=87,,,,
Alan C. Lin,Air Force Institute of Technology,https://scholar.afit.edu/etd/index.26.html,,,,
Jason M. Bindewald,Air Force Institute of Technology,https://scholar.afit.edu/docs/21,tc9vapAAAAAJ,185.0,9.0,2012.0
Laurence D. Merkle,Air Force Institute of Technology,http://afit.academia.edu/xphileprof,42Qq_JwAAAAJ,885.0,16.0,1992.0
Brett J. Borghetti,Air Force Institute of Technology,https://www.afit.edu/BIOS/bio.cfm?facID=18,Z6vGQasAAAAJ,930.0,14.0,1996.0
Gilbert L. Peterson,Air Force Institute of Technology,https://www.afit.edu/BIOS/bio.cfm?facID=172,,,,
John M. Pecarina,Air Force Institute of Technology,https://apps.dtic.mil/dtic/tr/fulltext/u2/1054676.pdf,cbWT7R8AAAAJ,294.0,11.0,2008.0
Scott L. Nykl,Air Force Institute of Technology,https://www.afit.edu/BIOS/bio.cfm?facID=268,R06F8XQAAAAJ,272.0,10.0,2008.0
Mason Rice,Air Force Institute of Technology,https://www.afit.edu/docs/AFIT-ENG-MS-16-M-016.pdf,,,,
Mark Reith,Air Force Institute of Technology,https://www.afit.edu/BIOS/bio.cfm?facID=297,,,,
