name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mohamed El Baker Nassar,American University of Beirut,http://www.aub.edu.lb/pages/profile.aspx?memberId=mn115,GrvxLaUAAAAJ,667.0,15.0,2006.0
Fatima Abu Salem,American University of Beirut,http://www.cs.aub.edu.lb/fa21,,,,
Mohamad Jaber,American University of Beirut,https://www.aub.edu.lb/fas/cs/people/Pages/mj54.aspx,k5WqqOcAAAAJ,1162.0,15.0,2008.0
Ibrahim Issa,American University of Beirut,http://www.aub.edu.lb/pages/profile.aspx?memberId=ii19,6odfSA4AAAAJ,379.0,10.0,2011.0
Paul C. Attie,American University of Beirut,http://www.cs.aub.edu.lb/pa07,weh0F3wAAAAJ,1703.0,20.0,1989.0
Ali Chehab,American University of Beirut,https://website.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?MemberId=chehab,pu2imbMAAAAJ,4844.0,33.0,2002.0
George M. Turkiyyah,American University of Beirut,https://www.aub.edu.lb/fas/cs/people/Pages/gt02.aspx,hJEdkhYAAAAJ,2064.0,24.0,1974.0
Shady Elbassuoni,American University of Beirut,https://www.aub.edu.lb/fas/cs/people/Pages/se58.aspx,Fe8iIHMAAAAJ,2475.0,22.0,2008.0
Wassim El-Hajj,American University of Beirut,http://staff.aub.edu.lb/~we07,QidtvQgAAAAJ,2747.0,29.0,1970.0
Hassan A. Artail,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?memberid=ha27,Gm0ZtJcAAAAJ,4292.0,34.0,1997.0
Wes Masri,American University of Beirut,http://www.aub.edu.lb/fea/wm13,BQM2KwcAAAAJ,2167.0,20.0,1990.0
Ibrahim C. Abou-Faycal,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?memberid=ia14,EwLgoU8AAAAJ,1080.0,14.0,1996.0
Hazem M. Hajj,American University of Beirut,http://feaweb.aub.edu.lb/personalwebsites/hhajj,QidtvQgAAAAJ,2747.0,29.0,1970.0
Fadi A. Zaraket,American University of Beirut,http://research-fadi.aub.edu.lb,1e2w_FoAAAAJ,569.0,13.0,2003.0
Haïdar Safa,American University of Beirut,https://www.aub.edu.lb/fas/cs/people/Pages/hs33.aspx,THYMTJMAAAAJ,1676.0,23.0,1996.0
Louay Bazzi,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?MemberId=lb13,9oNkK7YAAAAJ,576.0,9.0,1998.0
Imad Elhajj,American University of Beirut,http://www.aub.edu.lb/~ie05,wJJeWOEAAAAJ,5053.0,34.0,1999.0
Izzat El Hajj,American University of Beirut,http://www.aub.edu.lb/pages/profile.aspx?memberid=ie22,_VVw504AAAAJ,706.0,13.0,2012.0
Haitham Akkary,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?MemberId=ha95,IOoBNcsAAAAJ,4318.0,35.0,1995.0
Ayman I. Kayssi,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?MemberId=ayman,JzsqVaMAAAAJ,4165.0,32.0,1991.0
Ahmad R. Dhaini,American University of Beirut,http://staff.aub.edu.lb/~ad57,SoP_HnYAAAAJ,1167.0,18.0,2004.0
Mariette Awad,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?memberid=ma162,pF_1j1IAAAAJ,4776.0,20.0,1999.0
Amer E. Mouawad,American University of Beirut,http://www.aub.edu.lb/pages/profile.aspx?memberId=aa368,MK6WseUAAAAJ,667.0,15.0,2010.0
