name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Bernardo Pereira Nunes,Australian National University,https://comp.anu.edu.au/people/bernardo-nunes/,bPVrW_UAAAAJ,1068.0,16.0,2008.0
Michael Norrish,Australian National University,https://cecs.anu.edu.au/people/michael-norrish,Ymd4ZfYAAAAJ,5080.0,24.0,1996.0
Bui Quang Minh,Australian National University,https://cecs.anu.edu.au/people/minh-bui,UI0xN_QAAAAJ,27616.0,26.0,2005.0
Jennyfer Lawrence Taylor,Australian National University,https://comp.anu.edu.au/people/jennyfer-taylor/,YojqErAAAAAJ,208.0,9.0,2015.0
Giuseppe M. J. Barca,Australian National University,https://comp.anu.edu.au/people/giuseppe-barca/,bdx0QCoAAAAJ,700.0,12.0,2014.0
Alex Potanin,Australian National University,https://comp.anu.edu.au/people/alex-potanin/,NUl2HRkAAAAJ,1347.0,21.0,2002.0
Patrik Haslum,Australian National University,https://cs.anu.edu.au/people/patrik-haslum,XqbCCJIAAAAJ,3832.0,30.0,1999.0
Charles Martin,Australian National University,http://cs.anu.edu.au/people/charles-martin,mTlH4G8AAAAJ,324.0,10.0,2008.0
Felipe Trevizan,Australian National University,https://comp.anu.edu.au/people/felipe-trevizan/,AG1PRG4AAAAJ,425.0,11.0,2004.0
Zhenchang Xing,Australian National University,https://cecs.anu.edu.au/people/zhenchang-xing,0vCxuH4AAAAJ,5493.0,41.0,2003.0
Genevieve Bell,Australian National University,https://cybernetics.anu.edu.au/people/genevieve-bell/,NOSCHOLARPAGE,,,
Alexandra Zafiroglu,Australian National University,https://cybernetics.anu.edu.au/people/alex-zafiroglu/,NOSCHOLARPAGE,,,
Melina C. Vidoni,Australian National University,https://comp.anu.edu.au/people/melina-vidoni/,Th-fldcAAAAJ,75.0,4.0,2012.0
Bob McKay,Australian National University,https://cecs.anu.edu.au/people/robert-ian-mckay,BphNXV8AAAAJ,10805.0,51.0,
Josh Andres,Australian National University,https://cybernetics.anu.edu.au/people/josh-andres/,NOSCHOLARPAGE,,,
Peter Christen,Australian National University,https://cs.anu.edu.au/people/peter-christen,oz-2CXsAAAAJ,14054.0,47.0,1998.0
Alwen Fernanto Tiu,Australian National University,https://cecs.anu.edu.au/people/alwen-tiu,92pa9z8AAAAJ,2336.0,27.0,1961.0
Armin Haller,Australian National University,https://cs.anu.edu.au/people/armin-haller,BehUprAAAAAJ,2641.0,24.0,1987.0
Nisansala Yatapanage,Australian National University,https://comp.anu.edu.au/people/nisansala-yatapanage/,_Kgwm9YAAAAJ,277.0,9.0,2003.0
Penny Kyburz,Australian National University,https://cs.anu.edu.au/people/penny-kyburz,mrvBuvsAAAAJ,3978.0,18.0,2002.0
Nick Barnes,Australian National University,https://comp.anu.edu.au/people/nick-barnes/,yMXs1WcAAAAJ,5589.0,35.0,1995.0
Priscilla Kan John,Australian National University,https://cs.anu.edu.au/people/priscilla-kan-john,NOSCHOLARPAGE,,,
Rajeev Goré,Australian National University,https://cs.anu.edu.au/people/rajeev-gore,2lWIhEgAAAAJ,2770.0,27.0,1989.0
Thomas Haines,Australian National University,https://comp.anu.edu.au/people/thomas-haines/,bbt2PloAAAAJ,211.0,7.0,2016.0
