name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sougata Sen,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/sougatas/profile,IEy_zGEAAAAJ,581.0,13.0,2007.0
Sujith Thomas,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/sujitht/profile,rGAO0sUAAAAJ,14.0,2.0,2007.0
Basabdatta Sen Bhattacharya,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/basabdattab/profile,M2PFto0AAAAJ,519.0,12.0,2006.0
Biju K. Raveendran,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/biju/profile,wpRpGpwAAAAJ,120.0,6.0,2006.0
Bharat Deshpande,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/bmd/profile,dEH3K6UAAAAJ,227.0,8.0,1995.0
Sravan Danda,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/dandas/profile,5kSGWFoAAAAJ,65.0,5.0,2016.0
Neena Goveas,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/neena/profile,if0NqpMAAAAJ,89.0,6.0,1994.0
Pritam Bhattacharya,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/pritamb/profile,1v9Zj2oAAAA,,,
Kanchan Manna,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/kanchanm/profile,52Dr_LAAAAAJ,442.0,11.0,2008.0
Soumyadip Bandyopadhyay,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/soumyadipb/profile,P_crwNgAAAAJ,116.0,6.0,2010.0
Shubhangi K. Gawali,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/shubhangi/profile,2hDkzdgAAAAJ,41.0,3.0,2016.0
Hemant Rathore,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/hemantr/profile,NOSCHOLARPAGE,,,
Snehanshu Saha,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/snehanshus/profile,C-Qm2LcAAAAJ,1163.0,15.0,1987.0
Ramprasad Joshi,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/rsj/profile,2Sv-n_sAAAAJ,67.0,4.0,2008.0
Ashwin Srinivasan,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/ashwin/profile,zpNTeogAAAAJ,6560.0,40.0,1967.0
Abhishek Kr Singh,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abhishekks/profile,ps296UkAAAAJ,27.0,3.0,2009.0
Rizwan Parveen,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/rizwanp/profile,NOSCHOLARPAGE,,,
Swati Agarwal,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/swatia/profile,#NAME?,,,
Tanmay T. Verlekar,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/tanmayv/profile,CFkxQ6cAAAAJ,153.0,7.0,2016.0
Tirtharaj Dash,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/tirtharaj/Profile,ktISUUIAAAAJ,530.0,15.0,2012.0
Vinayak Naik,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/vinayak/profile,HF7IPeQAAAAJ,2932.0,19.0,2003.0
Swaroop Joshi,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/swaroopj/profile,iibndPYAAAAJ,25.0,2.0,2009.0
Raj K. Jaiswal,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/rajj/profile,Emw7qDcAAAAJ,89.0,6.0,2015.0
Anup Basil Mathew,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/anupm/profile,UK3b_tIAAAAJ,43.0,4.0,2013.0
A. Bhaskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,WNrQSakAAAAJ,,,
Surjya Ghosh,BITS Pilani-Goa,http://www.bits-pilani.ac.in/goa/surjyag/profile,jwQqy80AAAAJ,216.0,9.0,2011.0
Sanjay K. Sahay,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/ssahay/profile,i6lSvKEAAAAJ,743.0,15.0,2000.0
