name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Md. Shohrab Hossain,BUET,http://mshohrabhossain.buet.ac.bd,y89HApwAAAAJ,1220.0,16.0,1971.0
Mohammed Eunus Ali,BUET,https://sites.google.com/site/mohammedeunusali,wf8iK0sAAAAJ,1003.0,17.0,2008.0
M. Sohel Rahman,BUET,http://msrahman.buet.ac.bd,IUwFD9gAAAAJ,3658.0,28.0,2004.0
M. Kaykobad,BUET,http://kaykobad.buet.ac.bd,3rYfNBIAAAAJ,1056.0,15.0,1985.0
Md. Saidur Rahman,BUET,http://saidurrahman.buet.ac.bd,oeNksGwAAAAJ,1514.0,18.0,1995.0
Tanzima Hashem,BUET,https://sites.google.com/site/tanzimahashem,0wGw0ocAAAAJ,834.0,15.0,2006.0
Md. Shamsuzzoha Bayzid,BUET,https://shamsbayzid.github.io,h2vHz3wAAAAJ,3554.0,14.0,2007.0
Ashikur Rahman,BUET,http://ashikur.buet.ac.bd,obaBwx4AAAAJ,871.0,15.0,2003.0
Anindya Iqbal,BUET,https://cse.buet.ac.bd/faculty_list/detail/anindyaiqbal,jAuiNFgAAAAJ,534.0,11.0,2008.0
Md. Monirul Islam,BUET,https://cse.buet.ac.bd/faculty_list/detail/mdmonirulislam,YSLk8BEAAAAJ,2653.0,21.0,1999.0
Rifat Shahriyar,BUET,http://rifatshahriyar.github.io,p-w4hOUAAAAJ,615.0,12.0,2008.0
A. S. M. Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,703.0,14.0,2002.0
Mahmuda Naznin,BUET,https://sites.google.com/site/mahmudanaznin,dJx58AQAAAAJ,223.0,7.0,2000.0
Muhammad Masroor Ali,BUET,https://cse.buet.ac.bd/faculty_list/detail/mmasroorali,N8d3dk4AAAAJ,,,
Md. Mostofa Akbar,BUET,https://cse.buet.ac.bd/faculty_list/detail/mostofa,MGijYYAAAAAJ,1162.0,13.0,1997.0
Mohammad Saifur Rahman,BUET,https://cse.buet.ac.bd/faculty_list/detail/mrahman,9d52x-cAAAAJ,447.0,11.0,1982.0
Muhammad Abdullah Adnan,BUET,https://sites.google.com/site/abdullahadnan,T5QF918AAAAJ,927.0,13.0,2006.0
Atif Rahman,BUET,https://cse.buet.ac.bd/faculty_list/detail/atif,Haius0wAAAAJ,368.0,6.0,2008.0
Abul Kashem,BUET,https://cse.buet.ac.bd/faculty_list/detail/kashem,NOSCHOLARPAGE,,,
A. B. M. Alim Al Islam,BUET,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,562.0,11.0,2007.0
Sadia Sharmin,BUET,https://cse.buet.ac.bd/faculty_list/detail/sadia,NOSCHOLARPAGE,,,
