name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ido Dagan,Bar-Ilan University,http://u.cs.biu.ac.il/~dagan,YzGAGtoAAAAJ,19052.0,59.0,1988.0
David Sarne,Bar-Ilan University,http://u.cs.biu.ac.il/~sarned,SnvLcLEAAAAJ,1318.0,20.0,2003.0
Tanya Plotkin,Bar-Ilan University,http://cs.biu.ac.il/en/node/648,NOSCHOLARPAGE,,,
Nathan S. Netanyahu,Bar-Ilan University,http://cs.biu.ac.il/en/node/644,xPv701UAAAAJ,13722.0,29.0,1987.0
Avinatan Hassidim,Bar-Ilan University,http://u.cs.biu.ac.il/~avinatan,CnBvgwcAAAAJ,5561.0,35.0,2005.0
Amihood Amir,Bar-Ilan University,http://u.cs.biu.ac.il/~amir,otHomQ8AAAAJ,5831.0,41.0,1983.0
Shmuel T. Klein,Bar-Ilan University,http://u.cs.biu.ac.il/~tomi,4GBCCpgAAAAJ,,,
Doron A. Peled,Bar-Ilan University,http://u.cs.biu.ac.il/~doronp,XF61SSwAAAAJ,25588.0,50.0,1987.0
Yoav Goldberg,Bar-Ilan University,https://www.cs.bgu.ac.il/~yoavg/uni,0rskDKgAAAAJ,22209.0,57.0,2006.0
Joseph Keshet,Bar-Ilan University,http://u.cs.biu.ac.il/~jkeshet,GoWgJ1AAAAAJ,5609.0,26.0,2001.0
Noa Agmon,Bar-Ilan University,http://u.cs.biu.ac.il/~agmon,arDFD58AAAAJ,2354.0,21.0,2005.0
Tali Kaufman,Bar-Ilan University,http://cs.biu.ac.il/en/node/650,NOSCHOLARPAGE,,,
Yonatan Aumann,Bar-Ilan University,http://cs.biu.ac.il/en/node/636,0BI-noIAAAAJ,4678.0,35.0,1990.0
Benny Pinkas,Bar-Ilan University,http://www.pinkas.net,tpMNnPwAAAAJ,24845.0,62.0,1989.0
Ariel J. Frank,Bar-Ilan University,http://u.cs.biu.ac.il/~ariel,U9RRxhsAAAAJ,408.0,9.0,1982.0
Gal A. Kaminka,Bar-Ilan University,http://u.cs.biu.ac.il/~galk,AyzlRJwAAAAJ,6994.0,44.0,
Tsvi Kopelowitz,Bar-Ilan University,https://sites.google.com/site/kopelot,P83OkWUAAAAJ,1186.0,20.0,2007.0
Reut Tsarfaty,Bar-Ilan University,https://nlp.biu.ac.il/~rtsarfaty,0Eome9MAAAAJ,2914.0,19.0,2004.0
Ely Porat,Bar-Ilan University,http://u.cs.biu.ac.il/~porately,uqTfLEgAAAAJ,3967.0,33.0,2000.0
Moshe Lewenstein,Bar-Ilan University,http://u.cs.biu.ac.il/~moshe,r4_ZQ2AAAAAJ,3415.0,33.0,1996.0
Andrew Y. Lindell,Bar-Ilan University,https://u.cs.biu.ac.il/~lindell,7JK9h1MAAAAJ,20811.0,63.0,1998.0
Sarit Kraus,Bar-Ilan University,http://u.cs.biu.ac.il/~sarit,PfgeYGwAAAAJ,25843.0,74.0,1983.0
Gilad Asharov,Bar-Ilan University,https://u.cs.biu.ac.il/~asharog,3F3k5ykAAAAJ,1980.0,19.0,2011.0
Jacob Goldberger,Bar-Ilan University,http://www.eng.biu.ac.il/goldbej,vgzrOK4AAAAJ,10781.0,45.0,1997.0
Moshe Koppel,Bar-Ilan University,http://u.cs.biu.ac.il/~koppel,qZGY6TEAAAAJ,10335.0,43.0,1979.0
Yael Amsterdamer,Bar-Ilan University,https://u.cs.biu.ac.il/~amstery,70iHzEUAAAAJ,1479.0,17.0,2004.0
Liam Roditty,Bar-Ilan University,https://u.cs.biu.ac.il/~liamr,UY5xtq0AAAAJ,3232.0,31.0,2001.0
