name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Xiao Bai,Beihang University,http://scse.buaa.edu.cn/info/1014/2952.htm,NOSCHOLARPAGE,,,
Mingfa Zhu,Beihang University,http://scse.buaa.edu.cn/info/1078/2635.htm,NOSCHOLARPAGE,,,
Zhou-Jun Li,Beihang University,http://graduate.buaa.edu.cn/TutorInfo.jsp?id=119802,NOSCHOLARPAGE,,,
Zhong Zhou,Beihang University,http://scse.buaa.edu.cn/info/1078/2679.htm,sWbTqxEAAAAJ,1007.0,15.0,2000.0
Caiwe De,Beihang University,http://scse.buaa.edu.cn/info/1015/2905.htm,NOSCHOLARPAGE,,,
Hongxu Jiang,Beihang University,http://scse.buaa.edu.cn/info/1022/3017.htm,,,,
Richong Zhang,Beihang University,http://act.buaa.edu.cn/zhangrc,bjFPXksAAAAJ,1608.0,22.0,2007.0
Yunhong Wang,Beihang University,http://irip.buaa.edu.cn/yhwang,0ez7lA0AAAAJ,21423.0,66.0,1996.0
Wenzhong Tang,Beihang University,http://graduate.buaa.edu.cn/TutorInfo.jsp?id=15386,,,,
Di Huang,Beihang University,http://irip.buaa.edu.cn/dihuang,rTQ9XoQAAAAJ,5929.0,35.0,2007.0
Si Liu,Beihang University,http://www.colalab.org/people,,,,
Zhang Xiong,Beihang University,http://scse.buaa.edu.cn/info/1078/2637.htm,,,,
Shilong Ma,Beihang University,http://scse.buaa.edu.cn/info/1078/2644.htm,,,,
Jinpeng Huai,Beihang University,http://act.buaa.edu.cn/huaijp,,,,
Yongxin Tong,Beihang University,http://sites.nlsde.buaa.edu.cn/~yxtong,aeCHfDIAAAAJ,5821.0,32.0,2009.0
Xianglong Liu,Beihang University,http://www.nlsde.buaa.edu.cn/~xlliu,8VY7ZDcAAAAJ,5212.0,39.0,2008.0
Wei Wu,Beihang University,http://scse.buaa.edu.cn/info/1078/2642.htm,,,,
Hailong Sun,Beihang University,http://act.buaa.edu.cn/hsun,HWOWCdcAAAAJ,2879.0,26.0,2004.0
Jia Li,Beihang University,http://arts.buaa.edu.cn/staff/jiali/index.htm,BfWMlE4AAAAJ,5190.0,29.0,2004.0
Xudong Liu,Beihang University,http://scse.buaa.edu.cn/info/1078/2646.htm,,,,
Dianfu Ma,Beihang University,http://scse.buaa.edu.cn/info/1078/2638.htm,,,,
Kai Hu,Beihang University,http://scse.buaa.edu.cn/info/1020/2961.htm,,,,
Jianxin Li,Beihang University,http://act.buaa.edu.cn/lijx,EY2lqD0AAAAJ,3975.0,32.0,2005.0
Chunming Hu,Beihang University,http://scse.buaa.edu.cn/info/1020/2988.htm,,,,
Biao Leng,Beihang University,http://scse.buaa.edu.cn/info/1024/2975.htm,zQqJW3gAAAAJ,1354.0,20.0,2007.0
Jianwei Niu,Beihang University,http://scse.buaa.edu.cn/info/1078/2664.htm,,,,
Yuebin Bai,Beihang University,http://scse.buaa.edu.cn/info/1078/2662.htm,,,,
Qinping Zhao,Beihang University,http://scse.buaa.edu.cn/info/1084/2894.htm,,,,
Yongfei Zhang,Beihang University,http://scse.buaa.edu.cn/info/1038/3014.htm,5nKXtoUAAAAJ,713.0,14.0,2007.0
Chunhe Xia,Beihang University,http://scse.buaa.edu.cn/info/1078/2651.htm,,,,
Wei Li,Beihang University,http://sites.nlsde.buaa.edu.cn/~liwei,,,,
Limin Xiao,Beihang University,http://scse.buaa.edu.cn/info/1078/2653.htm,,,,
Weifeng Lv,Beihang University,http://scse.buaa.edu.cn/info/1078/2658.htm,,,,
Shuzhen Yao,Beihang University,http://scse.buaa.edu.cn/info/1078/2649.htm,,,,
Xiang Long,Beihang University,http://scse.buaa.edu.cn/info/1078/2641.htm,,,,
Chao Liu,Beihang University,http://scse.buaa.edu.cn/info/1078/2640.htm,,,,
Bo Lang,Beihang University,http://scse.buaa.edu.cn/info/1078/2660.htm,hJPk2PQAAAAJ,2556.0,26.0,2004.0
Yue Qi,Beihang University,http://scse.buaa.edu.cn/info/1078/2661.htm,,,,
Sebastian Wandelt,Beihang University,http://m3nets.de/group/sw.html,lL0jebkAAAAJ,1809.0,24.0,2003.0
Aimin Hao,Beihang University,http://scse.buaa.edu.cn/info/1078/2654.htm,,,,
Ke Xu,Beihang University,http://sites.nlsde.buaa.edu.cn/~kexu,,,,
Shuai Ma,Beihang University,http://mashuai.buaa.edu.cn,vJUjFpQAAAAJ,4253.0,31.0,2000.0
Xiao-Ming Zhang,Beihang University,http://scse.buaa.edu.cn/info/1038/3052.htm,,,,
Jingyuan Wang,Beihang University,https://www.bigscity.com/jingyuan-wang,qsLImx8AAAAJ,2345.0,20.0,2008.0
Shuai Li,Beihang University,http://scse.buaa.edu.cn/info/1024/3022.htm,_x1HeU5btFAC,10510.0,49.0,2011.0
Depei Qian,Beihang University,http://scse.buaa.edu.cn/info/1029/2906.htm,tl9JLZkAAAAJ,4276.0,29.0,1985.0
Qizhi Xu,Beihang University,http://scse.buaa.edu.cn/info/1036/3025.htm,,,,
Baolin Yin,Beihang University,http://scse.buaa.edu.cn/info/1037/2909.htm,,,,
Bo Li,Beihang University,http://scse.buaa.edu.cn/info/1078/2639.htm,,,,
Feng Lu,Beihang University,http://shi.buaa.edu.cn/lufeng,,,,
Xukun Shen,Beihang University,http://scse.buaa.edu.cn/info/1078/2650.htm,,,,
