name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Hui Lu,Binghamton University,http://www.cs.binghamton.edu/~huilu,nJLcewkAAAAJ,7009.0,38.0,1996.0
Zhongfei (Mark) Zhang,Binghamton University,http://www.cs.binghamton.edu/~zhongfei,RM7y-rcAAAAJ,12109.0,52.0,
Kenneth Chiu,Binghamton University,https://www.binghamton.edu/cs/people/kchiu.html,TAi5L5MAAAAJ,1826.0,22.0,2006.0
Yifan Zhang,Binghamton University,http://www.cs.binghamton.edu/~zhangy,sPZZB4UAAAAJ,4578.0,17.0,2004.0
Michael J. Lewis,Binghamton University,https://www.binghamton.edu/cs/people/mlewis.html,TbNp9c4AAAAJ,110.0,3.0,2007.0
Lei Yu,Binghamton University,http://www.cs.binghamton.edu/~lyu,bRCoY7EAAAAJ,11187.0,19.0,2002.0
Madhusudhan Govindaraju,Binghamton University,http://www.cs.binghamton.edu/~mgovinda,cuA3CkgAAAAJ,3658.0,30.0,1998.0
Weiyi Meng,Binghamton University,http://www.cs.binghamton.edu/~meng,C-wDOskAAAAJ,9125.0,47.0,1988.0
Lijun Yin,Binghamton University,http://www.cs.binghamton.edu/~lijun,PYV9NvYAAAAJ,8413.0,37.0,1995.0
Weiying Dai,Binghamton University,https://www.binghamton.edu/cs/people/wdai.html,r6DIjzUAAAAJ,3385.0,23.0,
Kartik Gopalan,Binghamton University,http://www.cs.binghamton.edu/~kartik,gSnisPkAAAAJ,5275.0,32.0,1997.0
Leslie Lander,Binghamton University,https://www.binghamton.edu/cs/people/lander.html,,,,
Patrick H. Madden,Binghamton University,http://www.cs.binghamton.edu/~pmadden,QwRhC2oAAAAJ,2114.0,22.0,1993.0
Hoda Naghibi Jouybari,Binghamton University,https://www.binghamton.edu/computer-science/contact/profile.html?id=hnaghibi,TEymGjQAAAAJ,247.0,6.0,2014.0
Shiqi Zhang,Binghamton University,https://www.binghamton.edu/computer-science/contact/profile.html?id=zhangs,D0pzuNoAAAAJ,1016.0,19.0,2008.0
Kanad Ghose,Binghamton University,http://www.cs.binghamton.edu/~ghose,pPtLOX4AAAAJ,5666.0,36.0,1986.0
Yu David Liu,Binghamton University,http://www.cs.binghamton.edu/~davidl,_KCqeIEAAAAJ,1186.0,18.0,2003.0
Kyoung-Don Kang,Binghamton University,https://www.binghamton.edu/cs/people/kang.html,5Qrq3p0AAAAJ,2162.0,23.0,1999.0
Ping Yang,Binghamton University,http://www.cs.binghamton.edu/~pyang,0hTZUnYAAAAJ,22094.0,76.0,1995.0
Aravind Prakash,Binghamton University,https://www.binghamton.edu/cs/people/aprakash.html,GqFjHVAAAAAJ,682.0,13.0,2012.0
Guanhua Yan,Binghamton University,https://www.binghamton.edu/cs/people/ghyan.html,6rPWxsgAAAAJ,3330.0,32.0,2000.0
Sujoy Sikdar,Binghamton University,https://www.binghamton.edu/computer-science/contact/profile.html?id=ssikdar,OmZaKTEAAAAJ,340.0,11.0,2013.0
Jeremy Blackburn,Binghamton University,https://www.binghamton.edu/computer-science/contact/profile.html?id=jblackbu,W_ApnIUAAAAJ,5803.0,38.0,2007.0
Seunghee Shin,Binghamton University,https://sites.google.com/binghamton.edu/seunghee,wpGg2O4AAAAJ,225.0,4.0,2016.0
Dmitry Ponomarev,Binghamton University,http://www.cs.binghamton.edu/~dima,zr9OzAUAAAAJ,3845.0,32.0,1998.0
