name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Thomas W. Sederberg,Brigham Young University,https://cs.byu.edu/faculty/tom,mveYvw8AAAAJ,16494.0,50.0,1977.0
Kenneth J. Rodham,Brigham Young University,https://cs.byu.edu/faculty/rodham,,,,
Cory Barker,Brigham Young University,https://cs.byu.edu/faculty/barker,iZfqmbMAAAAJ,82.0,4.0,2014.0
Sean C. Warnick,Brigham Young University,https://cs.byu.edu/faculty/sean,k7WBrxoAAAAJ,1497.0,19.0,1994.0
Kent E. Seamons,Brigham Young University,https://cs.byu.edu/faculty/seamons,XY4ky-YAAAAJ,6804.0,39.0,2017.0
David Wingate,Brigham Young University,https://cs.byu.edu/faculty/dw87,W9uPOIQAAAAJ,8425.0,46.0,1958.0
Jacob W. Crandall,Brigham Young University,http://www.jacobcrandall.net,FHGBC58AAAAJ,3204.0,28.0,2001.0
Paul R. Roper,Brigham Young University,https://cs.byu.edu/faculty/proper,44RdgPcAAAAJ,71.0,1.0,2006.0
Kevin D. Seppi,Brigham Young University,https://cs.byu.edu/faculty/kseppi,xLQan5cAAAAJ,3240.0,32.0,1990.0
Michael D. Jones,Brigham Young University,https://cs.byu.edu/faculty/jones,OLUt0kgAAAAJ,9763.0,22.0,1994.0
Christopher Archibald,Brigham Young University,https://cs.byu.edu/faculty/ca65,tH8pducAAAAJ,213.0,8.0,2005.0
Daniel Zappala,Brigham Young University,https://cs.byu.edu/faculty/zappala,Q9DsCL4AAAAJ,5284.0,27.0,1992.0
Christophe G. Giraud-Carrier,Brigham Young University,https://cs.byu.edu/faculty/cgc,i17LzmoAAAAJ,7088.0,37.0,1993.0
Robert P. Burton,Brigham Young University,https://cs.byu.edu/faculty/rpburton,0NKgxEEAAAAJ,7240.0,33.0,1999.0
J. Kelly Flanagan,Brigham Young University,https://cs.byu.edu/faculty/flanaganjkelly,,,,
Seth Holladay,Brigham Young University,https://cs.byu.edu/faculty/srh43,FLK47OIAAAAJ,14.0,2.0,2007.0
Brent Adams,Brigham Young University,https://animation.byu.edu/content/faculty,,,,
Parris K. Egbert,Brigham Young University,https://cs.byu.edu/faculty/egbert,7oD2ZL8AAAAJ,1093.0,18.0,1990.0
Ryan Farrell,Brigham Young University,https://faculty.cs.byu.edu/~farrell,56EZh6YAAAAJ,1904.0,14.0,2000.0
Bill Barrett,Brigham Young University,https://cs.byu.edu/faculty/barrett,yLWfq68AAAAJ,5899.0,29.0,1976.0
Scott N. Woodfield,Brigham Young University,https://cs.byu.edu/faculty/woodfiel,,,,
Mark J. Clement,Brigham Young University,https://faculty.cs.byu.edu/~clement,8sFevmEAAAAJ,13443.0,24.0,1978.0
Bryan S. Morse,Brigham Young University,http://morse.cs.byu.edu,COQLAncAAAAJ,4495.0,30.0,1988.0
Eric K. Ringger,Brigham Young University,https://faculty.cs.byu.edu/~ringger,XkkU-hwAAAAJ,3966.0,30.0,1995.0
Yiu-Kai Dennis Ng,Brigham Young University,https://faculty.cs.byu.edu/~ng/ng.html,HhIElBEAAAAJ,3140.0,23.0,1984.0
Michael A. Goodrich,Brigham Young University,https://faculty.cs.byu.edu/~mike,7LTGov4AAAAJ,11793.0,47.0,1952.0
Dan Ventura,Brigham Young University,http://axon.cs.byu.edu/Dan,iSsKAqQAAAAJ,3597.0,30.0,1994.0
Tony R. Martinez,Brigham Young University,http://axon.cs.byu.edu/~martinez,R1JyT9AAAAAJ,8379.0,36.0,1986.0
Eric G. Mercer,Brigham Young University,https://cs.byu.edu/faculty/egm,FbUhdYYAAAAJ,3487.0,8.0,1983.0
Quinn O. Snell,Brigham Young University,https://faculty.cs.byu.edu/~snell,,,,
