name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Madhavan Mukund,CMI,http://www.cmi.ac.in/~madhavan,,,,
K. V. Subrahmanyam,CMI,http://www.cmi.ac.in/~kv,pxVeS_IAAAAJ,304.0,11.0,2011.0
S. P. Suresh,CMI,http://www.cmi.ac.in/~spsuresh,S0fWcAoAAAAJ,1540.0,17.0,1993.0
Partha Mukhopadhyay,CMI,http://www.cmi.ac.in/~suryajith,RPCLZDMAAAAJ,11967.0,60.0,1999.0
K. Narayan Kumar,CMI,http://www.cmi.ac.in/~kumar,tFCSOd0AAAAJ,1154.0,19.0,1981.0
Sourav Chakraborty,CMI,http://www.cmi.ac.in/~sourav,rXKZblQAAAAJ,805.0,15.0,2003.0
B. Srivathsan,CMI,http://www.cmi.ac.in/~sri,2SMNivQAAAAJ,320.0,6.0,2013.0
Geevarghese Philip,CMI,http://www.cmi.ac.in/~gphilip,F--BO8oAAAAJ,818.0,17.0,2008.0
Samir Datta,CMI,http://www.cmi.ac.in/~sdatta,rQj5IIkAAAAJ,910.0,18.0,1999.0
Prajakta Nimbhorkar,CMI,http://www.cmi.ac.in/~prajakta,hDBz3EUAAAAJ,1067.0,10.0,2008.0
Aiswarya Cyriac,CMI,http://www.cmi.ac.in/~aiswarya,NLwqvCwAAAAJ,255.0,9.0,2008.0
M. Praveen,CMI,http://www.cmi.ac.in/~praveenm,xDgt2Z8AAAAJ,5679.0,24.0,2006.0
