name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
François Lemaire,CRIStAL,https://www.cristal.univ-lille.fr/profil/francois.lemaire,,,,
Serge G. Petiton,CRIStAL,https://www.cristal.univ-lille.fr/profil/petiton,,,,
Diego Cattaruzza,CRIStAL,https://www.cristal.univ-lille.fr/profil/dcattaru,vNvqTXoAAAAJ,935.0,12.0,2013.0
Odalric Maillard,CRIStAL,https://www.cristal.univ-lille.fr/profil/omaillar,7EweMdoAAAAJ,1761.0,20.0,2005.0
Pascal Denis,CRIStAL,https://www.cristal.univ-lille.fr/profil/pdenis,Y1nQ6eUAAAAJ,2082.0,24.0,2001.0
Florent Capelli,CRIStAL,https://www.cristal.univ-lille.fr/profil/fcapelli,,,,
Bilel Derbel,CRIStAL,https://www.cristal.univ-lille.fr/profil/derbel,,,,
Bernard Carré,CRIStAL,https://www.cristal.univ-lille.fr/profil/carre,,,,
Mikaël Monet,CRIStAL,http://mikael-monet.net,,,,
Olivier Caron,CRIStAL,https://www.cristal.univ-lille.fr/profil/carono,,,,
Nicolas Anquetil,CRIStAL,https://www.cristal.univ-lille.fr/profil/anquetil,DSMdD9UAAAAJ,3948.0,31.0,1993.0
Yann Secq,CRIStAL,http://www.lifl.fr/~ysecq,Kk7Bg3cAAAAJ,297.0,8.0,2001.0
Pierre Laperdrix,CRIStAL,https://plaperdr.github.io,hcXaYRAAAAAJ,906.0,14.0,2015.0
Christophe Chaillou,CRIStAL,https://www.cristal.univ-lille.fr/profil/chaillou,mHUbF2cAAAAJ,1278.0,19.0,1990.0
Francesco De Comité,CRIStAL,https://www.cristal.univ-lille.fr/profil/decomite,,,,
Jan Ramon,CRIStAL,https://www.cristal.univ-lille.fr/profil/jramon,Di086VkAAAAJ,4471.0,32.0,1998.0
Marcus Denker,CRIStAL,https://www.cristal.univ-lille.fr/profil/denker,uVa--40AAAAJ,1650.0,23.0,2000.0
Cédric Dumoulin,CRIStAL,http://cristal.univ-lille.fr/~dumoulin,mmKnPuMAAAAJ,757.0,11.0,1993.0
Pierre Tirilly,CRIStAL,https://sites.google.com/site/tirillypierre/home,CKGKuOAAAAAJ,532.0,12.0,2006.0
Cristian Versari,CRIStAL,https://cristal.univ-lille.fr/~versaric,,,,
Cédric Lhoussaine,CRIStAL,https://www.cristal.univ-lille.fr/profil/lhoussai,,,,
Mikaela Keller,CRIStAL,https://www.cristal.univ-lille.fr/profil/kellerm,BbxquKkAAAAJ,943.0,11.0,1971.0
Rémi Gilleron,CRIStAL,https://sites.google.com/view/remi-gilleron,dKliE7IAAAAJ,3873.0,24.0,1989.0
Philippe Marquet,CRIStAL,https://www.cristal.univ-lille.fr/profil/marquet,IeTyR8gAAAAJ,1350.0,17.0,1979.0
Matthieu Basseur,CRIStAL,https://www.cristal.univ-lille.fr/profil/mbasseur,bwetphkAAAAJ,1441.0,20.0,2002.0
Samy Meftali,CRIStAL,https://www.cristal.univ-lille.fr/profil/meftali,W-8M4_YAAAAJ,981.0,17.0,2001.0
Maxime Ogier,CRIStAL,https://www.cristal.univ-lille.fr/profil/ogier,UHYkmIMAAAAJ,242.0,8.0,2010.0
Antoine Nongaillard,CRIStAL,https://www.cristal.univ-lille.fr/profil/anongail,,,,
Julien Forget,CRIStAL,https://www.cristal.univ-lille.fr/profil/forget,Xm0-xKwAAAAJ,566.0,12.0,
Philippe Merle,CRIStAL,https://www.cristal.univ-lille.fr/profil/merle,P-Bo69MAAAAJ,3274.0,29.0,1992.0
Omar Abdelkafi,CRIStAL,https://www.cristal.univ-lille.fr/profil/abdelkafi,Cz2bqtoAAAAJ,62.0,5.0,2014.0
Maxime Folschette,CRIStAL,https://www.cristal.univ-lille.fr/profil/mfolsche,,,,
Xavier Le Pallec,CRIStAL,http://cristal.univ-lille.fr/~lepallec,zO9OcTMAAAAJ,362.0,11.0,1963.0
Charles Paperman,CRIStAL,https://www.cristal.univ-lille.fr/profil/cpaperma,jzXAoMcAAAAJ,102.0,6.0,2013.0
Anne-Cécile Caron,CRIStAL,http://cristal.univ-lille.fr/~caronc,NMDTe3cAAAAJ,384.0,9.0,1991.0
François Boulier,CRIStAL,http://cristal.univ-lille.fr/~boulier/pmwiki/pmwiki.php,pzwDiKgAAAAJ,1329.0,17.0,1994.0
Julien Baste,CRIStAL,https://www.iut-info.univ-lille.fr/~baste,,,,
Philippe Preux,CRIStAL,https://philippe-preux.github.io,JTXxmeAAAAAJ,1673.0,22.0,1993.0
Charles Bouillaguet,CRIStAL,http://cristal.univ-lille.fr/~bouillag,5ov-TX4AAAAJ,946.0,18.0,2007.0
Aurélien Lemay,CRIStAL,https://www.cristal.univ-lille.fr/profil/alemay,,,,
José Mennesson,CRIStAL,https://www.cristal.univ-lille.fr/profil/mennesso,,,,
Ioan Marius Bilasco,CRIStAL,http://cristal.univ-lille.fr/~bilasco,jNBdRCsAAAAJ,827.0,17.0,2004.0
Mohamed Daoudi,CRIStAL,https://mohammeddaoudi.github.io/mdaoudi.github.io,7UoD6McAAAAJ,6495.0,43.0,1993.0
Luigi Lancieri,CRIStAL,http://cristal.univ-lille.fr/~lancieri,rYa0IzwAAAAJ,381.0,10.0,1984.0
Giuseppe Lipari,CRIStAL,http://cristal.univ-lille.fr/~lipari,rnBRPpQAAAAJ,7999.0,46.0,1996.0
Laurent Grisoni,CRIStAL,https://www.cristal.univ-lille.fr/profil/grisoni,38F4-JIAAAAJ,1949.0,21.0,1998.0
Clarisse Dhaenens,CRIStAL,http://cristal.univ-lille.fr/~dhaenens,0_tYTLoAAAAJ,2223.0,24.0,1998.0
Chaabane Djeraba,CRIStAL,http://cristal.univ-lille.fr/~djeraba,cCo-rYsAAAAJ,5371.0,33.0,1970.0
Stéphane Huot,CRIStAL,https://www.cristal.univ-lille.fr/profil/huot,hSznLJ8AAAAJ,1554.0,21.0,2001.0
Frédéric Semet,CRIStAL,https://www.cristal.univ-lille.fr/profil/fsemet,6iUyQhMAAAAJ,10433.0,41.0,1993.0
Géry Casiez,CRIStAL,http://cristal.univ-lille.fr/~casiez,_l0mjIoAAAAJ,2943.0,27.0,2001.0
Jean-Luc Dekeyser,CRIStAL,http://cristal.univ-lille.fr/~dekeyser,,,,
Pierre Bourhis,CRIStAL,http://cristal.univ-lille.fr/~bourhis,yykk3JMAAAAJ,1003.0,19.0,2005.0
Romain Rouvoy,CRIStAL,http://romain.rouvoy.fr,U3217h0AAAAJ,4203.0,35.0,2003.0
Laetitia Jourdan,CRIStAL,http://cristal.univ-lille.fr/~jourdan,HEUAUJkAAAAJ,3046.0,29.0,2001.0
Florent Berthaut,CRIStAL,https://www.cristal.univ-lille.fr/profil/fberthau,,,,
Jean-Marc Geib,CRIStAL,https://www.cristal.univ-lille.fr/profil/geib,,,,
Jean-Claude Tarby,CRIStAL,http://cristal.univ-lille.fr/~jctarby,FcMxq-0AAAAJ,799.0,14.0,1991.0
Fabio Vitale,CRIStAL,http://researchers.lille.inria.fr/vitale,,,,
Hassen Drira,CRIStAL,https://www.cristal.univ-lille.fr/profil/drirah,o1DTs2sAAAAJ,1018.0,16.0,2009.0
Hélène Touzet,CRIStAL,http://cristal.univ-lille.fr/~htouzet,Guh2y-gAAAAJ,3050.0,22.0,1996.0
Frédéric Hoogstoel,CRIStAL,https://www.cristal.univ-lille.fr/profil/hoogstoe,oYuyBlYAAAAJ,239.0,7.0,1995.0
Gilles Grimaud,CRIStAL,http://cristal.univ-lille.fr/~grimaud,,,,
Laurent Noé,CRIStAL,https://www.cristal.univ-lille.fr/profil/noe,PtgUoRIAAAAJ,3671.0,29.0,1999.0
Eric Leprêtre,CRIStAL,https://www.cristal.univ-lille.fr/profil/elepretr,,,,
José Rouillard,CRIStAL,http://www.cristal.univ-lille.fr/~rouillar,G7AtV2oAAAAJ,1039.0,17.0,1997.0
Sylvain Salvati,CRIStAL,https://www.cristal.univ-lille.fr/profil/ssalvati,,,,
Jean-Philippe Vandeborre,CRIStAL,https://www.cristal.univ-lille.fr/profil/vandebor,myhkjkwAAAAJ,1850.0,22.0,1998.0
Patricia Everaere,CRIStAL,https://www.cristal.univ-lille.fr/profil/everaerp,BiHJskUAAAAJ,420.0,13.0,1999.0
Louis Bigo,CRIStAL,http://louisbigo.com/louis_bigo,YWgcCiAAAAAJ,284.0,11.0,2010.0
Marie-Eléonore Kessaci,CRIStAL,https://www.cristal.univ-lille.fr/profil/kessaci,AV0dx5oAAAAJ,428.0,11.0,2010.0
Marie-Emilie Voge,CRIStAL,https://www.cristal.univ-lille.fr/profil/voge,,,,
Boulbaba Ben Amor,CRIStAL,https://sites.google.com/site/bbenamorshomepage1,8kGJcCIAAAAJ,2278.0,23.0,2002.0
Gilles Vanwormhoudt,CRIStAL,https://www.cristal.univ-lille.fr/profil/vanwormh,1vKkyqcAAAAJ,447.0,12.0,1996.0
Maxime Morge,CRIStAL,http://cristal.univ-lille.fr/~morge,aHV6JhwAAAAJ,571.0,12.0,2003.0
Iovka Boneva,CRIStAL,https://pro.univ-lille.fr/iovka-boneva,ZxXztaAAAAAJ,646.0,16.0,2003.0
Thomas Pietrzak,CRIStAL,http://www.thomaspietrzak.com,cxgDLYkAAAAJ,594.0,14.0,2005.0
Mirabelle Nebut,CRIStAL,http://cristal.univ-lille.fr/~nebut,,,,
Sylvain Malacria,CRIStAL,http://www.malacria.com,Me1oJeYAAAAJ,951.0,17.0,2008.0
Yvan Peter,CRIStAL,http://cristal.univ-lille.fr/~peter,LM3OsaIAAAAJ,343.0,9.0,1997.0
Emmanuel Renaux,CRIStAL,https://www.cristal.univ-lille.fr/profil/renaux,,,,
Anne Etien,CRIStAL,http://cristal.univ-lille.fr/~etien,KsqwRvwAAAAJ,1514.0,21.0,2003.0
Hayfa Zgaya,CRIStAL,https://www.cristal.univ-lille.fr/profil/hzgaya,,,,
Emilie Kaufmann,CRIStAL,http://chercheurs.lille.inria.fr/ekaufman,9GE1vx4AAAAJ,3089.0,24.0,2011.0
Julie Jacques,CRIStAL,https://www.cristal.univ-lille.fr/profil/jacques,,,,
Julien Cartigny,CRIStAL,https://pro.univ-lille.fr/julien-iguchi-cartigny,,,,
Vlad Rusu,CRIStAL,https://www.cristal.univ-lille.fr/profil/rusu,uDBCQR8AAAAJ,1870.0,23.0,1994.0
Laurence Duchien,CRIStAL,http://chercheurs.lille.inria.fr/~duchien,wwofzdYAAAAJ,4656.0,35.0,1992.0
Fabien Torre,CRIStAL,https://fabien-torre.fr,IAx6N4EAAAAJ,288.0,9.0,1996.0
Antoine Limasset,CRIStAL,https://www.cristal.univ-lille.fr/profil/alimasse,EW4USK4AAAAJ,597.0,11.0,2014.0
Hazem Wannous,CRIStAL,https://www.cristal.univ-lille.fr/profil/wannous,WsdQ9Z0AAAAJ,1608.0,19.0,2006.0
Maude Klaerr-Blanchard,CRIStAL,http://cristal.univ-lille.fr/~pupin,2MNQbZUAAAAJ,5728.0,17.0,1997.0
Stéphane Ducasse,CRIStAL,http://stephane.ducasse.free.fr,7fHNqtoAAAAJ,15944.0,60.0,1993.0
Steven Costiou,CRIStAL,https://www.cristal.univ-lille.fr/profil/scostiou,KLPmm0gAAAAJ,56.0,5.0,2016.0
Jean-Christophe Routier,CRIStAL,http://cristal.univ-lille.fr/~routier,,,,
Pierre Boulet,CRIStAL,https://www.cristal.univ-lille.fr/profil/boulet,gzy0ay0AAAAJ,1900.0,23.0,1993.0
Philippe Devienne,CRIStAL,https://www.cristal.univ-lille.fr/profil/devienne,,,,
Mathieu Giraud,CRIStAL,http://cristal.univ-lille.fr/~giraud,xNgheEoAAAAJ,1158.0,15.0,2000.0
Samuel Hym,CRIStAL,https://www.cristal.univ-lille.fr/profil/hym,,,,
Lionel Seinturier,CRIStAL,http://chercheurs.lille.inria.fr/~seinturi,XmiDIkYAAAAJ,4879.0,35.0,1995.0
Fabrice Aubert,CRIStAL,https://www.cristal.univ-lille.fr/profil/aubert,,,,
Michaël Hauspie,CRIStAL,https://pro.univ-lille.fr/michael-hauspie,05gAqPUAAAAJ,490.0,11.0,2001.0
Jérémie Dequidt,CRIStAL,https://www.cristal.univ-lille.fr/profil/jdequidt,ySTwAskAAAAJ,1164.0,19.0,1978.0
Pierre Fortin,CRIStAL,https://pro.univ-lille.fr/pierre-fortin,,,,
Arnaud Liefooghe,CRIStAL,https://sites.google.com/site/arnaudliefooghe,Y2kuG1sAAAAJ,1667.0,23.0,2007.0
Nordine Melab,CRIStAL,http://cristal.univ-lille.fr/~melab,,,,
Vincent Aranega,CRIStAL,https://pro.univ-lille.fr/vincent-aranega,c_Lv5PEAAAAJ,195.0,7.0,2008.0
Clément Quinton,CRIStAL,https://www.cristal.univ-lille.fr/profil/quinton,1nx4T-cAAAAJ,597.0,13.0,2011.0
Sophie Tison,CRIStAL,http://cristal.univ-lille.fr/~tison,TlhLBFYAAAAJ,3639.0,21.0,1983.0
Alexandre Sedoglavic,CRIStAL,https://www.cristal.univ-lille.fr/profil/sedoglav,,,,
Clément Ballabriga,CRIStAL,https://www.cristal.univ-lille.fr/profil/ballabri,,,,
Mikaël Salson,CRIStAL,http://cristal.univ-lille.fr/~salson,,,,
Damien Pollet,CRIStAL,https://www.cristal.univ-lille.fr/profil/pollet,UpBOx-YAAAAJ,1964.0,16.0,2001.0
Luce Brotcorne,CRIStAL,https://www.cristal.univ-lille.fr/profil/brotcorn,FbDXUDEAAAAJ,2054.0,17.0,1998.0
Adrien Poteaux,CRIStAL,https://www.cristal.univ-lille.fr/profil/poteaux,,,,
Nadarajen Veerapen,CRIStAL,https://www.cristal.univ-lille.fr/profil/veerapen,N-1KB5sAAAAJ,453.0,12.0,2009.0
Céline Kuttler,CRIStAL,https://www.cristal.univ-lille.fr/profil/kuttler,,,,
Bruno Beaufils,CRIStAL,https://ext.boulgour.com/lifl/beaufils,LgU7J9YAAAAJ,308.0,9.0,1997.0
Jean-Stéphane Varré,CRIStAL,http://cristal.univ-lille.fr/~varre,,,,
Stéphane Janot,CRIStAL,https://www.cristal.univ-lille.fr/profil/janot,,,,
Yves Roos,CRIStAL,https://www.cristal.univ-lille.fr/profil/yroos,Bnsty4EAAAAJ,360.0,9.0,1988.0
Mathieu Nancel,CRIStAL,http://mathieu.nancel.net,-Lm0OKsAAAAJ,1102.0,14.0,2008.0
Thomas Vantroys,CRIStAL,https://www.cristal.univ-lille.fr/profil/vantroys,cBzELssAAAAJ,364.0,10.0,2001.0
Walter Andrew Rudametkin Ivey,CRIStAL,https://www.cristal.univ-lille.fr/profil/wrudamet,vJQGm9kAAAAJ,961.0,14.0,2007.0
Simon Bliudze,CRIStAL,https://www.cristal.univ-lille.fr/profil/sbliudze,P_D0LkkAAAAJ,1139.0,16.0,2004.0
El-Ghazali Talbi,CRIStAL,https://www.cristal.univ-lille.fr/profil/talbi,hoQmzocAAAAJ,18517.0,59.0,1990.0
Christian Duriez,CRIStAL,https://team.inria.fr/defrost/team-members/christian-duriez,sAA2koIAAAAJ,4852.0,33.0,2001.0
Joachim Niehren,CRIStAL,http://researchers.lille.inria.fr/niehren,sG4pk9cAAAAJ,3071.0,32.0,1993.0
Philippe Mathieu,CRIStAL,http://cristal.univ-lille.fr/~mathieu,QCLMl_YAAAAJ,2204.0,22.0,
Slawek Staworko,CRIStAL,https://www.cristal.univ-lille.fr/profil/staworko,YERhuN8AAAAJ,1135.0,19.0,2003.0
Aurélien Bellet,CRIStAL,http://researchers.lille.inria.fr/abellet,j8svx3IAAAAJ,4095.0,20.0,2009.0
Marc Tommasi,CRIStAL,http://researchers.lille.inria.fr/tommasi,IRyM3b8AAAAJ,3777.0,21.0,1992.0
