name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ali Arya,Carleton University,http://www.csit.carleton.ca/~arya,Per9R0UAAAAJ,1135.0,17.0,1997.0
Olga Baysal,Carleton University,http://olgabaysal.com,1yuYTRAAAAAJ,1513.0,20.0,2005.0
Majid Komeili,Carleton University,http://people.scs.carleton.ca/~majidkomeili,AIHFesoAAAAJ,507.0,12.0,2008.0
Prosenjit Bose,Carleton University,http://jitbose.ca,1jR53ZQAAAAJ,9627.0,44.0,1992.0
AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,262.0,10.0,2009.0
Oliver Matias van Kaick,Carleton University,http://people.scs.carleton.ca/~olivervankaick,IfvyBBUAAAAJ,2844.0,21.0,2001.0
Robert Biddle,Carleton University,https://carleton.ca/scs/people/robert-biddle,Z3jkhWIAAAAJ,9966.0,48.0,1987.0
Mengchi Liu,Carleton University,http://www.scs.carleton.ca/~mengchi,,,,
Douglas G. Howe,Carleton University,https://carleton.ca/scs/people/doug-howe,,,,
Evangelos Kranakis,Carleton University,http://www.scs.carleton.ca/~kranakis,fDcEuo4AAAAJ,11671.0,49.0,1984.0
Doron Nussbaum,Carleton University,https://carleton.ca/scs/people/doron-nussbaum,,,,
Mark Lanthier,Carleton University,https://carleton.ca/scs/people/mark-lanthier,,,,
Jean-Pierre Corriveau,Carleton University,http://www.scs.carleton.ca/~jeanpier,SmEIZO0AAAAJ,969.0,13.0,1984.0
Wilf R. LaLonde,Carleton University,http://www.scs.carleton.ca/~lalonde,,,,
Dwight Deugo,Carleton University,http://www.scs.carleton.ca/~deugo,,,,
Audrey Girouard,Carleton University,https://cil.csit.carleton.ca,wP7xkUEAAAAJ,3222.0,26.0,2006.0
Leo Bertossi,Carleton University,http://www.scs.carleton.ca/~bertossi,TeBUgNcAAAAJ,5442.0,31.0,1985.0
Sonia Chiasson,Carleton University,https://carleton.ca/scs/people/sonia-chiasson,wg8yZz8AAAAJ,5728.0,34.0,2004.0
Anil Somayaji,Carleton University,http://www.scs.carleton.ca/~soma,cQUT9bAAAAAJ,10612.0,25.0,1994.0
Pat Morin,Carleton University,https://carleton.ca/scs/people/pat-morin,MQI9NXEAAAAJ,30305.0,55.0,1992.0
David Mould,Carleton University,http://www.scs.carleton.ca/~mould,,,,
Michiel H. M. Smid,Carleton University,http://www.scs.carleton.ca/~michiel,,,,
Anil Maheshwari,Carleton University,http://www.scs.carleton.ca/~maheshwa,-6ZbKwoAAAAJ,3508.0,31.0,1986.0
Frank Dehne,Carleton University,https://carleton.ca/scs/people/frank-dehne,nHJDhwoAAAAJ,5610.0,42.0,1982.0
B. John Oommen,Carleton University,http://www.scs.carleton.ca/~oommen,E5TiDR4AAAAJ,6652.0,40.0,1979.0
Tony White,Carleton University,https://carleton.ca/scs/people/tony-white,,,,
Nicola Santoro,Carleton University,http://www.scs.carleton.ca/~santoro,A9jJPF8AAAAJ,11709.0,57.0,1970.0
Michel Barbeau,Carleton University,https://carleton.ca/scs/people/michel-barbeau,,,,
Yuhong Guo,Carleton University,https://carleton.ca/scs/people/yuhong-guo,Q7VKnRYAAAAJ,5335.0,34.0,2001.0
Jörg-Rüdiger Sack,Carleton University,http://www.scs.carleton.ca/~sack,,,,
Paul C. van Oorschot,Carleton University,http://www.scs.carleton.ca/~paulv,CMRzTi8AAAAJ,44702.0,81.0,1986.0
Louis D. Nel,Carleton University,http://www.scs.carleton.ca/~ldnel,,,,
Ahmed El-Roby,Carleton University,https://people.scs.carleton.ca/~ahmedelroby,DA68vjUAAAAJ,111.0,5.0,2013.0
