name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Fei Fang,Carnegie Mellon University,https://www.andrew.cmu.edu/user/feif,VdZQ1EgAAAAJ,16635.0,44.0,2010.0
Alonzo Kelly,Carnegie Mellon University,http://www.frc.ri.cmu.edu/users/alonzo,W7yeGUoAAAAJ,8811.0,44.0,1953.0
Kiron K. Skinner,Carnegie Mellon University,https://www.cmu.edu/ir/cirp-people/faculty-affiliates/kiron-k-skinner.html,,,,
Ken Koedinger,Carnegie Mellon University,http://pact.cs.cmu.edu/koedinger.html,_8DDVkAAAAAJ,35512.0,88.0,1987.0
Farnam Jahanian,Carnegie Mellon University,https://www.cmu.edu/leadership/the-provost,,,,
Gary K. Fedder,Carnegie Mellon University,https://users.ece.cmu.edu/~fedder,JOMYt6gAAAAJ,12232.0,59.0,1970.0
Kemal Oflazer,Carnegie Mellon University,https://www.andrew.cmu.edu/user/ko,JLk0hs8AAAAJ,5782.0,38.0,1978.0
James D. Herbsleb,Carnegie Mellon University,http://herbsleb.org,Q3xxVngAAAAJ,25120.0,65.0,1979.0
Christian Kästner,Carnegie Mellon University,https://www.cs.cmu.edu/~ckaestne,PR-ZnJUAAAAJ,14762.0,65.0,2006.0
Justine Sherry,Carnegie Mellon University,http://www.justinesherry.com,InPotdgAAAAJ,2981.0,17.0,2008.0
Graham Neubig,Carnegie Mellon University,http://www.phontron.com,wlosgkoAAAAJ,14496.0,64.0,1988.0
Alan M. Frieze,Carnegie Mellon University,https://www.math.cmu.edu/~af1p,EqKRQ4YAAAAJ,22504.0,72.0,1970.0
Michael I. Shamos,Carnegie Mellon University,http://euro.ecom.cmu.edu/shamos.html,PswI6pYAAAAJ,18022.0,23.0,1975.0
Tai Sing Lee,Carnegie Mellon University,http://www.cnbc.cmu.edu/~tai,9TAiIIMAAAAJ,10531.0,29.0,1983.0
Aniket Kittur,Carnegie Mellon University,https://www.hcii.cmu.edu/people/aniket-kittur,2vZ5zRQAAAAJ,12907.0,44.0,2004.0
Amy E. Ogan,Carnegie Mellon University,https://www.hcii.cmu.edu/people/amy-ogan,I0ZGaCQAAAAJ,1712.0,21.0,2003.0
Doug Sicker,Carnegie Mellon University,https://www.cmu.edu/epp/people/faculty/douglas-sicker.html,Pl23MTUAAAAJ,5696.0,33.0,1997.0
J. Zico Kolter,Carnegie Mellon University,http://www.zicokolter.com,UXh1I6UAAAAJ,19345.0,52.0,
Vincent Hellendoorn,Carnegie Mellon University,https://vhellendoorn.github.io,PfYrc5kAAAAJ,985.0,10.0,2015.0
Heather Miller,Carnegie Mellon University,http://heather.miller.am,dpghk3cAAAAJ,457.0,10.0,1968.0
André Platzer,Carnegie Mellon University,http://symbolaris.com,Y80iWtgAAAAJ,7297.0,45.0,1997.0
Lorrie Faith Cranor,Carnegie Mellon University,http://lorrie.cranor.org,kIUqgbcAAAAJ,39597.0,103.0,1994.0
Robert E. Kraut,Carnegie Mellon University,http://kraut.hciresearch.org,HKGYvu4AAAAJ,60565.0,116.0,1972.0
Subra Suresh,Carnegie Mellon University,http://www.cmu.edu/leadership/president-suresh/bio,,,,
Lujo Bauer,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,5cJzDZEAAAAJ,10859.0,54.0,2001.0
Bruce H. Krogh,Carnegie Mellon University,https://www.ece.cmu.edu/directory/details/89,s4yZTp4AAAAJ,17480.0,65.0,1978.0
Umut A. Acar,Carnegie Mellon University,http://www.umut-acar.org,wJ4NywgAAAAJ,3751.0,32.0,1999.0
Greg Ganger,Carnegie Mellon University,https://www.ece.cmu.edu/~ganger,,,,
