name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Wyatt S. Newman,Case Western Reserve University,http://engineering.case.edu/profiles/wsn,,,,
Behnam Malakooti,Case Western Reserve University,http://engineering.case.edu/eecs/faculty-staff,ICngR3sAAAAJ,2787.0,33.0,1982.0
Andy Podgurski,Case Western Reserve University,http://engineering.case.edu/profiles/hap,CnkkNpsAAAAJ,5801.0,39.0,1985.0
Soumya Ray,Case Western Reserve University,http://engr.case.edu/ray_soumya,T3Wxu_AAAAAJ,2745.0,18.0,2001.0
Francis L. Merat,Case Western Reserve University,http://engr.case.edu/merat_francis/flm/home.html,VwOF7mEAAAAJ,1469.0,23.0,1965.0
Harold S. Connamacher,Case Western Reserve University,http://filer.case.edu/hsc21,,,,
Erman Ayday,Case Western Reserve University,https://engineering.case.edu/profiles/exa208,o-4PzycAAAAJ,2741.0,28.0,2005.0
Michael Rabinovich,Case Western Reserve University,http://engr.case.edu/rabinovich_michael,30fyS8EAAAAJ,10348.0,48.0,1976.0
Gultekin Özsoyoglu,Case Western Reserve University,http://engineering.case.edu/eecs/faculty-staff,,,,
Michael S. Lewicki,Case Western Reserve University,http://www.cs.cmu.edu/~lewicki,wRRKmnMAAAAJ,9367.0,31.0,1993.0
Chris Fietkiewicz,Case Western Reserve University,http://engineering.case.edu/eecs/faculty-staff,r7veCY0AAAAJ,35.0,2.0,2010.0
An Wang,Case Western Reserve University,http://engineering.case.edu/groups/an-wang,oiuMtQ4AAAAJ,623.0,13.0,2013.0
Jing Li,Case Western Reserve University,https://engineering.case.edu/profiles/jxl175,X6P8JOIAAAAJ,28102.0,65.0,1967.0
Z. Meral Özsoyoglu,Case Western Reserve University,http://engineering.case.edu/eecs/faculty-staff,QRrrUU0AAAAJ,4602.0,30.0,1979.0
Vincenzo Liberatore,Case Western Reserve University,http://engr.case.edu/liberatore_vincenzo,,,,
Yinghui Wu,Case Western Reserve University,https://engineering.case.edu/profiles/yinghui_wu,9u7wNjUAAAAJ,2879.0,25.0,2008.0
Xusheng Xiao,Case Western Reserve University,http://engineering.case.edu/groups/xusheng-xiao,qVx6V7UAAAAJ,2369.0,22.0,2010.0
Mehmet Koyutürk,Case Western Reserve University,http://compbio.case.edu/koyuturk,0pdOqkQAAAAJ,3941.0,34.0,1999.0
