name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Gordana Dodig Crnkovic,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/gordana-dodig-crnkovic.aspx,bvc5bBsAAAAJ,2653.0,28.0,1984.0
Lars Bengtsson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/labe.aspx,,,,
Sally A McKee,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/sally-mckee.aspx,NOSCHOLARPAGE,,,
Riccardo Scandariato,Chalmers/GU,http://www.scandariato.org,NOSCHOLARPAGE,,,
Gul Calikli,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/calikli.aspx,lShgfvwAAAAJ,496.0,13.0,2005.0
Francisco Gomes,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/gomesf.aspx,NOSCHOLARPAGE,,,
Alexander Schliep,Chalmers/GU,https://schlieplab.org,djKBKswAAAAJ,2951.0,28.0,1968.0
Gregory Gay,Chalmers/GU,http://www.greggay.com,3nwDANgAAAAJ,1264.0,16.0,2008.0
Daniel Sjölie,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/daniel-sjolie.aspx,TzsDDrMAAAAJ,348.0,8.0,2006.0
Krasimir Angelov,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/krasimir-angelov.aspx,NOSCHOLARPAGE,,,
Regina Hebig,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/hebig.aspx,dr1Ymp8AAAAJ,1154.0,19.0,2009.0
Eva Eriksson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/eva-eriksson.aspx,Zr2s6EAAAAAJ,1275.0,19.0,2002.0
Alejandro Russo,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/russo.aspx,8sz4s7YAAAAJ,2739.0,28.0,2006.0
Fang Chen,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/fang-chen.aspx,M_PnmHUAAAAJ,1939.0,25.0,1990.0
Jan-Philipp Steghöfer,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/jan-philipp-steghofer.aspx,NOSCHOLARPAGE,,,
Niklas Broberg,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/d00nibro.aspx,NOSCHOLARPAGE,,,
Eric Knauss,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/eric-knauss.aspx,jlnAa9cAAAAJ,2381.0,30.0,1978.0
Morteza H. Chehreghani,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/haghir.aspx,NOSCHOLARPAGE,,,
Erik Sintorn,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/erik-sintorn.aspx,dGeukVsAAAAJ,948.0,15.0,2008.0
Erland Holmström,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/erland.aspx,NOSCHOLARPAGE,,,
Robert Feldt,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/robert-feldt.aspx,VemqkeEAAAAJ,10162.0,40.0,
Olof Torgersson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/olof-torgersson.aspx,NOSCHOLARPAGE,,,
Jan Jonsson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/janjo.aspx,NOSCHOLARPAGE,,,
Gerardo Schneider,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/gersch.aspx,NOSCHOLARPAGE,,,
Christian Berger,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/christian-berger.aspx,-5qMVbcAAAAJ,4726.0,33.0,1983.0
Robin Adams,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/robinad.aspx,JzC9b1cAAAAJ,6189.0,32.0,1994.0
Richard Torkar,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/richard-torkar.aspx,NOSCHOLARPAGE,,,
Uno Holmer,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/holmer.aspx,NOSCHOLARPAGE,,,
Elad Michael Schiller,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/elad-schiller.aspx,NOSCHOLARPAGE,,,
Lena Peterson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/lenap.aspx,NOSCHOLARPAGE,,,
Jan Bosch,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/jan-bosch.aspx,Wr6oSWIAAAAJ,23737.0,69.0,
John Hughes,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/rjmh.aspx,adD4xmAAAAAJ,14376.0,44.0,1982.0
Joachim von Hacht,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/joachim-hacht.aspx,NOSCHOLARPAGE,,,
Jennifer Horkoff,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/jenho.aspx,NOSCHOLARPAGE,,,
Thierry Coquand,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/thierry-coquand.aspx,NOSCHOLARPAGE,,,
Andreas Abel,Chalmers/GU,http://www.cse.chalmers.se/~abela,diMIMosAAAAJ,2139.0,26.0,1980.0
Dag Wedelin,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/dag.aspx,5TbkPtwAAAAJ,923.0,12.0,1989.0
Jonas Almström Duregård,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/jonas-duregard.aspx,NOSCHOLARPAGE,,,
Lars J. Svensson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/lars-svensson.aspx,NOSCHOLARPAGE,,,
Josef Wideström,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/josef-widestrom.aspx,NOSCHOLARPAGE,,,
