name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jarik Nesetril,Charles University,https://iuuk.mff.cuni.cz/~nesetril/en,YPineKcAAAAJ,12566.0,51.0,1966.0
Ondrej Pangrác,Charles University,https://iuuk.mff.cuni.cz/~pangrac,D7ekBKkAAAAJ,277.0,9.0,1999.0
Peter Tuma,Charles University,https://d3s.mff.cuni.cz/people/petrtuma,pU3sWO8AAAAJ,1889.0,25.0,1995.0
Martin Tancer,Charles University,https://kam.mff.cuni.cz/~tancer,YkP30T8AAAAJ,649.0,13.0,2006.0
Milan Hladík,Charles University,https://kam.mff.cuni.cz/~hladik,R8qtxcAAAAAJ,2028.0,23.0,2005.0
Zdenek Dvorák,Charles University,https://iuuk.mff.cuni.cz/~rakdver,G9K2uFYAAAAJ,2319.0,22.0,1960.0
Jan Kratochvíl,Charles University,https://kam.mff.cuni.cz/~honza,AUbareUAAAAJ,5879.0,43.0,1984.0
Pavel Parízek,Charles University,https://d3s.mff.cuni.cz/people/pavelparizek,M_9_-WsAAAAJ,437.0,11.0,2006.0
Martin Koutecký,Charles University,http://research.koutecky.name,Ce5TEMcAAAAJ,519.0,11.0,
Andreas Emil Feldmann,Charles University,https://sites.google.com/site/aefeldmann,Bpw0hqAAAAAJ,502.0,13.0,2008.0
Petr Kolman,Charles University,https://kam.mff.cuni.cz/~kolman,1VKn7O0AAAAJ,863.0,16.0,1997.0
Jirí Fiala,Charles University,https://kam.mff.cuni.cz/~fiala,UD7oqQoAAAAJ,1639.0,22.0,1964.0
Jan Kofron,Charles University,https://d3s.mff.cuni.cz/people/jankofron,Q551wNIAAAAJ,602.0,13.0,2005.0
Michal Koucký,Charles University,https://iuuk.mff.cuni.cz/~koucky,sPoWqRIAAAAJ,1709.0,22.0,2001.0
Jan Kyncl,Charles University,https://kam.mff.cuni.cz/~kyncl,08jlpUUAAAAJ,657.0,16.0,2006.0
Robert Sámal,Charles University,https://iuuk.mff.cuni.cz/~samal,kSEwBlUAAAAJ,490.0,11.0,1999.0
Pavel Hubácek,Charles University,https://iuuk.mff.cuni.cz/~hubacek,1kM7gtQAAAAJ,415.0,11.0,2013.0
Frantisek Plasil,Charles University,https://d3s.mff.cuni.cz/people/frantisekplasil,QqFofxMAAAAJ,3739.0,28.0,1992.0
Tomás Bures,Charles University,https://d3s.mff.cuni.cz/people/tomasbures,V5ILAxAAAAAJ,2777.0,27.0,2002.0
Vít Jelínek,Charles University,https://iuuk.mff.cuni.cz/~jelinek,yD9a43oAAAAJ,804.0,16.0,2003.0
Jan Hubicka,Charles University,http://www.ucw.cz/~hubicka,vhXJ0JEAAAAJ,866.0,16.0,1995.0
Pavel Veselý,Charles University,https://iuuk.mff.cuni.cz/~vesely,65ss5RMAAAAJ,171.0,8.0,2012.0
Irena Penev,Charles University,https://iuuk.mff.cuni.cz/~ipenev,,,,
Jiri Sgall,Charles University,https://iuuk.mff.cuni.cz/~sgall,5XzFcZoAAAAJ,5302.0,37.0,1985.0
Petr Hnetynka,Charles University,https://d3s.mff.cuni.cz/people/petrhnetynka,,,,
Martin Loebl,Charles University,https://kam.mff.cuni.cz/~loebl,SfvFOrkAAAAJ,1321.0,19.0,1982.0
Hans Raj Tiwary,Charles University,https://kam.mff.cuni.cz/~hansraj,RrFLTRYAAAAJ,841.0,12.0,2003.0
Lubomír Bulej,Charles University,https://d3s.mff.cuni.cz/people/lubomirbulej,atYTBKIAAAAJ,945.0,18.0,2002.0
Ondrej Cepek,Charles University,http://ktiml.mff.cuni.cz/~cepek,,,,
