name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Xueqi Cheng,Chinese Academy of Sciences,http://www.bigdatalab.ac.cn/~cxq,hY8aLqAAAAAJ,21399.0,68.0,1998.0
Xilin Chen,Chinese Academy of Sciences,http://vipl.ict.ac.cn/view_people.php?url=xlchen&id=13,vVx2v20AAAAJ,28737.0,84.0,1995.0
Lin Gao,Chinese Academy of Sciences,http://www.geometrylearning.com/lin,_RIupXUAAAAJ,1294.0,19.0,2012.0
Wensheng Dou,Chinese Academy of Sciences,http://www.tcse.cn/~wsdou,NYHyagEAAAAJ,369.0,12.0,2009.0
Jin Huang,Chinese Academy of Sciences,http://www.jin-huang.net/homepage,,,,
Qianqian Xu,Chinese Academy of Sciences,http://vipl.ict.ac.cn/view_people.php?url=qianqianxu&id=155,MjifS2MAAAAJ,998.0,14.0,2010.0
Huawei Li,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~lihuawei,,,,
Teng Han,Chinese Academy of Sciences,http://teng-han.com,kHKwQ9gAAAAJ,556.0,12.0,2011.0
Le Sun,Chinese Academy of Sciences,http://www.icip.org.cn/team/sunle,6bFNhtwAAAAJ,2745.0,24.0,1982.0
Dong-Ming Yan,Chinese Academy of Sciences,https://sites.google.com/site/yandongming,xAFSO3AAAAAJ,2889.0,26.0,2004.0
Kai Chen,Chinese Academy of Sciences,http://www.kaichen.org,i869JHoAAAAJ,3947.0,30.0,2005.0
Shaowei Cai,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~caisw,mcuXqQoAAAAJ,2103.0,26.0,2010.0
Weiming Hu,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~huweiming,Wl4tl4QAAAAJ,31324.0,73.0,1976.0
Jiafeng Guo,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~0023936,nD0I3PUAAAAJ,9107.0,48.0,2005.0
Xianpei Han,Chinese Academy of Sciences,http://www.icip.org.cn/team/hanxianpei,pA88bm4AAAAJ,2541.0,21.0,2007.0
Feng Tian,Chinese Academy of Sciences,http://lcs.ios.ac.cn/~fengt,,,,
Yu Hu,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~huyu,VPA-MkkAAAAJ,1420.0,20.0,2004.0
Shuqiang Jiang,Chinese Academy of Sciences,http://vipl.ict.ac.cn/homepage/jsq,4Rvn-ykAAAAJ,4973.0,40.0,1997.0
Naijun Zhan,Chinese Academy of Sciences,http://lcs.ios.ac.cn/~znj,bd-XZkYAAAAJ,1961.0,25.0,1999.0
Guozhu Meng,Chinese Academy of Sciences,https://impillar.github.io,fpE34K0AAAAJ,1300.0,18.0,2013.0
Shuhui Wang,Chinese Academy of Sciences,http://vipl.ict.ac.cn/view_people.php?url=&id=62,h-JxBSYAAAAJ,3118.0,32.0,2008.0
Ruiping Wang,Chinese Academy of Sciences,http://vipl.ict.ac.cn/homepage/rpwang/index.htm,duIUwpwAAAAJ,5914.0,34.0,2005.0
