name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Nagul Cooharojananone,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~cnagul,,,,
Peraphon Sophatsathit,Chulalongkorn University,https://cop.car.chula.ac.th/%E0%B8%9E%E0%B8%B5%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C,,,,
Jaruloj Eamsiri Chongstitvatana,Chulalongkorn University,http://65.54.113.26/Author/3358202/jaruloj-eamsiri-chongstitvatana,NOSCHOLARPAGE,,,
Rajalida Lipikorn,Chulalongkorn University,http://www.math.sc.chula.ac.th/en/profile/rajalida.l,NOSCHOLARPAGE,,,
Suphakant Phimoltares,Chulalongkorn University,https://cop.car.chula.ac.th/%E0%B8%A8%E0%B8%B8,NOSCHOLARPAGE,,,
Pattarasinee Bhattarakosol,Chulalongkorn University,http://www.math.sc.chula.ac.th/en/profile/pattarasinee.b,WeFVkqAAAAAJ,880.0,11.0,1986.0
Chidchanok Lursinsap,Chulalongkorn University,http://www.math.sc.chula.ac.th/en/profile/chidchanok.l,NOSCHOLARPAGE,,,
Pornsiri Muenchaisri,Chulalongkorn University,https://www.cp.eng.chula.ac.th/en/about/faculty/pornsirim,NOSCHOLARPAGE,,,
Krung Sinapiromsaran,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~skrung,Pqic3LgAAAAJ,,,
Suchada Siripant,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~ssuchada,NOSCHOLARPAGE,,,
Dittaya Wanvarie,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~wdittaya,5lzA94cAAAAJ,32.0,4.0,2010.0
Somjai Boonsiri,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~bsomjai,NOSCHOLARPAGE,,,
Saranya Maneeroj,Chulalongkorn University,http://www.math.sc.chula.ac.th/en/profile/saranya.m,NOSCHOLARPAGE,,,
Kitiporn Plaimas,Chulalongkorn University,http://www.bioinfo.sc.chula.ac.th/people/Kitiporn.html,NOSCHOLARPAGE,,,
Arthorn Luangsodsai,Chulalongkorn University,http://pioneer.netserv.chula.ac.th/~larthorn,NOSCHOLARPAGE,,,
Chatchawit Aporntewan,Chulalongkorn University,http://www.bioinfo.sc.chula.ac.th/people/Chatchawit%20.html,NOSCHOLARPAGE,,,
