name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Vladimir Naumovich Vapnik,Columbia University,http://datascience.columbia.edu/vladimir-vapnik,vtegaJgAAAAJ,259779.0,92.0,
Alexandr Andoni,Columbia University,http://datascience.columbia.edu/alex-andoni,Evgx6UkAAAAJ,6975.0,34.0,2003.0
Alfred V. Aho,Columbia University,http://www.cs.columbia.edu/~aho,gb2r2ssAAAAJ,69171.0,63.0,
Peter K. Allen,Columbia University,http://www.cs.columbia.edu/~allen,Gs5F2jYAAAAJ,19893.0,74.0,1974.0
Zhou Yu,Columbia University,https://www.engineering.columbia.edu/faculty/zhou-yu,jee2Dy0AAAAJ,2472.0,27.0,2010.0
Augustin Chaintreau,Columbia University,http://www.cs.columbia.edu/~augustin,Hb6J54cAAAAJ,8887.0,35.0,2000.0
Gil Zussman,Columbia University,https://wimnet.ee.columbia.edu/people/gil-zussman,-E5k6m4AAAAJ,6137.0,41.0,2002.0
Changxi Zheng,Columbia University,http://www.cs.columbia.edu/~cxz,-0rEuLgAAAAJ,2933.0,31.0,2005.0
Daniel Hsu,Columbia University,http://www.cs.columbia.edu/~djhsu,jj0Evx0AAAAJ,1546.0,14.0,2011.0
Christos H. Papadimitriou,Columbia University,https://www.cs.berkeley.edu/~christos,rXYLXJMAAAAJ,86537.0,129.0,
Shuran Song,Columbia University,http://shurans.github.io,5031vK4AAAAJ,15704.0,30.0,2013.0
Carl Vondrick,Columbia University,http://www.cs.columbia.edu/~vondrick,3MzhkFIAAAAJ,8764.0,26.0,2011.0
Peter N. Belhumeur,Columbia University,http://www.cs.columbia.edu/~belhumeur,J8YyZugAAAAJ,42826.0,60.0,1985.0
Dan Rubenstein,Columbia University,http://www.cs.columbia.edu/~danr,FM3vRPgAAAAJ,7636.0,49.0,1953.0
Yaniv Erlich,Columbia University,http://teamerlich.org/website/home.html,DbDbLZEAAAAJ,17617.0,32.0,2007.0
Allison B. Lewko,Columbia University,http://www.cs.columbia.edu/~allison,YwTdf6wAAAAJ,5982.0,21.0,2009.0
Xi Chen,Columbia University,http://www.cs.columbia.edu/~xichen/Homepage/Welcome.html,P_UgxSYAAAAJ,67465.0,106.0,2009.0
Ansaf Salleb,Columbia University,http://www1.ccls.columbia.edu/~ansaf,77kOUvYAAAAJ,1145.0,17.0,2000.0
Mihalis Yannakakis,Columbia University,http://www.cs.columbia.edu/~mihalis,_pPy-pAAAAAJ,37874.0,92.0,1978.0
Elias Bareinboim,Columbia University,http://causalai.net,r5U-D7YAAAAJ,3383.0,28.0,2011.0
Eugene Wu,Columbia University,http://www.cs.columbia.edu/~ewu,X53rkecAAAAJ,6210.0,33.0,2004.0
Roxana Geambasu,Columbia University,https://roxanageambasu.github.io,f8RkRagAAAAJ,2557.0,20.0,2006.0
Suman Jana,Columbia University,http://sumanj.info,SDY9FwUAAAAJ,7969.0,34.0,2008.0
