name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Arturo Caronongan,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742735361&command=GETPROFILE,XfZmeCYAAAAJ,23.0,2.0,2010.0
Ann Franchesca B. Laguna,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665780648&command=GETPROFILE,LIFrnCUAAAAJ,267.0,7.0,2012.0
Oya Aran,De La Salle University,http://www.oyaaran.com,dGXwrtEAAAAJ,2076.0,27.0,2003.0
Anish M. S. Shrestha,De La Salle University,http://www.a-transposable-element.com,v0omOL4AAAAJ,207.0,7.0,2007.0
Joanna Pauline Rivera,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665818331&command=GETPROFILE,m_VwacQAAAAJ,18.0,3.0,2017.0
Neil Patrick Del Gallego,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665809300&command=GETPROFILE,m0pmYBcAAAAJ,28.0,3.0,2016.0
Fritz Kevin Flores,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665778068&command=GETPROFILE,,,,
Merlin Suarez,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742696320&command=GETPROFILE,pWgAanIAAAAJ,348.0,9.0,1989.0
Christine Diane Lim,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742735307&command=GETPROFILE,,,,
Katrina Ysabel Solomon,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665787950&command=GETPROFILE,2NoqTYcAAAAJ,3.0,1.0,2011.0
Raymund C. Sison,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742700789&command=GETPROFILE,piWqzCYAAAAJ,742.0,14.0,1987.0
Florante R. Salvador,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742700878&command=GETPROFILE,2waSM7YAAAAJ,27.0,3.0,1990.0
Joel Ilao,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742738160&command=GETPROFILE,gd8W9ecAAAAJ,128.0,7.0,2005.0
Marnel Peradilla,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665800576&command=GETPROFILE,Cc5_76kAAAAJ,104.0,5.0,2011.0
Marivic S. Tangkeko,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742700894&command=GETPROFILE,BVk-h2YAAAAJ,28.0,3.0,2013.0
Judith J. Azcarraga,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742696285&command=GETPROFILE,,,,
Roger Luis Uy,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742701038&command=GETPROFILE,4l3OqhwAAAAJ,27.0,3.0,1988.0
Jordan Aiko Deja,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665770604&command=GETPROFILE,kqH_ERUAAAAJ,69.0,5.0,2013.0
Danny C. Cheng,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742667028&command=GETPROFILE,J1ri4YIAAAAJ,88.0,4.0,1997.0
Daniel Stanley Tan,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665788710&command=GETPROFILE,YD0btrgAAAAJ,241.0,8.0,1979.0
Mary Jane B. Arcilla,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742661729&command=GETPROFILE,ZfQToeoAAAAJ,29.0,2.0,2012.0
Thomas James Z. Tiam-Lee,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665788831&command=GETPROFILE,_LmluKUAAAAJ,72.0,5.0,2012.0
Rafael A. Cabredo,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742737579&command=GETPROFILE,3Fqol3cAAAAJ,128.0,6.0,2005.0
Arnulfo P. Azcarraga,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742696277&command=GETPROFILE,dBYuhB4AAAAJ,440.0,12.0,1990.0
Briane Paul Samson,De La Salle University,https://brianesamson.com,oUJrZ_sAAAAJ,87.0,5.0,2009.0
Teresita Limoanco,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742696123&command=GETPROFILE,HzJ_T8QAAAAJ,27.0,2.0,1993.0
Jennifer C. Ureta,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665818005&command=GETPROFILE,K263QzQAAAAJ,40.0,4.0,2010.0
Jocelynn Cu,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742661694&command=GETPROFILE,vHVPmkgAAAAJ,54.0,4.0,2000.0
Ethel Chua Joy Ong,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742696153&command=GETPROFILE,mssKyjgAAAAJ,297.0,9.0,2004.0
Nathalie Rose Lim,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742667036&command=GETPROFILE,Y--J7f8AAAAJ,99.0,7.0,1996.0
Edward P. Tighe,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665809537&command=GETPROFILE,_W85mMIAAAAJ,48.0,3.0,2013.0
Shirley B. Chu,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742689439&command=GETPROFILE,y_VBFTMAAAAJ,17.0,2.0,2002.0
Nelson Marcos,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742675245&command=GETPROFILE,,,,
Charibeth Cheng,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742678866&command=GETPROFILE,wKwXbiUAAAAJ,274.0,10.0,2004.0
Macario O. Cordel II,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742735838&command=GETPROFILE,A3iyOR0AAAAJ,201.0,5.0,2011.0
Conrado R. Ruiz Jr.,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32742689520&command=GETPROFILE,y91psfsAAAAJ,277.0,10.0,1999.0
