name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Craig Miller,DePaul University,http://facsrv.cdm.depaul.edu/~cmiller,XSUQ4A8AAAAJ,976.0,16.0,1991.0
Peter Hastings,DePaul University,http://reed.cs.depaul.edu/peterh,r-U50JwAAAAJ,4349.0,27.0,1991.0
Theresa Steinbach,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=156,,,,
Steven L. Lytinen,DePaul University,http://condor.depaul.edu/slytinen/papers/WS505SmithT.pdf,,,,
Norma G. Sutcliffe,DePaul University,http://condor.depaul.edu/mnakayam/Nakayama%20IandM%202005.pdf,,,,
Jacob D. Furst,DePaul University,https://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=365,DtYNhI0AAAAJ,3667.0,27.0,1996.0
Jonathan F. Gemmell,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=494,RIhZrvIAAAAJ,1486.0,14.0,2008.0
John McDonald,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=643,,,,
Noriko Tomuro,DePaul University,http://condor.depaul.edu/~ntomuro,,,,
Massimo DiPierro,DePaul University,https://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=343,,,,
Ljubomir Perkovic,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=188,6dwowIYAAAAJ,799.0,17.0,1993.0
Radha Jagadeesan,DePaul University,http://reed.cs.depaul.edu/rjagadeesan,zh0DETsAAAAJ,5902.0,38.0,1989.0
Hamed Qahri Saremi,DePaul University,https://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1353,po2au14AAAAJ,1352.0,15.0,2003.0
Amber Settle,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=768,eB03rP4AAAAJ,1848.0,21.0,1992.0
Rosalee Wolfe,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=946,S-RYbV0AAAAJ,1094.0,18.0,1995.0
Enid Montague,DePaul University,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1294,y6yxBkEAAAAJ,2941.0,28.0,2004.0
Eric J. Schwabe,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=728,XNKO1TatGm4C,1084.0,15.0,1987.0
James Yu,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/FacultyInfo.aspx?fid=344,,,,
Alex Rasin,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=1041,FGs9EMwAAAAJ,10876.0,23.0,2003.0
Lucia Dettori,DePaul University,https://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=203,WPynrgsAAAAJ,922.0,13.0,1990.0
Filipo Sharevski,DePaul University,https://www.cdm.depaul.edu/Faculty-and-Staff/Pages/faculty-info.aspx?fid=1341,tihGPGUAAAAJ,242.0,9.0,1989.0
Xiaoping Jia,DePaul University,http://condor.depaul.edu/xjia,ac2IpoEAAAAJ,803.0,16.0,1988.0
Anthony Chung,DePaul University,https://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=260,,,,
James Riely,DePaul University,http://fpl.cs.depaul.edu/jriely,P_76K3wAAAAJ,2194.0,21.0,1994.0
