name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Kaidi Xu,Drexel University,https://kaidixu.com,lYK0wlsAAAAJ,1096.0,16.0,2017.0
Shahin Jabbari,Drexel University,https://shahin-jabbari.github.io,h60zIiUAAAAJ,1530.0,10.0,2012.0
Christopher W. Geib,Drexel University,http://drexel.edu/cci/contact/Faculty/Geib-Christopher,jF9nhWAAAAAJ,3897.0,32.0,1992.0
Preetha Chatterjee,Drexel University,https://sites.udel.edu/preethac,5i170moAAAAJ,129.0,6.0,2017.0
Bruce W. Char,Drexel University,http://drexel.edu/cci/contact/Faculty/Char-Bruce,SMGY4jUAAAAJ,3643.0,21.0,1977.0
Dario D. Salvucci,Drexel University,http://www.mcs.drexel.edu/~salvucci,i1VJMhgAAAAJ,10406.0,41.0,1996.0
Emmanouil Pountourakis,Drexel University,https://drexel.edu/cci/about/directory/P/Pountourakis-Emmanouil,gWygCaAAAAAJ,206.0,7.0,2012.0
M. Brian Blake,Drexel University,http://drexel.edu/cci/contact/Faculty/Blake-MBrian,yviVLyIAAAAJ,5419.0,36.0,2000.0
Spiros Mancoridis,Drexel University,http://drexel.edu/cci/contact/Faculty/Mancoridis-Spiros,bKGwUrQAAAAJ,5269.0,34.0,1992.0
Santi Ontañón,Drexel University,http://drexel.edu/cci/contact/Faculty/Ontanon-Santiago,aS-DrOwAAAAJ,4935.0,34.0,2001.0
David E. Breen,Drexel University,https://www.cs.drexel.edu/~david,d5PqNPgAAAAJ,6134.0,35.0,1985.0
Jeremy Johnson,Drexel University,https://www.cs.drexel.edu/~jjohnson,0WqVazoAAAAJ,64786.0,52.0,
Vasilis Gkatzelis,Drexel University,https://www.cs.drexel.edu/~gkatz,0VBRRRoAAAAJ,820.0,15.0,2011.0
Ali Shokoufandeh,Drexel University,http://drexel.edu/cci/contact/Faculty/Shokoufandeh-Ali,YrsoRK0AAAAJ,5628.0,37.0,1995.0
Yuanfang Cai,Drexel University,https://www.cs.drexel.edu/~yfcai,14rruLUAAAAJ,4865.0,36.0,1982.0
Geoffrey Mainland,Drexel University,https://www.cs.drexel.edu/~mainland,jjWDm9wAAAAJ,3378.0,15.0,2004.0
Jeffrey L. Popyack,Drexel University,https://www.cs.drexel.edu/~jpopyack,cEscX0cAAAAJ,330.0,11.0,1978.0
Colin S. Gordon,Drexel University,https://www.cs.drexel.edu/~csgordon,Y9ek5GIAAAAJ,534.0,10.0,2006.0
Edward Kim,Drexel University,http://edwardkim.net,1q-Fu6cAAAAJ,734.0,15.0,2009.0
