name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Rüdiger L. Urbanke,EPFL,https://people.epfl.ch/rudiger.urbanke,vFWw1NoAAAAJ,27781.0,56.0,
Devis Tuia,EPFL,https://people.epfl.ch/devis.tuia,p3iJiLIAAAAJ,13271.0,55.0,2006.0
Martin Odersky,EPFL,http://lampwww.epfl.ch/~odersky,LbRD9tEAAAAJ,13833.0,57.0,1986.0
Emmanuel Abbe,EPFL,https://people.epfl.ch/emmanuel.abbe,,,,
Pierre Dillenbourg,EPFL,https://people.epfl.ch/pierre.dillenbourg,,,,
Babak Falsafi,EPFL,http://parsa.epfl.ch/~falsafi,LaNEuBUAAAAJ,16911.0,63.0,1990.0
Wenzel Jakob,EPFL,https://people.epfl.ch/wenzel.jakob,J4SmwaQAAAAJ,5607.0,26.0,2007.0
Patrick Thiran,EPFL,https://people.epfl.ch/patrick.thiran,7Ek7pqgAAAAJ,15255.0,58.0,1979.0
Dimitri Van De Ville,EPFL,https://miplab.epfl.ch,kFz4LNMAAAAJ,15808.0,57.0,1998.0
Giovanni De Micheli,EPFL,http://si2.epfl.ch/~demichel,,,,
Amir Roshan Zamir,EPFL,https://cs.stanford.edu/~amirz,RKjEFukAAAAJ,12071.0,31.0,2010.0
Sanidhya Kashyap,EPFL,https://sanidhya.github.io,rJTH4mYAAAAJ,1124.0,18.0,2013.0
George Candea,EPFL,http://dslab.epfl.ch/people/candea,Yd-SGH8AAAAJ,8585.0,46.0,1997.0
Volkan Cevher,EPFL,https://people.epfl.ch/volkan.cevher,hlWhzU8AAAAJ,10977.0,52.0,2001.0
Pierre Vandergheynst,EPFL,https://people.epfl.ch/pierre.vandergheynst,1p9NOFEAAAAJ,34290.0,73.0,
Pascal Frossard,EPFL,https://people.epfl.ch/pascal.frossard,,,,
Karl Aberer,EPFL,http://lsir.epfl.ch/aberer,ifU81ikAAAAJ,22044.0,71.0,1989.0
Mika Göös,EPFL,https://theory.stanford.edu/~mika,E1U3GIcAAAAJ,1181.0,19.0,2009.0
Paolo Ienne,EPFL,https://people.epfl.ch/101954,oB0wsDcAAAAJ,7919.0,43.0,1991.0
Amin Shokrollahi,EPFL,https://people.epfl.ch/amin.shokrollahi,ho_asq8AAAAJ,26950.0,69.0,
Alain Wegmann,EPFL,https://people.epfl.ch/alain.wegmann,,,,
François Fleuret,EPFL,https://people.epfl.ch/francois.fleuret,Bj1tRlsAAAAJ,9312.0,43.0,1996.0
Alcherio Martinoli,EPFL,https://people.epfl.ch/alcherio.martinoli,uVTR_eoAAAAJ,10322.0,50.0,1991.0
Alessandro Chiesa,EPFL,https://people.epfl.ch/alessandro.chiesa,rW1Bio0AAAAJ,6499.0,27.0,2010.0
Florent Krzakala,EPFL,https://people.epfl.ch/florent.krzakala,3jDeUlMAAAAJ,10495.0,54.0,2000.0
Ali H. Sayed,EPFL,https://people.epfl.ch/ali.sayed,uDG9sXQAAAAJ,45722.0,86.0,1991.0
Anne-Marie Kermarrec,EPFL,https://people.epfl.ch/anne-marie.kermarrec,aIAy-qcAAAAJ,22937.0,55.0,1992.0
Damir Filipovic,EPFL,https://people.epfl.ch/damir.filipovic,9HXRjPkAAAAJ,6556.0,39.0,1999.0
Ailamaki Natassa,EPFL,https://people.epfl.ch/anastasia.ailamaki,YdrkeNwAAAAJ,16156.0,64.0,1992.0
Arjen K. Lenstra,EPFL,https://people.epfl.ch/arjen.lenstra,rVqdVR4AAAAJ,17153.0,52.0,1980.0
Auke Jan Ijspeert,EPFL,https://people.epfl.ch/auke.ijspeert,ViYx9vMAAAAJ,23260.0,74.0,1994.0
Bixio Rimoldi,EPFL,https://people.epfl.ch/bixio.rimoldi,SsEHa6cAAAAJ,3971.0,23.0,1988.0
Pascal Fua,EPFL,https://people.epfl.ch/pascal.fua/bio?lang=en,kzFmAkYAAAAJ,61871.0,108.0,1986.0
Robert West,EPFL,https://people.epfl.ch/robert.west,ZiFn598AAAAJ,2991.0,23.0,2009.0
Marcel Salathé,EPFL,http://salathelab.epfl.ch,_wHMGkUAAAAJ,11413.0,41.0,2005.0
Christoph E. Koch,EPFL,https://people.epfl.ch/christoph.koch,JYt9T_sAAAAJ,138618.0,158.0,
Lenka Zdeborová,EPFL,https://people.epfl.ch/lenka.zdeborova,gkCjy_UAAAAJ,9938.0,49.0,2002.0
Martin Jaggi,EPFL,https://people.epfl.ch/martin.jaggi,r1TJBr8AAAAJ,10623.0,39.0,1987.0
Andreas Burg,EPFL,https://people.epfl.ch/andreas.burg,Uf6DIFMAAAAJ,8737.0,46.0,2000.0
Viktor Kuncak,EPFL,http://lara.epfl.ch/~kuncak,kmoklesAAAAJ,5299.0,41.0,1993.0
Rachid Guerraoui,EPFL,http://lpdwww.epfl.ch/rachid,_TR-7CEAAAAJ,28200.0,74.0,1992.0
Michael Kapralov,EPFL,http://theory.epfl.ch/kapralov,,,,
Emre Telatar,EPFL,https://people.epfl.ch/emre.telatar,8fiH7UkAAAAJ,20763.0,33.0,1989.0
Nicolas Flammarion,EPFL,https://people.epfl.ch/nicolas.flammarion,7nVGYfgAAAAJ,1386.0,18.0,2015.0
Serge Vaudenay,EPFL,http://lasecwww.epfl.ch/~vaudenay,ub25b48AAAAJ,10232.0,52.0,1992.0
Wulfram Gerstner,EPFL,http://lcn.epfl.ch/~gerstner,,,,
Negar Kiyavash,EPFL,https://people.epfl.ch/negar.kiyavash,7tBDvOwAAAAJ,3672.0,35.0,
Michael C. Gastpar,EPFL,https://people.epfl.ch/michael.gastpar,IQ3hcw4AAAAJ,13582.0,45.0,1996.0
Martin Rohrmeier,EPFL,https://people.epfl.ch/martin.rohrmeier,rsGh_pAAAAAJ,2949.0,25.0,2006.0
Friedrich Eisenbrand,EPFL,https://people.epfl.ch/friedrich.eisenbrand,nnifvacAAAAJ,2617.0,31.0,1997.0
Edouard Bugnion,EPFL,https://people.epfl.ch/edouard.bugnion,8ztj2yEAAAAJ,8268.0,34.0,1993.0
Martin Vetterli,EPFL,http://lcav.epfl.ch/martin.vetterli,YQcU3NYAAAAJ,76089.0,115.0,1976.0
Katerina J. Argyraki,EPFL,https://people.epfl.ch/katerina.argyraki,TvV_SVwAAAAJ,3256.0,29.0,1989.0
Nicolas Boumal,EPFL,https://people.epfl.ch/nicolas.boumal,o6tPrZAAAAAJ,3273.0,27.0,2010.0
Jeffrey Huang,EPFL,https://people.epfl.ch/jeffrey.huang,Ehxp2YIAAAAJ,1353.0,17.0,1970.0
Boi Faltings,EPFL,http://liawww.epfl.ch/~faltings,,,,
Jean-Pierre Hubaux,EPFL,https://people.epfl.ch/jean-pierre.hubaux,W7YBLlEAAAAJ,43966.0,90.0,1992.0
James R. Larus,EPFL,https://people.epfl.ch/james.larus,xWZTGPUAAAAJ,23985.0,69.0,1982.0
Ola Svensson,EPFL,http://theory.epfl.ch/osven,Nc2RiF4AAAAJ,2534.0,28.0,2004.0
Eduardo del Castillo-Sánchez,EPFL,https://people.epfl.ch/eduardo.sanchez,,,,
Markus Pauly,EPFL,http://lgg.epfl.ch/publications.php,TSGyT-EAAAAJ,15303.0,69.0,1994.0
Mark Pauly,EPFL,http://lgg.epfl.ch/people.php,bY63wY8AAAAJ,18599.0,63.0,1999.0
Antoine Bosselut,EPFL,https://atcbosselut.github.io,tK9K1D4AAAAJ,2055.0,20.0,2016.0
Bryan Ford,EPFL,http://www.brynosaurus.com,TwyzQP4AAAAJ,10417.0,49.0,1993.0
Carmela Troncoso,EPFL,http://carmelatroncoso.com,sMkt3SgAAAAJ,3855.0,31.0,2007.0
Alexandre Alahi,EPFL,https://people.epfl.ch/alexandre.alahi,UIhXQ64AAAAJ,17832.0,36.0,2008.0
Mathias Payer,EPFL,https://nebelwelt.net,9cFCY5wAAAAJ,6396.0,37.0,2004.0
Jean-Yves Le Boudec,EPFL,https://people.epfl.ch/jean-yves.leboudec,hLj70l8AAAAJ,32392.0,79.0,
Sabine Süsstrunk,EPFL,http://ivrl.epfl.ch/people/susstrunk,EX3OYP4AAAAJ,24983.0,50.0,1993.0
Matthias Grossglauser,EPFL,http://icapeople.epfl.ch/grossglauser,0PNdFHcAAAAJ,12415.0,42.0,1993.0
