name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Refik Molva,EURECOM,http://www.eurecom.fr/en/people/molva-refik,KufrHlgAAAAJ,9794.0,44.0,1985.0
Nicholas Evans,EURECOM,http://www.eurecom.fr/~evans,-_Ch8uoAAAAJ,7930.0,44.0,1983.0
Dirk Slock,EURECOM,http://www.eurecom.fr/en/people/slock-dirk,xV6lEzEAAAAJ,10130.0,44.0,1987.0
Paolo Papotti,EURECOM,http://www.eurecom.fr/en/people/papotti-paolo,YwoezYX7JVgJ,4037.0,32.0,2004.0
Jean-luc Dugelay,EURECOM,http://www.eurecom.fr/~dugelay,VGK3IyUAAAAJ,8786.0,44.0,1991.0
David Gesbert,EURECOM,http://www.eurecom.fr/cm/gesbert,WJPjaDgAAAAJ,27685.0,66.0,1995.0
Marios Kountouris,EURECOM,http://www.eurecom.fr/en/people/kountouris-marios,QG9iXtUAAAAJ,11974.0,48.0,2002.0
Raja Appuswamy,EURECOM,http://www.eurecom.fr/en/people/appuswamy-raja,47beUDAAAAAJ,758.0,15.0,2007.0
Raymond Knopp,EURECOM,http://www.eurecom.fr/en/people/knopp-raymond,jE-78dsAAAAJ,8399.0,36.0,1993.0
Marc Dacier,EURECOM,http://www.eurecom.fr/en/people/dacier-marc,V62JMEYAAAAJ,6712.0,38.0,1993.0
Christian Bonnet,EURECOM,http://www.eurecom.fr/en/people/bonnet-christian,ACeJK4AAAAAJ,8632.0,41.0,1993.0
Adlen Ksentini,EURECOM,http://www.eurecom.fr/en/people/ksentini-adlen,U6YFwO4AAAAJ,9108.0,47.0,2003.0
Navid Nikaein,EURECOM,http://www.eurecom.fr/~nikaeinn,uNoaxDIAAAAJ,6242.0,40.0,1999.0
Maurizio Filippone,EURECOM,http://www.eurecom.fr/~filippon,ILUeAloAAAAJ,3405.0,28.0,2005.0
Raphaël Troncy,EURECOM,http://www.eurecom.fr/~troncy,1BxhcigAAAAJ,6165.0,38.0,1999.0
Bernard Merialdo,EURECOM,http://www.eurecom.fr/en/people/merialdo-bernard,GhCcwsoAAAAJ,4118.0,30.0,1979.0
Pietro Michiardi,EURECOM,http://www.eurecom.fr/~michiard,mlx1eCgAAAAJ,6671.0,34.0,2001.0
Florian Kaltenberger,EURECOM,http://www.eurecom.fr/~kaltenbe,R1R9668AAAAJ,2319.0,25.0,2003.0
Davide Balzarotti,EURECOM,http://www.s3.eurecom.fr/~balzarot,ZhQ0CxsAAAAJ,9610.0,49.0,2002.0
Maria A. Zuluaga,EURECOM,http://www.eurecom.fr/~zuluaga,0SaJdxQAAAAJ,2256.0,21.0,2005.0
Aurelien Francillon,EURECOM,http://www.s3.eurecom.fr/~aurel,2nKaJagAAAAJ,5411.0,30.0,2005.0
Thrasyvoulos Spyropoulos,EURECOM,http://www.eurecom.fr/~spyropou,WVLr6NYAAAAJ,12861.0,41.0,2002.0
Motonobu Kanagawa,EURECOM,https://sites.google.com/site/motonobukanagawa,9G-g30IAAAAJ,401.0,9.0,2013.0
Petros Elia,EURECOM,http://www.eurecom.fr/~elia,VZAKIt4AAAAJ,2715.0,24.0,2003.0
Jerome Harri,EURECOM,http://www.eurecom.fr/~haerri,QSAclH8AAAAJ,6539.0,35.0,2002.0
Melek Onen,EURECOM,http://www.eurecom.fr/~onen,mnvnoK8AAAAJ,1542.0,22.0,2003.0
