name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Luc Segoufin,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~segoufin/Papers,,,,
Frédéric Blanqui,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/People,PHpAzZ8AAAAJ,1279.0,20.0,1997.0
David Baelde,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~baelde,,,,
Dietmar Berwanger,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~dwb,VWEg9YQAAAAJ,996.0,18.0,2001.0
Stefan Schwoon,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~schwoon,,,,
Gilles Dowek,Ecole Normale Superieure de Cachan,http://lsv.fr/~dowek,,,,
Stéphane Demri,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~demri,,,,
Thomas Chatain,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~chatain,,,,
Claudine Picaronny,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~picaro,Ve3L4jYAAAAJ,447.0,10.0,1987.0
Laurent Fribourg,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~fribourg,ivNbnaYAAAAJ,73911.0,136.0,
Alain Finkel,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~finkel,jq7H21IAAAAJ,6406.0,33.0,1982.0
Laurent Doyen,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~doyen/publications.html,t77pcVUAAAAJ,991.0,12.0,2002.0
Sylvain Schmitz,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~schmitz,mMktcHwAAAAJ,1352.0,21.0,2006.0
Benedikt Bollig,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~bollig,dhayPjwAAAAJ,1459.0,20.0,2001.0
Stéphanie Delaune,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~delaune,ktzXIEEAAAAJ,3566.0,33.0,2003.0
Michel Bidoit,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~bidoit/?l=fr,strTWMwAAAAJ,3982.0,29.0,1979.0
Jean Goubault,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~goubault/?l=fr,-18V_JUAAAAJ,2901.0,28.0,1996.0
Stefan Haar,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~haar,MgeEaDozUI8C,2295.0,22.0,1997.0
Patricia Bouyer,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~bouyer,sgKO-H4AAAAJ,5105.0,44.0,1998.0
Serge Abiteboul,Ecole Normale Superieure de Cachan,http://abiteboul.com,lk_jn24AAAAJ,34830.0,83.0,1981.0
Serge Haddad,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~haddad,caR0mbkAAAAJ,4712.0,35.0,1986.0
Nicolas Markey,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~markey,wWzobj4AAAAJ,3796.0,37.0,2000.0
Paul Gastin,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~gastin,LJNfnhgAAAAJ,3741.0,28.0,1986.0
Philippe Schnoebelen,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~phs,,,,
Hubert Comon,Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~comon,ypoy8WoAAAAJ,6875.0,43.0,1985.0
