name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Laurent Thévenoux,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/annuaire/m-thevenoux-laurent-261284.kjsp?RH=ENS-LYON,,,,
Frédéric Suter,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/annuaire/m-suter-frederic-136989.kjsp?RH=ENS-LYON,taujrLoAAAAJ,1928.0,23.0,2001.0
Denis Kuperberg,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/m-denis-kuperberg--318136.kjsp?RH=ENS-LYON-FR-CHERCHEU,Mop92PwAAAAJ,404.0,11.0,2010.0
Thierry Gautier,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/lecole/nous-connaitre/annuaire/thierry-gautier,ecU8PLEAAAAJ,1968.0,22.0,1994.0
Paola Boito,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/en/english-ens-de-lyon-269761.kjsp,OYBSJuIAAAAJ,2416.0,29.0,1988.0
Théo Mary,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/annuaire/m-theo-mary--300431.kjsp?RH=ENS-LYON,pHWyVsAAAAAJ,1424.0,17.0,2013.0
Jean-Christophe Mignot,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/jean-christophe.mignot,xQda7H8AAAAJ,439.0,10.0,1991.0
Guillaume Hanrot,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/guillaume.hanrot,,,,
Fabien Laguillaumie,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/fabien.laguillaumie,,,,
Benoît Libert,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/benoit.libert,kRpKU4IAAAAJ,8080.0,48.0,2003.0
Jean-Michel Muller,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/jean-michel.muller,q6Be-msAAAAJ,5983.0,34.0,1984.0
Filippo Bonchi,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/filippo.bonchi,RMy4gDsAAAAJ,2285.0,27.0,2006.0
Gilles Villard,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/gilles.villard,,,,
Russ Harmer,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/russell.harmer,PuVvSkAAAAAJ,1870.0,17.0,1999.0
Jean-Patrick Gelas,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/jean-patrick.gelas,NMd2LuIAAAAJ,1047.0,14.0,2000.0
Eric Fleury,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/eric.fleury,NoSE0UIAAAAJ,4834.0,36.0,
Damien Stehlé,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/damien.stehle,1qab5koAAAAJ,8781.0,40.0,2003.0
Christophe Alias,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/christophe.alias,,,,
