name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Elias Bou-Harb,Florida Atlantic University,http://faculty.eng.fau.edu/ebouharb,nxEcAJUAAAAJ,2442.0,25.0,2011.0
Hari Kalva,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/kalva,FO1NbXUAAAAJ,3586.0,35.0,
Mohammad Ilyas,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/ilyas,ks65XMQAAAAJ,5137.0,29.0,1981.0
Jason O. Hallstrom,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/hallstrom,,,,
Behnaz Ghoraani,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/ghoraani,ssLvFH8AAAAJ,914.0,13.0,2006.0
Ionut Cardei,Florida Atlantic University,http://www.cse.fau.edu/~icardei/index.html,6MZuZB4AAAAJ,1235.0,16.0,2000.0
Taghi M. Khoshgoftaar,Florida Atlantic University,http://www.cse.fau.edu/~taghi,,,,
Reza Azarderakhsh,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/azarderakhsh/index.php,zsnXFgwAAAAJ,2728.0,29.0,2006.0
Eduardo Fernández,Florida Atlantic University,http://faculty.eng.fau.edu/fernande,OAfHG7QAAAAJ,9811.0,43.0,1962.0
Bassem Alhalabi,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/alhalabi,O72412cAAAAJ,617.0,15.0,1992.0
Xingquan Zhu,Florida Atlantic University,http://www.cse.fau.edu/~xqzhu,YhKZXtcAAAAJ,18705.0,57.0,1983.0
Mihaela Cardei,Florida Atlantic University,http://www.cse.fau.edu/~mihaela,TJ_YumoAAAAJ,8588.0,33.0,2000.0
Dolores DeGroff,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/degroff,,,,
Ankur Agarwal,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/agarwal,lHvOG4EAAAAJ,5633.0,33.0,
William Rhodes,Florida Atlantic University,http://www.fau.edu/ufsgov/standing-committees.php,,,,
Shihong Huang,Florida Atlantic University,http://faculty.eng.fau.edu/shihong,c2XTHWgAAAAJ,1410.0,20.0,1999.0
Abhijit S. Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,,,,
Daniel Raviv,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/raviv,,,,
Ravi Shankar,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/shankar,4nMakAEAAAAJ,2050.0,20.0,
Hanqi Zhuang,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/zhuang,GaLP1jkAAAAJ,5275.0,37.0,1986.0
Imadeldin Mahgoub,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/mahgoub,,,,
Borko Furht,Florida Atlantic University,http://www.cse.fau.edu/~borko,z1BEGM8AAAAJ,9647.0,46.0,
Feng-Hao Liu,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/liu/index.php,vvWcl-wAAAAJ,1320.0,18.0,2008.0
Oge Marques,Florida Atlantic University,http://faculty.eng.fau.edu/omarques,ZgWULzYAAAAJ,3794.0,31.0,1998.0
KwangSoo Yang,Florida Atlantic University,http://faculty.eng.fau.edu/yangk/home/index.html,ou-o00sAAAAJ,507.0,10.0,2010.0
Ali Zilouchian,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/zilouchian,,,,
Mehrdad Nojoumian,Florida Atlantic University,http://faculty.eng.fau.edu/nojoumian,,,,
Yufei Tang,Florida Atlantic University,http://faculty.eng.fau.edu/tangy,tkzHKDoAAAAJ,2768.0,26.0,1985.0
