name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Michael King,Florida Institute of Technology,https://www.fit.edu/faculty-profiles/5/michael-king,Fdq2INsAAAAJ,10716.0,54.0,1976.0
David O. LeVan,Florida Institute of Technology,https://www.fit.edu/faculty-profiles/3/david-levan,,,,
Eraldo Ribeiro,Florida Institute of Technology,https://www.fit.edu/faculty-profiles/3/eraldo-ribeiro,OhniypkAAAAJ,2448.0,18.0,1998.0
Debasis Mitra,Florida Institute of Technology,https://cs.fit.edu/~dmitra,NhlPH-8AAAAJ,669.0,13.0,1980.0
Marco Carvalho,Florida Institute of Technology,https://www.fit.edu/faculty-profiles/5/marco-carvalho/?tracks=mcarvalho,P9uSzk4AAAAJ,2651.0,24.0,1992.0
Ryan Stansifer,Florida Institute of Technology,https://cs.fit.edu/~ryan,,,,
Heather Anne Crawford,Florida Institute of Technology,https://www.fit.edu/faculty-profiles/3/heather-crawford/?tracks=hcrawford,1Xd7XlMAAAAJ,825.0,12.0,2000.0
William Shoaff,Florida Institute of Technology,http://fit.academia.edu/WilliamShoaff,,,,
Phil F. Chan,Florida Institute of Technology,https://cs.fit.edu/~pkc,R_q2Nh4AAAAJ,15176.0,47.0,1989.0
Keith B. Gallagher,Florida Institute of Technology,https://cs.fit.edu/~kgallagher,iDCDbB4AAAAJ,2389.0,19.0,1988.0
William Allen,Florida Institute of Technology,http://www.fit.edu,,,,
Ronaldo Menezes,Florida Institute of Technology,https://cs.fit.edu/~rmenezes/Home.html,eHej2g8AAAAJ,2467.0,20.0,1997.0
Thomas C. Eskridge,Florida Institute of Technology,http://fit.academia.edu/ThomasCEskridge,ViQDZUkAAAAJ,2205.0,18.0,1987.0
