name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jie Yang,Florida State University,http://www.cs.fsu.edu/~jieyang,2futSMoAAAAJ,12578.0,53.0,1978.0
Xiuwen Liu,Florida State University,http://www.koofers.com/florida-state-university-fsu/instructors/liu-755220,2GH5rWkAAAAJ,4429.0,31.0,1993.0
Zhenhai Duan,Florida State University,http://www.cs.fsu.edu/~duan,DB5xu7gAAAAJ,2604.0,23.0,1999.0
Daniel Schwartz,Florida State University,http://www.cs.fsu.edu/~schwartz,JMzCwGEAAAAJ,20986.0,60.0,1958.0
Michael Mascagni,Florida State University,http://www.cs.fsu.edu/~mascagni,c6RD1lIAAAAJ,2733.0,29.0,1985.0
Michael N. Gubanov,Florida State University,http://www.mgubanov.com,4-2U_I8AAAAJ,643.0,17.0,2006.0
Sudhir Aggarwal,Florida State University,http://www.cs.fsu.edu/~sudhir,ivzz1G4AAAAJ,3072.0,21.0,1975.0
Lois Wright Hawkes,Florida State University,http://www.cs.fsu.edu/~hawkes,,,,
Robert A. van Engelen,Florida State University,https://www.asee.org/public/conferences/32/papers/9523/view,6qaOBTMAAAAJ,2359.0,22.0,1995.0
Piyush Kumar,Florida State University,http://compgeom.com/~piyush,aqdN-aUAAAAJ,3399.0,29.0,1973.0
Shayok Chakraborty,Florida State University,https://shayokch.com,5f3w1p0AAAAJ,1896.0,17.0,1991.0
Grigory Fedyukovich,Florida State University,https://www.cs.princeton.edu/~grigoryf/about.html,dv7u9JgAAAAJ,787.0,18.0,2010.0
Sonia Haiduc,Florida State University,https://www.cs.fsu.edu/~shaiduc,PH0OA2QAAAAJ,2006.0,22.0,2008.0
Mike Burmester,Florida State University,http://www.cs.fsu.edu/~burmeste,,,,
Gary Tyson,Florida State University,http://www.cs.fsu.edu/~tyson,vC_bjb0gU4EC,3432.0,29.0,1992.0
Zhi Wang,Florida State University,http://www.cs.fsu.edu/~zwang,Y9SwH_0AAAAJ,5071.0,26.0,2005.0
Peixiang Zhao,Florida State University,http://www.cs.fsu.edu/~zhao,ajRhtAkAAAAJ,2792.0,22.0,2004.0
Xian Fan,Florida State University,https://www.cs.fsu.edu/~fan/index.html,Cy91GecAAAAJ,15085.0,17.0,2005.0
Xiaonan Zhang,Florida State University,https://www.cs.fsu.edu/~xzhang/index.html,i2zf_1QAAAAJ,141.0,7.0,2014.0
Zhenghao Zhang,Florida State University,http://www.cs.fsu.edu/~zzhang,sfCo01gAAAAJ,1082.0,16.0,2003.0
Alan Kuhnle,Florida State University,http://www.alankuhnle.com,,,,
Ashok Srinivasan,Florida State University,http://www.cs.fsu.edu/~asriniva/home,MEt-KIwAAAAJ,5108.0,23.0,1991.0
Weikuan Yu,Florida State University,http://www.cs.fsu.edu/~yuw,G5I0JlwAAAAJ,3548.0,31.0,2003.0
Xin Yuan,Florida State University,http://www.cs.fsu.edu/~xyuan,ZatdtQ8AAAAJ,33409.0,90.0,1992.0
An-I Andy Wang,Florida State University,http://www.cs.fsu.edu/~awang,QK-cRZ0AAAAJ,1612.0,19.0,1992.0
David B. Whalley,Florida State University,http://www.cs.fsu.edu/~whalley,bH9h9x4AAAAJ,7666.0,40.0,1988.0
Viet Tung Hoang,Florida State University,http://www.cs.fsu.edu/~tvhoang,ggcCMuIAAAAJ,2140.0,17.0,2008.0
