name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Yijia Chen,Fudan University,http://basics.sjtu.edu.cn/~chen,pBqhBdoAAAAJ,671.0,13.0,2000.0
Wei Zhang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2019,D1dHP5kAAAAJ,2794.0,26.0,2002.0
Jin Zhao,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2033,,,,
Qi Zhang,Fudan University,http://nlp.fudan.edu.cn/~qzhang,XfqR3yYAAAAJ,4492.0,34.0,2005.0
Peng Wang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1953,7lLdhrIAAAAJ,137261.0,124.0,1980.0
Zhiping Xu,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=2145,mH_E5eAAAAAJ,213.0,4.0,2006.0
Yinan Jing,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1848,,,,
Xuanjing Huang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1836,RGsMgZA4H78C,11376.0,51.0,1985.0
Yun Xiong,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1979,,,,
Zhi-Hui Wang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1958###,Z66hJ3EAAAAJ,25560.0,69.0,2004.0
Chaofeng Sha,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1918###,,,,
Weiwei Sun,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1923,,,,
Haibin Kan,Fudan University,http://www.cs.fudan.edu.cn/?page_id=14441,,,,
Fei Wang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1948,,,,
Yinsheng Li,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1869###,,,,
X. Sean Wang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1249?lang=eng,AHOG_MgAAAAJ,8221.0,45.0,1992.0
Yanwei Fu,Fudan University,https://yanweifu.github.io,Vg54TcsAAAAJ,6698.0,37.0,2010.0
Bihuan Chen,Fudan University,https://chenbihuan.github.io,Cz-4wl0AAAAJ,1487.0,19.0,2009.0
Xiahai Zhuang,Fudan University,http://www.sdspeople.fudan.edu.cn/zhuangxiahai,XlavIMcAAAAJ,3130.0,26.0,2005.0
Yuan Tang,Fudan University,http://people.csail.mit.edu/yuantang,kC2YD14AAAAJ,645.0,9.0,2002.0
Wenyun Zhao,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=2103,,,,
Zengfeng Huang,Fudan University,http://www.cse.ust.hk/~huangzf,FwNBuXUAAAAJ,1084.0,13.0,2011.0
Mi Zhang,Fudan University,https://cs.fudan.edu.cn/3f/f6/c25909a278518/page.htm,lXL7QxMAAAAJ,1732.0,14.0,2003.0
Tun Lu,Fudan University,http://cscw.fudan.edu.cn/%E7%A7%91%E7%A0%94%E9%98%9F%E4%BC%8D/%E6%95%99%E5%B8%88%E5%8F%8A%E5%8D%9A%E5%A3%AB%E5%90%8E/%E5%8D%A2%E6%9A%BE,VYEL_GQAAAAJ,1024.0,18.0,2005.0
Shanfeng Zhu,Fudan University,http://datamining-iip.fudan.edu.cn,,,,
Yitong Wang,Fudan University,http://dataology.fudan.edu.cn/85/89/c4601a34185/page.htm,,,,
Shuigeng Zhou,Fudan University,http://admis.fudan.edu.cn/~sgzhou,yAE-Av4AAAAJ,9839.0,54.0,1956.0
Guangliang Yang,Fudan University,https://yang-guangliang.github.io,bh1JfPkAAAAJ,246.0,8.0,2014.0
Yu-Gang Jiang,Fudan University,http://www.yugangjiang.info,f3_FP8AAAAAJ,17018.0,61.0,2006.0
Rudolf Fleischer,Fudan University,http://www.tcs.fudan.edu.cn/~rudolf,SyshpvAAAAAJ,3666.0,28.0,
Yangfan Zhou,Fudan University,http://www.y-droid.com,qPcorFEAAAAJ,1797.0,20.0,2005.0
Weili Han,Fudan University,http://crypto.fudan.edu.cn/people/weili,n5g_EI0AAAAJ,2557.0,23.0,1998.0
Kai Zhang,Fudan University,https://kay21s.github.io,GvuK7z4AAAAJ,343.0,7.0,2011.0
Sharon Xianghua Ding,Fudan University,http://www.xianghuading.com,B9M48i8AAAAJ,822.0,16.0,2005.0
Zhongyu Wei,Fudan University,http://www.sdspeople.fudan.edu.cn/zywei,AjLDxxgAAAAJ,2391.0,25.0,2009.0
Xin Peng,Fudan University,http://www.se.fudan.edu.cn/pengxin,wATYGXEAAAAJ,2419.0,27.0,2000.0
Yan Qiu Chen,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=1781,,,,
Yang Chen,Fudan University,https://chenyang03.wordpress.com,O6tge4UAAAAJ,1932.0,24.0,2005.0
Minbo Li,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=1858,,,,
Zhemin Yang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=12009###,geN0ks0AAAAJ,1705.0,14.0,2009.0
Zijing Tan,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1938,,,,
Hui Wei,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=6724,,,,
Xudong Li,Fudan University,https://dblp.uni-trier.de/pers/hd/l/Li:Xudong,2ryDzAsAAAAJ,562.0,11.0,2015.0
Xipeng Qiu,Fudan University,http://homepage.fudan.edu.cn/xpqiu,Pq4Yp_kAAAAJ,8835.0,42.0,2003.0
Xin Wang,Fudan University,http://homepage.fudan.edu.cn/xinw2013,4KcxzhoAAAAJ,1021.0,17.0,1997.0
Jie Wu,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=2258,,,,
Zhipeng Xie,Fudan University,http://homepage.fudan.edu.cn/xiezp,,,,
Xiang-Dong Zhou,Fudan University,http://homepage.fudan.edu.cn/xdzhou,QUrLihYAAAAJ,2929.0,25.0,1992.0
Xiu Cao,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=1765,,,,
Wenqing Zhang,Fudan University,http://homepage.fudan.edu.cn/wqzhang/testete,,,,
Yijian Wu,Fudan University,http://homepage.fudan.edu.cn/wuyijian,,,,
Mingmin Chi,Fudan University,http://homepage.fudan.edu.cn/mingmin,Y8b1W00AAAAJ,2868.0,23.0,2005.0
Jian Wang,Fudan University,http://homepage.fudan.edu.cn/jianwang,5i7YIEgAAAAJ,1686.0,14.0,2009.0
Hong Lu,Fudan University,http://homepage.fudan.edu.cn/honglu,bR8b-WIAAAAJ,1292.0,20.0,2001.0
Cheng Jin,Fudan University,http://homepage.fudan.edu.cn/chengjin,,,,
Bo Yan,Fudan University,http://homepage.fudan.edu.cn/boyan,,,,
Hui Xu,Fudan University,https://hxuhack.github.io,16neAUkAAAAJ,517.0,13.0,2014.0
Bin Li,Fudan University,http://homepage.fudan.edu.cn/binli/zh,8t97oL8AAAAJ,3216.0,24.0,2005.0
Ke Wei,Fudan University,http://www.sdspeople.fudan.edu.cn/weike,9nr1fe8AAAAJ,1222.0,17.0,2013.0
Chengrong Wu,Fudan University,http://www.cs.fudan.edu.cn/en/?page_id=2253,,,,
Su Yang,Fudan University,http://homepage.fudan.edu.cn/suyang,,,,
Lingfei Jin,Fudan University,http://www.cs.fudan.edu.cn/?page_id=8856###,S83wFzEAAAAJ,693.0,13.0,2010.0
Xiangyang Xue,Fudan University,http://homepage.fudan.edu.cn/xyxue/zh,DTbhX6oAAAAJ,12289.0,53.0,1993.0
Zhe Zhou,Fudan University,https://faculty.fudan.edu.cn/zhouzhe/zh_CN/index.htm,opjl8JkAAAAJ,771.0,12.0,2014.0
Weidong Zhao,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2038,,,,
Ning Gu,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2089,,,,
