name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Gulfem Alptekin,Galatasaray University,https://avesis.gsu.edu.tr/gisiklar,QsiWkyMAAAAJ,1211.0,13.0,2005.0
Ozlem Durmaz,Galatasaray University,https://avesis.gsu.edu.tr/odincel,r9h9Zp4AAAAJ,4944.0,28.0,2004.0
Ismail Burak Parlak,Galatasaray University,https://avesis.gsu.edu.tr/bparlak,,,,
Atay Ozgovde,Galatasaray University,https://avesis.gsu.edu.tr/aozgovde,obp2euEAAAAJ,1114.0,10.0,2007.0
Rabie Ben Atitallah,Galatasaray University,https://cv.gsu.edu.tr/tr/CV/rabie-ben-atitallah,EkBJrH4AAAAJ,1280.0,19.0,2004.0
Ozgun Pinarer,Galatasaray University,https://avesis.gsu.edu.tr/opinarer,s0jOxwMAAAAJ,38.0,4.0,2011.0
Tankurt Acarman,Galatasaray University,https://avesis.gsu.edu.tr/tacarman,NOSCHOLARPAGE,,,
Erden Tugcu,Galatasaray University,https://avesis.gsu.edu.tr/etugcu,NOSCHOLARPAGE,,,
Reis Burak Arslan,Galatasaray University,https://avesis.gsu.edu.tr/buarslan,mseeu7YAAAAJ,139.0,7.0,2001.0
Murat Akin,Galatasaray University,https://avesis.gsu.edu.tr/murakin,NOSCHOLARPAGE,,,
Keziban Orman,Galatasaray University,https://avesis.gsu.edu.tr/korman,4KWtCFkAAAAJ,725.0,10.0,2009.0
Ahmet Teoman Naskali,Galatasaray University,https://avesis.gsu.edu.tr/tnaskali,c9hcikgAAAAJ,372.0,8.0,2006.0
Salih Murat Egi,Galatasaray University,https://avesis.gsu.edu.tr/megi,NOSCHOLARPAGE,,,
