name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mahe Velauthapillai,Georgetown University,http://people.cs.georgetown.edu/~mahe,,,,
Bala Kalyanasundaram,Georgetown University,http://people.cs.georgetown.edu/~kalyan,,,,
Jeremy T. Fineman,Georgetown University,http://people.cs.georgetown.edu/~jfineman,_Wb6s7cAAAAJ,2517.0,24.0,2003.0
Calvin C. Newport,Georgetown University,http://people.cs.georgetown.edu/~cnewport,EhodjeAAAAAJ,4544.0,30.0,2003.0
Grace Hui Yang,Georgetown University,http://infosense.cs.georgetown.edu/grace,nafo_HAAAAAJ,1937.0,25.0,2002.0
Justin Thaler,Georgetown University,http://people.cs.georgetown.edu/jthaler,LrjJYV4k6WkC,1930.0,23.0,2009.0
Nathan Schneider,Georgetown University,http://nathan.cl,3cozMf4AAAAJ,5505.0,23.0,2010.0
Der-Chen Chang,Georgetown University,http://explore.georgetown.edu/people/chang,eVj0PpgAAAAJ,17086.0,44.0,1988.0
Nazli Goharian,Georgetown University,http://people.cs.georgetown.edu/~nazli,b3tUsfEAAAAJ,3343.0,29.0,1998.0
Clay Shields,Georgetown University,http://people.cs.georgetown.edu/~clay,flCzpwcAAAAJ,7248.0,28.0,1996.0
Evan Barba,Georgetown University,http://explore.georgetown.edu/people/eb892,mecUsgMAAAAJ,101134.0,164.0,1966.0
Kobbi Nissim,Georgetown University,http://people.cs.georgetown.edu/~kobbi,U-RE8IgAAAAJ,21608.0,48.0,1997.0
Lisa Singh,Georgetown University,http://people.cs.georgetown.edu/~singh,,,,
Ophir Frieder,Georgetown University,http://people.cs.georgetown.edu/~ophir,uUXCSMkAAAAJ,18047.0,57.0,1987.0
Micah Sherr,Georgetown University,https://security.cs.georgetown.edu/~msherr,0MkHY9cAAAAJ,3144.0,27.0,2001.0
Benjamin E. Ujcich,Georgetown University,https://personal.benujcich.georgetown.domains,cb0qEdoAAAAJ,119.0,7.0,2012.0
Matt Blaze,Georgetown University,http://www.crypto.com,,,,
Richard Squier,Georgetown University,http://explore.georgetown.edu/people/squier,TsnIyVQAAAAJ,1608.0,14.0,1996.0
Wenchao Zhou,Georgetown University,http://people.cs.georgetown.edu/~wzhou,4J1s3noAAAAJ,3904.0,26.0,2006.0
Alexander Golovnev,Georgetown University,https://golovnev.org,zA9SpgkAAAAJ,500.0,13.0,2011.0
J. Montgomery,Georgetown University,http://explore.georgetown.edu/people/jm985,XQYNoekAAAAJ,90207.0,64.0,1976.0
Marcus A. Maloof,Georgetown University,http://people.cs.georgetown.edu/~maloof,,,,
