name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Richard Fujimoto,Georgia Institute of Technology,http://www.cc.gatech.edu/~fujimoto,q1bkP7AAAAAJ,18618.0,61.0,1982.0
Qirun Zhang,Georgia Institute of Technology,http://helloqirun.github.io,u0TKjhIAAAAJ,494.0,11.0,2010.0
Felix J. Herrmann,Georgia Institute of Technology,http://www.slim.eos.ubc.ca,hw23CTQAAAAJ,8308.0,44.0,1991.0
Brendan Saltaformaggio,Georgia Institute of Technology,https://saltaformaggio.ece.gatech.edu,1GsJvtwAAAAJ,827.0,17.0,2011.0
Beth Mynatt,Georgia Institute of Technology,http://ipat.gatech.edu/people/beth-mynatt,l7nsfT4AAAAJ,18394.0,62.0,1991.0
Hyesoon Kim,Georgia Institute of Technology,http://www.cc.gatech.edu/~hyesoon,7OvZhQIAAAAJ,6948.0,39.0,1985.0
Elizabeth Cherry,Georgia Institute of Technology,https://cse.gatech.edu/people/elizabeth-cherry,E6h84HUAAAAJ,5273.0,27.0,2000.0
Dana Randall,Georgia Institute of Technology,http://people.math.gatech.edu/~randall,6wCEmNYAAAAJ,2020.0,25.0,1987.0
Hongyuan Zha,Georgia Institute of Technology,http://www.cc.gatech.edu/~zha,n1DQMIsAAAAJ,28912.0,84.0,1989.0
H. Venkateswaran,Georgia Institute of Technology,http://www.cc.gatech.edu/~venkat,,,,
Santosh S. Vempala,Georgia Institute of Technology,http://www.cc.gatech.edu/~vempala,hRggMmIAAAAJ,18757.0,64.0,1993.0
Greg Turk,Georgia Institute of Technology,http://www.cc.gatech.edu/~turk,Q_4d9N0AAAAJ,20773.0,58.0,1988.0
Milos Prvulovic,Georgia Institute of Technology,http://www.cc.gatech.edu/~milos,A_j_baAAAAAJ,4820.0,32.0,1997.0
Umakishore Ramachandran,Georgia Institute of Technology,http://www.cc.gatech.edu/~rama,J1tqbNAAAAAJ,5736.0,38.0,1987.0
Mustaque Ahamad,Georgia Institute of Technology,http://www.cc.gatech.edu/~mustaq,xkCYK58AAAAJ,8464.0,44.0,1983.0
Edward Omiecinski,Georgia Institute of Technology,http://www.cc.gatech.edu/~edwardo,,,,
Seymour E. Goodman,Georgia Institute of Technology,http://www.iac.gatech.edu/people/faculty/goodman,,,,
Ling Liu,Georgia Institute of Technology,http://www.cc.gatech.edu/~lingliu,VIwtdckAAAAJ,30730.0,77.0,1992.0
Blair MacIntyre,Georgia Institute of Technology,https://blairmacintyre.me,UA3tyKwAAAAJ,16671.0,47.0,1991.0
W. Keith Edwards,Georgia Institute of Technology,http://www.cc.gatech.edu/~keith,QYqwwwcAAAAJ,14371.0,62.0,1982.0
John T. Stasko,Georgia Institute of Technology,http://www.cc.gatech.edu/~john.stasko,2PxFftgAAAAJ,23515.0,72.0,1984.0
Jarek Rossignac,Georgia Institute of Technology,http://www.cc.gatech.edu/~jarek,Q3KRC5gAAAAJ,14576.0,57.0,1984.0
Tucker Balch,Georgia Institute of Technology,http://www.cc.gatech.edu/home/tucker,jM1cT4QAAAAJ,14722.0,46.0,1988.0
James Hays,Georgia Institute of Technology,http://www.cc.gatech.edu/~hays,vjZrDKQAAAAJ,40440.0,48.0,2004.0
Concettina Guerra,Georgia Institute of Technology,http://www.cc.gatech.edu/~guerra,,,,
Srinivas Aluru,Georgia Institute of Technology,http://www.cc.gatech.edu/~saluru,YOGOScoAAAAJ,12179.0,45.0,1991.0
Haesun Park,Georgia Institute of Technology,http://www.cc.gatech.edu/~hpark,G6kA1CMAAAAJ,17287.0,66.0,1972.0
Ronald C. Arkin,Georgia Institute of Technology,http://www.cc.gatech.edu/home/arkin,WSN7T_YAAAAJ,25412.0,62.0,1986.0
Alessandro Orso,Georgia Institute of Technology,http://www.cc.gatech.edu/home/orso,wCfYkMkAAAAJ,12985.0,59.0,1995.0
T. E. Starner,Georgia Institute of Technology,http://www.cc.gatech.edu/home/thad,qr8Vo9IAAAAJ,36941.0,83.0,1990.0
Andrea Lockerd,Georgia Institute of Technology,http://www.cc.gatech.edu/~athomaz,jIs-Y2gAAAAJ,6563.0,41.0,2002.0
Vlad Kolesnikov,Georgia Institute of Technology,https://www.scs.gatech.edu/people/vladimir-kolesnikov,1vwuDM4AAAAJ,5242.0,33.0,1997.0
Irfan A. Essa,Georgia Institute of Technology,http://prof.irfanessa.com,XM97iScAAAAJ,20753.0,66.0,1990.0
Alexander G. Gray,Georgia Institute of Technology,http://www.cs.cmu.edu/~agray,M3VZmxIAAAAJ,4006.0,11.0,1998.0
Xiuwei Zhang,Georgia Institute of Technology,https://www.cc.gatech.edu/~xzhang954,8n-iVhwAAAAJ,1399.0,10.0,2006.0
Xu Chu,Georgia Institute of Technology,https://www.cc.gatech.edu/~xchu33,RqkqRnUAAAAJ,2504.0,19.0,2009.0
Sonia Chernova,Georgia Institute of Technology,http://www.cc.gatech.edu/~chernova,EYo_WkEAAAAJ,7621.0,33.0,2002.0
Jun (Jim) Xu,Georgia Institute of Technology,http://www.cc.gatech.edu/~jx,mHwonDEAAAAJ,6803.0,38.0,2001.0
Wei Xu,Georgia Institute of Technology,https://cocoxu.github.io,BfOdG-oAAAAJ,2633.0,23.0,1997.0
Beki Grinter,Georgia Institute of Technology,http://www.cc.gatech.edu/~beki/Beki.html,PNalJ58AAAAJ,16869.0,65.0,1993.0
Calton Pu,Georgia Institute of Technology,http://www.cc.gatech.edu/~calton,Vbv-JEwAAAAJ,21758.0,70.0,1979.0
Duen Horng (Polo) Chau,Georgia Institute of Technology,http://www.cc.gatech.edu/~dchau,YON32W4AAAAJ,6994.0,45.0,2005.0
Nancy J. Nersessian,Georgia Institute of Technology,http://www.cc.gatech.edu/aimosaic/faculty/nersessian,m201flcAAAAJ,9667.0,46.0,1977.0
Ellen W. Zegura,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Ellen.Zegura,Z6EHuGcAAAAJ,20118.0,55.0,1984.0
Shamkant B. Navathe,Georgia Institute of Technology,http://www.cc.gatech.edu/computing/Database/faculty/sham,_Z12v2IAAAAJ,30050.0,58.0,
Amy Bruckman,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Amy.Bruckman,IdWa_JkAAAAJ,14122.0,60.0,1983.0
Charles Isbell,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Charles.Isbell,,,,
Prasad Tetali,Georgia Institute of Technology,https://people.math.gatech.edu/~tetali,FmZaK1wAAAAJ,5667.0,43.0,
Edmond Chow,Georgia Institute of Technology,http://www.cc.gatech.edu/~echow,jGqGKGMAAAAJ,7275.0,31.0,1991.0
James D. Foley,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Jim.Foley/foley.html,GmcChLIAAAAJ,23952.0,40.0,1967.0
Mostafa H. Ammar,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Mostafa.Ammar,OT79Y9UAAAAJ,23618.0,79.0,1978.0
Santosh Pande,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Santosh.Pande,d6vL_ZkAAAAJ,644.0,14.0,2007.0
Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ,3372.0,29.0,
Melody M. Moore,Georgia Institute of Technology,http://www.cc.gatech.edu/home/melody,83SAwBsAAAAJ,1248.0,18.0,2005.0
Milena Mihail,Georgia Institute of Technology,http://www.cc.gatech.edu/home/mihail,,,,
Taesoo Kim,Georgia Institute of Technology,https://taesoo.gtisc.gatech.edu,06hgT8gAAAAJ,6274.0,45.0,1995.0
Constantine Dovrolis,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Constantinos.Dovrolis,sfuwsSwAAAAJ,15135.0,55.0,1997.0
Zsolt Kira,Georgia Institute of Technology,http://www.cc.gatech.edu/~zk15,2a5XgNAAAAAJ,3994.0,26.0,2003.0
Merrick L. Furst,Georgia Institute of Technology,http://www.cc.gatech.edu/people/merrick-furst,DDDRx9EAAAAJ,7072.0,18.0,1979.0
Judy Hoffman,Georgia Institute of Technology,https://cs.berkeley.edu/~jhoffman,mqpjAt4AAAAJ,19055.0,40.0,2011.0
Matthew C. Gombolay,Georgia Institute of Technology,https://www.cc.gatech.edu/people/matthew-gombolay,Ihyz20wAAAAJ,1245.0,18.0,2012.0
Richard J. Lipton,Georgia Institute of Technology,http://www.cc.gatech.edu/people/richard-lipton,,,,
Zvi Galil,Georgia Institute of Technology,http://www.cc.gatech.edu/people/zvi-galil,,,,
Alexandra Boldyreva,Georgia Institute of Technology,http://www.cc.gatech.edu/~aboldyre,8mHLyRoAAAAJ,8805.0,30.0,
Bruce N. Walker,Georgia Institute of Technology,http://sonify.psych.gatech.edu/~walkerb,xY3zIEAAAAAJ,6817.0,44.0,1996.0
Srijan Kumar,Georgia Institute of Technology,https://www.cse.gatech.edu/people/srijan-kumar,kqfLNK8AAAAJ,3067.0,21.0,2013.0
Jack Poulson,Georgia Institute of Technology,http://ideas.gatech.edu/hg/item/185201,,,,
B. Aditya Prakash,Georgia Institute of Technology,http://www.cc.gatech.edu/~badityap,C-NftTgAAAAJ,4517.0,40.0,2007.0
Paul Pearce,Georgia Institute of Technology,http://people.eecs.berkeley.edu/~pearce,JvY2c4YAAAAJ,1147.0,12.0,2010.0
Rich Vuduc,Georgia Institute of Technology,http://vuduc.org,CCGI7x4AAAAJ,8636.0,42.0,1995.0
David Devecsery,Georgia Institute of Technology,https://www.cc.gatech.edu/~ddevecsery6,HaJWLb0AAAAJ,275.0,6.0,2010.0
Harish Ravichandar,Georgia Institute of Technology,https://www.cc.gatech.edu/people/harish-ravichandar,d2HP6SMAAAAJ,506.0,11.0,2014.0
Alexey Tumanov,Georgia Institute of Technology,https://www.cc.gatech.edu/~atumanov,7P-gZioAAAAJ,3876.0,24.0,2006.0
Manos Antonakakis,Georgia Institute of Technology,https://sites.google.com/site/antonakakis,P6VJcVIAAAAJ,6197.0,32.0,2005.0
