name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ursula H. Augsdörfer,Graz University of Technology,https://www.tugraz.at/institute/cgv/ursula-augsdoerfer,JmsBIc8AAAAJ,389.0,9.0,1996.0
Theresa Rienmüller,Graz University of Technology,https://www.tugraz.at/institute/hce/institut/team,GPPaSdoAAAAJ,136.0,7.0,2009.0
Joerg Schroettner,Graz University of Technology,https://www.tugraz.at/institute/hce/institut/team,,,,
Kerstin Lenk,Graz University of Technology,https://www.tugraz.at/institute/ine/people/kerstin-lenk,ZAX2F5gAAAAJ,226.0,10.0,2009.0
Hermann A. Maurer,Graz University of Technology,https://www2.isds.tugraz.at/maurer,2rUZR9MAAAAJ,8809.0,43.0,
Christian Baumgartner,Graz University of Technology,http://www.hce.tugraz.at,,,,
Franz Aurenhammer,Graz University of Technology,https://www.tugraz.at/institute/igi/team/prof-aurenhammer,9F2RaXkAAAAJ,11798.0,34.0,1983.0
Bernhard K. Aichernig,Graz University of Technology,http://aichernig.blogspot.com,O6dEPWYAAAAJ,2343.0,30.0,1997.0
Birgit Vogtenhuber,Graz University of Technology,http://www.ist.tugraz.at/vogtenhuber,,,,
Gerald Steinbauer,Graz University of Technology,http://www.ist.tugraz.at/steinbauer/Main_Page,aXkPAnEAAAAJ,1713.0,21.0,2001.0
Tobias Schreck,Graz University of Technology,https://www.tugraz.at/institute/cgv/schreck,9cJsSIIAAAAJ,7650.0,46.0,2004.0
Wolfgang Slany,Graz University of Technology,http://www.ist.tugraz.at/wolfgang_slany.html,yCR2h98AAAAJ,2669.0,27.0,1986.0
Leila Taher,Graz University of Technology,https://www.tugraz.at/institute/bioinfo/institute/team,W2nzzwcAAAAJ,2370.0,21.0,2003.0
Gerhard G. Thallinger,Graz University of Technology,https://genome.tugraz.at/people.shtml,aMG6ceMAAAAJ,21240.0,38.0,1992.0
Gernot R. Müller,Graz University of Technology,https://www.tugraz.at/institute/ine/people/gernot-mueller-putz,NkODKfIAAAAJ,20713.0,70.0,1964.0
Franz Wotawa,Graz University of Technology,http://www.ist.tugraz.at/staff/wotawa,Z27gH2wAAAAJ,6944.0,37.0,1994.0
Robert Legenstein,Graz University of Technology,https://www.tugraz.at/institute/igi/team/prof-legenstein,nyUoJk0AAAAJ,4901.0,30.0,1999.0
Alexander Felfernig,Graz University of Technology,http://www.ist.tugraz.at/felfernig,ZD0F-a0AAAAJ,9044.0,44.0,1988.0
Oswin Aichholzer,Graz University of Technology,http://www.ist.tugraz.at/aichholzer,y8u3o-kAAAAJ,3947.0,33.0,1991.0
Frank Kappe,Graz University of Technology,https://www.tugraz.at/institutes/isds/home,OGG4eAUAAAAJ,2335.0,20.0,1988.0
Christian Guetl,Graz University of Technology,https://www.tugraz.at/institutes/isds/home,NoAiKpcAAAAJ,5255.0,32.0,1998.0
Selina C. Wriessnegger,Graz University of Technology,https://www.tugraz.at/institutes/ine/people/selina-wriessnegger,Y_B7AnAAAAAJ,2056.0,21.0,2000.0
Hermann Scharfetter,Graz University of Technology,https://www.tugraz.at/institutes/imt/home,tRtS-x8AAAAJ,8044.0,30.0,1992.0
Rudolf Stollberger,Graz University of Technology,https://www.tugraz.at/institutes/imt/home,5prEu_4AAAAJ,5516.0,33.0,1988.0
Eduardo E. Veas,Graz University of Technology,https://www.tugraz.at/institutes/icg/institute/people,-78yV4YAAAAJ,1559.0,20.0,2005.0
Thomas Pock,Graz University of Technology,https://www.tugraz.at/institute/icg/research/team-pock/people/pock,FwNaHxQAAAAJ,23433.0,64.0,2004.0
Friedrich Fraundorfer,Graz University of Technology,https://www.tugraz.at/institute/icg/research/team-fraundorfer/people/friedrich-fraundorfer,M0boL5kAAAAJ,9802.0,37.0,2001.0
Matthias Boehm,Graz University of Technology,https://mboehm7.github.io,jrPG2AUAAAAJ,1364.0,20.0,2007.0
Horst Bischof,Graz University of Technology,https://www.tugraz.at/institute/icg/research/team-bischof/people/team-about/horst-bischof,_pq05Q4AAAAJ,44559.0,93.0,1989.0
Dieter Schmalstieg,Graz University of Technology,https://www.tugraz.at/institute/icg/research/team-schmalstieg/team/team-about/dieter-schmalstieg,xXu8K6IAAAAJ,23720.0,76.0,
Sujoy Sinha Roy,Graz University of Technology,https://www.iaik.tugraz.at/person/sujoy-sinha-roy,58_wa_4AAAAJ,2225.0,26.0,2010.0
Gerhard Sommer,Graz University of Technology,https://www.biomech.tugraz.at/index.php/people/gerhard_sommer,gD2-pFUAAAAJ,4003.0,24.0,2003.0
Viktoria Pammer,Graz University of Technology,https://viktoriapammer.wordpress.com,muJor3MAAAAJ,1423.0,22.0,2003.0
Nick Scerbakov,Graz University of Technology,https://coronet.iicm.tugraz.at/Dbase1/nick1.htm,,,,
Denis Kalkofen,Graz University of Technology,https://www.tugraz.at/institute/icg/research/team-schmalstieg/team/team-about/denis-kalkofen,cEngYLkAAAAJ,1935.0,27.0,2006.0
Martin Ebner,Graz University of Technology,https://elearningblog.tugraz.at/page/martinebner//?lng=de&sct=home,dnnkxkcAAAAJ,11253.0,47.0,1965.0
David García,Graz University of Technology,https://dgarcia.eu/curriculum-vitae,nHb01mMAAAAJ,4520.0,34.0,2010.0
Dietrich Albert,Graz University of Technology,http://cognitive-science.at/team/dietrich-albert,bTDhizEAAAAJ,5619.0,38.0,1968.0
Daniel Gruss,Graz University of Technology,https://gruss.cc,JmCg4uQAAAAJ,9994.0,35.0,2014.0
Maria Eichlseder,Graz University of Technology,https://eichlseder.at,JtbejLsAAAAJ,1397.0,21.0,2013.0
Yannic Maus,Graz University of Technology,https://academia.yannicmaus.de,GwluKiMAAAAJ,410.0,12.0,2015.0
Franz Leberl,Graz University of Technology,http://www.leberl.info,-s4b1XAAAAAJ,4709.0,34.0,1970.0
Wolfgang Maass,Graz University of Technology,https://igi-web.tugraz.at/people/maass,2WpvdH0AAAAJ,24539.0,72.0,1974.0
Keith Andrews,Graz University of Technology,https://keithandrews.com/keith,,,,
Gerhard Holzapfel,Graz University of Technology,https://www.biomech.tugraz.at/people/gerhard_holzapfel,TCfOWgUAAAAJ,36199.0,88.0,1983.0
Denis Helic,Graz University of Technology,http://kti.tugraz.at/about-kti/team/dhelic,7tAilWQAAAAJ,2006.0,24.0,1997.0
Stefanie N. Lindstädt,Graz University of Technology,https://www.ffg.at/content/prof-dr-stefanie-n-lindstaedt,ZcWoNxgAAAAJ,2420.0,26.0,1993.0
Roderick Bloem,Graz University of Technology,https://www.iaik.tugraz.at/content/about_iaik/people/bloem_roderick,Sv1AfEYAAAAJ,6675.0,42.0,1996.0
Vincent Lepetit,Graz University of Technology,https://www.labri.fr/perso/vlepetit,h0a5q3QAAAAJ,32187.0,70.0,1999.0
Johannes Peter Wallner,Graz University of Technology,https://wallner.ist.tugraz.at,MNjnPt4AAAAJ,1451.0,19.0,2010.0
Elisabeth Lex,Graz University of Technology,http://www.elisabethlex.info,kEzfvdYAAAAJ,1535.0,23.0,2007.0
Stefan Mangard,Graz University of Technology,https://www.iaik.tugraz.at/content/about_iaik/people/mangard_stefan,d2LyJ8gAAAAJ,16949.0,51.0,2001.0
Roman Kern,Graz University of Technology,http://kti.tugraz.at/staff/rkern/about,5R14JLcAAAAJ,1651.0,22.0,2003.0
Markus Steinberger,Graz University of Technology,https://www.markussteinberger.net,meRwdycAAAAJ,1513.0,19.0,2010.0
Johanna Pirker,Graz University of Technology,http://jpirker.com,ta4FNOkAAAAJ,869.0,18.0,2011.0
Christian Rechberger,Graz University of Technology,https://www.iaik.tugraz.at/content/about_iaik/people/rechberger_christian,0HMdWcUAAAAJ,8472.0,47.0,2002.0
