name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dimitris Papadopoulos,HKUST,https://www.cse.ust.hk/faculty/dimitris,ehFC94kAAAAJ,2588.0,28.0,1999.0
Ngok Lam,HKUST,https://www.cse.ust.hk/~lamngok,brfERGEAAAAJ,1108.0,16.0,1985.0
Nevin L. Zhang,HKUST,https://www.cse.ust.hk/faculty/lzhang,18_xlPUAAAAJ,5907.0,36.0,1986.0
Mordecai J. Golin,HKUST,https://www.cse.ust.hk/faculty/golin,YooPxQwAAAAJ,2717.0,26.0,1988.0
Fangzhen Lin,HKUST,http://www.cs.ust.hk/~flin,klFoxpYAAAAJ,5958.0,33.0,1980.0
Helen C. Shen,HKUST,http://repository.ust.hk/ir/AuthorProfile/shen-helen-c-m,EXePOXQAAAAJ,7392.0,38.0,2004.0
Lei Chen,HKUST,https://www.cse.ust.hk/~leichen,gtglwgYAAAAJ,19516.0,72.0,1998.0
Qiang Yang,HKUST,http://www.cs.ust.hk/~qyang,6vQP4KIAAAAJ,8793.0,26.0,1982.0
Mounir Hamdi,HKUST,http://www.cs.ust.hk/~hamdi,QBietV4AAAAJ,9421.0,42.0,1983.0
Kenneth Wai-Ting Leung,HKUST,https://www.cse.ust.hk/~kwtleung,,,,
Charles Zhang,HKUST,http://www.cs.ust.hk/~charlesz,JlkjyIoAAAAJ,742.0,12.0,2006.0
Brian Kan-Wing Mak,HKUST,https://www.cse.ust.hk/~mak,Zx8p8RsAAAAJ,2483.0,23.0,1989.0
Cunsheng Ding,HKUST,http://www.cs.ust.hk/faculty/cding,,,,
Dekai Wu,HKUST,http://www.cs.ust.hk/~dekai,NMkg-64AAAAJ,5998.0,38.0,1986.0
Sunghun Kim,HKUST,https://www.cse.ust.hk/~hunkim,dQM6NLgAAAAJ,37258.0,89.0,1985.0
Xin Li,HKUST,https://www.cse.ust.hk/~lixin,,,,
Sai Kit Yeung,HKUST,http://www.saikit.org,16iMMwwAAAAJ,3874.0,31.0,2002.0
Sunil Arya,HKUST,https://www.cse.ust.hk/~arya,Azu2w_MAAAAJ,7396.0,29.0,1993.0
Dimitris Papadias,HKUST,https://www.cse.ust.hk/faculty/dimitris,7BPMWSkAAAAJ,21142.0,71.0,1991.0
Qian Zhang,HKUST,https://home.cse.ust.hk/~qianzh,XTlaQMkAAAAJ,26830.0,83.0,2000.0
S.-H. Gary Chan,HKUST,https://home.cse.ust.hk/~gchan,uiCSOycAAAAJ,6414.0,41.0,1983.0
Bo Li,HKUST,https://www.cse.ust.hk/~bli,BMkV-YoAAAAJ,133895.0,106.0,
Dik Lun Lee,HKUST,https://www.cse.ust.hk/~dlee,,,,
Dit-Yan Yeung,HKUST,https://www.cse.ust.hk/~dyyeung,nEsOOx8AAAAJ,28782.0,69.0,1985.0
Frederick H. Lochovsky,HKUST,https://www.cse.ust.hk/~fred,eIm7hjkAAAAJ,5821.0,31.0,1974.0
Ting-Chuen Pong,HKUST,https://www.cse.ust.hk/faculty/tcpong,,,,
Pascale Fung,HKUST,http://www.ee.ust.hk/~pascale,QEMJWzEAAAAJ,9568.0,51.0,1988.0
Brahim Bensaou,HKUST,https://www.cse.ust.hk/~csbb,aQblKVwAAAAJ,4424.0,30.0,1990.0
Derick Wood,HKUST,https://www.cse.ust.hk/derickwood,KVpdzBkAAAAJ,3863.0,18.0,1988.0
Andrew B. Horner,HKUST,http://www.cse.ust.hk/faculty/horner,irCp0RIAAAAJ,2335.0,23.0,1983.0
Wilfred Ng,HKUST,http://www.cs.ust.hk/~wilfred,NJ6YPT4AAAAJ,4870.0,39.0,1997.0
Hao Chen,HKUST,https://cse.hkust.edu.hk/~jhc,Z_t5DjwAAAAJ,14346.0,53.0,2014.0
Qifeng Chen,HKUST,https://cqf.io,lLMX9hcAAAAJ,4644.0,28.0,2012.0
K. T. Tim Cheng,HKUST,http://www.ust.hk/about-hkust/senior-adm/dean-of-engineering,-SgpaF8AAAAJ,23710.0,77.0,1984.0
Siu-Wing Cheng,HKUST,http://www.cse.ust.hk/faculty/scheng,0nquEkQAAAAJ,3616.0,30.0,1989.0
Qiong Luo,HKUST,https://www.cse.ust.hk/~luo,SqAsppUAAAAJ,9027.0,38.0,2000.0
Chi-Keung Tang,HKUST,http://www.cse.ust.hk/~cktang,EWfpM74AAAAJ,12968.0,54.0,1994.0
Mingming Fan,HKUST,http://www.mingmingfan.com,GAqZYGcAAAAJ,474.0,13.0,2008.0
James T. Kwok,HKUST,http://www.cse.ust.hk/~jamesk,-oTraZ4AAAAJ,21222.0,65.0,1997.0
Huamin Qu,HKUST,http://huamin.org,J7a5zGEAAAAJ,8880.0,48.0,1998.0
Dan Xu,HKUST,https://www.danxurgb.net,OuSPv-AAAAAJ,4115.0,32.0,2011.0
Raymond Chi-Wing Wong,HKUST,http://www.cse.ust.hk/~raywong,IKgiD0AAAAAJ,5138.0,38.0,1994.0
David Rossiter,HKUST,http://www.cse.ust.hk/~rossiter,,,,
Jogesh K. Muppala,HKUST,http://www.cse.ust.hk/faculty/muppala,cG0My4kAAAAJ,4377.0,33.0,1987.0
Pedro V. Sander,HKUST,http://www.cse.ust.hk/~psander,GIToYFwAAAAJ,5450.0,33.0,
Yangqiu Song,HKUST,https://www.cse.ust.hk/~yqsong,MdQZ-q8AAAAJ,8863.0,47.0,2005.0
Kai Chen,HKUST,http://www.cse.ust.hk/~kaichen,2282PT8AAAAJ,1487.0,16.0,2012.0
