name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Anja Lehmann,Hasso Plattner Institute,https://hpi.de/das-hpi/personen/professoren/prof-dr-anja-lehmann.html,zH3fwYoAAAAJ,2045.0,26.0,
Holger Giese,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-holger-giese.html,tbVxns0AAAAJ,10044.0,44.0,
Gerard de Melo,Hasso Plattner Institute,http://gerard.demelo.org,WCQXaGkAAAAJ,5437.0,39.0,
Christian Doerr,Hasso Plattner Institute,https://hpi.de/forschung/fachgebiete/cybersecurity-enterprise-security.html,,,,
Tobias Friedrich,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-tobias-friedrich.html,vxfzU6IAAAAJ,9371.0,46.0,
Robert Hirschfeld,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-robert-hirschfeld.html,,,,
Patrick Baudisch,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-patrick-baudisch.html,GdRdhYwAAAAJ,19838.0,80.0,
Jürgen Döllner,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-juergen-doellner.html,,,,
Christoph Meinel,Hasso Plattner Institute,https://hpi.de/en/meinel/chair.html,9WN2Ho0AAAAJ,20780.0,75.0,
Mathias Weske,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-mathias-weske.html,Qc4JtWcAAAAJ,18382.0,63.0,
Christoph Lippert,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-christoph-lippert.html,RVl8TE0AAAAJ,4555.0,28.0,
Hasso Plattner,Hasso Plattner Institute,https://hpi.de/forschung/fachgebiete/enterprise-platform-and-integration-concepts.html,,,,
Andreas Polze,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-andreas-polze.html,,,,
Bert Arnrich,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-bert-arnrich.html,GGtsB6kAAAAJ,4562.0,31.0,
Felix Naumann,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-felix-naumann.html,Pqf21y0AAAAJ,11636.0,55.0,
Bernhard Renard,Hasso Plattner Institute,https://hpi.de/forschung/fachgebiete/data-analytics-and-computational-statistics.html,YeSos8AAAAAJ,2993.0,31.0,
Erwin P. Bottinger,Hasso Plattner Institute,https://hpi.de/en/the-hpi/people/professors/prof-dr-ewin-boettinger.html,3dWDnnYAAAAJ,51819.0,115.0,
Tilmann Rabl,Hasso Plattner Institute,https://hpi.de/das-hpi/personen/professoren/prof-dr-tilmann-rabl.html,BQvUJuYAAAAJ,2700.0,25.0,
