name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dina Duhovny,Hebrew University of Jerusalem,http://www.huji.ac.il/dataj/controller/ihoker/MOP-STAFF_LINK?sno=70741876&Save_t=,f072c1AAAAAJ,11979.0,45.0,
Ari Rappoport,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~arir,qhQPnpMAAAAJ,7784.0,45.0,
Amit Daniely,Hebrew University of Jerusalem,http://amitdaniely.com,jUtYwE0AAAAJ,1560.0,19.0,
Yossi Gilad,Hebrew University of Jerusalem,https://www.cs.huji.ac.il/~yossigi,J2P_wDYAAAAJ,2192.0,19.0,
Amit Zoran,Hebrew University of Jerusalem,http://amitz.co,hx1uIRIAAAAJ,1316.0,19.0,
Mor Nitzan,Hebrew University of Jerusalem,https://www.cs.huji.ac.il/~mornitzan,D7WH8ksAAAAJ,1116.0,17.0,
Orna Bernholtz,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~ornak,5o111aIAAAAJ,12119.0,52.0,
Ilan Komargodski,Hebrew University of Jerusalem,https://www.cs.huji.ac.il/~ilank,WYTugmIAAAAJ,1011.0,19.0,
Daphna Weinshall,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~daphna,kwZTvH4AAAAJ,9282.0,49.0,
Shai Shalev-Shwartz,Hebrew University of Jerusalem,https://www.cs.huji.ac.il/~shais,uYVc9koAAAAJ,25284.0,58.0,
Oded Schwartz,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~odedsc,uwrwLJcAAAAJ,2239.0,26.0,
Nathan Linial,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~nati,wEBsSloAAAAJ,17139.0,61.0,
Noam Nisan,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~noam,zXQZPnMAAAAJ,32043.0,75.0,
Nir Friedman,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~nir,xjnef1AAAAAJ,83563.0,93.0,
Leo Joskowicz,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~josko,PoyxglsAAAAJ,7710.0,45.0,
Jeffrey S. Rosenschein,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~jeff,YO7cKNMAAAAJ,13015.0,57.0,
Guy Kindler,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~gkindler,h0_3SjAAAAAJ,2564.0,23.0,
Dafna Shahaf,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~dshahaf,AgyW_90AAAAJ,1925.0,22.0,
Dorit Aharonov,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~doria,hTBcSYQAAAAJ,7032.0,33.0,
Danny Dolev,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~dolev,RAt7zSUAAAAJ,26633.0,68.0,
Omri Abend,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~oabend,BD_hRzYAAAAJ,1565.0,22.0,
David Hay,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~dhay,K4ItCq4AAAAJ,6400.0,40.0,
Gabi Stanovsky,Hebrew University of Jerusalem,https://gabrielstanovsky.github.io,AtkvBFYAAAAJ,1552.0,18.0,
Shmuel Peleg,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~peleg,CshJxRUAAAAJ,22490.0,66.0,
Dror G. Feitelson,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~feit,DQdE9-MAAAAJ,14934.0,59.0,
Yuval Kochman,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~yuvalko,gNoj8SkAAAAJ,822.0,17.0,2002.0
Roy Schwartz,Hebrew University of Jerusalem,https://schwartz-lab-huji.github.io,wvfWo9IAAAAJ,3592.0,21.0,2011.0
Guy Katz,Hebrew University of Jerusalem,http://stanford.edu/~guyk,3nYG5BMAAAAJ,2721.0,21.0,2012.0
Ami Wiesel,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~amiw,X7bG7YYAAAAJ,5958.0,31.0,2002.0
Dani Lischinski,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~danix,haahCZ4AAAAJ,22260.0,56.0,1990.0
Matan Gavish,Hebrew University of Jerusalem,http://ratio.huji.ac.il/node/779,j0nK_CsAAAAJ,1782.0,17.0,2007.0
Alex Samorodnitsky,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~salex,,,,
Katrina Ligett,Hebrew University of Jerusalem,http://www.huji.ac.il/dataj/controller/ihoker/MOP-STAFF_LINK?sno=68805179&Save_t=,PqQAVcAAAAAJ,3518.0,26.0,2001.0
Sara Cohen,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~sara,J2sg9BwAAAAJ,2592.0,26.0,1995.0
Aviv Zohar,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~avivz,PcTIS1oAAAAJ,9091.0,31.0,1970.0
Michael Schapira,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~schapiram,vVvbU7oAAAAJ,5482.0,41.0,2005.0
Yair Weiss,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~yweiss,9DXQi8gAAAAJ,47600.0,70.0,1993.0
Raanan Fattal,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~raananf,9fO1bn8AAAAJ,12206.0,27.0,1998.0
Yehoshua Sagiv,Hebrew University of Jerusalem,http://www.huji.ac.il/dataj/controller/ihoker/MOP-STAFF_LINK?sno=5007961&Save_t=,,,,
Omri Weinstein,Hebrew University of Jerusalem,http://www.cs.columbia.edu/~omri,oRi9TIwAAAAJ,1055.0,19.0,2011.0
Yair Bartal,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~yair,eCXP24kAAAAJ,7112.0,42.0,1981.0
Michael Werman,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~werman,WBeDvikAAAAJ,11562.0,50.0,1984.0
Tommy Kaplan,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~tommy,Zqqw2FQAAAAJ,5382.0,30.0,2000.0
Naftali Tishby,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~tishby,,,,
Amnon Shashua,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~shashua,dwi5wvYAAAAJ,20032.0,73.0,1988.0
Gil Segev,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~segev,cnPetCkAAAAJ,4594.0,38.0,2007.0
