name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Holger Fröning,Heidelberg University,http://www.ziti.uni-heidelberg.de/ziti/en/ce-home,zToBrYIAAAAJ,1036.0,16.0,2002.0
Fred A. Hamprecht,Heidelberg University,https://hci.iwr.uni-heidelberg.de/people/fhamprec,lO62bt0AAAAJ,12839.0,53.0,1977.0
Bogdan Savchynskyy,Heidelberg University,https://hci.iwr.uni-heidelberg.de/vislearn/people/bogdan,nvycljAAAAAJ,1331.0,18.0,2000.0
Katja D. Mombaur,Heidelberg University,https://typo.iwr.uni-heidelberg.de/groups/orb/people/prof-katja-mombaur,HuN7dvgAAAAJ,3471.0,28.0,1999.0
Wolfgang Merkle,Heidelberg University,https://www.math.uni-heidelberg.de/logic/merkle/merkle.html,rgFS9KYAAAAJ,837.0,16.0,1996.0
Karl Rohr,Heidelberg University,http://www.bioquant.uni-heidelberg.de/index.php?id=322,mfB460IAAAAJ,12267.0,51.0,1989.0
Ulrich Brüning,Heidelberg University,https://ra.ziti.uni-heidelberg.de/cag/staff/u-bruening,,,,
Guido Kanschat,Heidelberg University,http://simweb.iwr.uni-heidelberg.de/~gkanscha/de,G-HcRDwAAAAJ,5640.0,30.0,1995.0
Felix Joos,Heidelberg University,https://www.ifi.uni-heidelberg.de/theoi/team/felix_joos.html,,,,
Stefan Riezler,Heidelberg University,https://www.cl.uni-heidelberg.de/~riezler,nY9tQLYAAAAJ,3883.0,29.0,1990.0
Björn Ommer,Heidelberg University,https://hci.iwr.uni-heidelberg.de/compvis/prof-ommer,zWbvIUcAAAAJ,3523.0,31.0,2003.0
Artur Andrzejak,Heidelberg University,https://pvs.ifi.uni-heidelberg.de/team/aa,AmoRK7cAAAAJ,3546.0,29.0,1994.0
Lorenzo Masia,Heidelberg University,https://www.lorenzomasia.com/home,07hYOU0AAAAJ,2563.0,29.0,2003.0
Michael Gertz,Heidelberg University,https://dbs.ifi.uni-heidelberg.de/team/gertz,F4eflRgAAAAJ,7660.0,41.0,1993.0
Susanne Krömker,Heidelberg University,https://vngg.iwr.uni-heidelberg.de/People/kroemker,ScUVMiQAAAAJ,325.0,10.0,
Essam Badreddin,Heidelberg University,http://proaut.ziti.uni-heidelberg.de/joomla/index.php/en/staff/head,,,,
Barbara Paech,Heidelberg University,https://se.ifi.uni-heidelberg.de/people/barbara_paech.html,,,,
Filip Sadlo,Heidelberg University,https://vcg.iwr.uni-heidelberg.de/people/sadlo,aptHqwMAAAAJ,2470.0,26.0,1994.0
Vincent Heuveline,Heidelberg University,https://emcl.iwr.uni-heidelberg.de/people/heuveline-vincent,xsAahYgAAAAJ,3519.0,31.0,1996.0
Robert Strzodka,Heidelberg University,https://www.physik.uni-heidelberg.de/personen/lsf.php?details=25474,,,,
Jürgen Hesser,Heidelberg University,http://medphyssrv1.medma.uni-heidelberg.de/cms,,,,
Peter Bastian,Heidelberg University,https://conan.iwr.uni-heidelberg.de/people/peter,pVZJ_NcAAAAJ,6013.0,37.0,1989.0
Christoph S. Garbe,Heidelberg University,https://ipm.iwr.uni-heidelberg.de/people/cgarbe,,,,
Ullrich Köthe,Heidelberg University,https://hci.iwr.uni-heidelberg.de/vislearn/people/ullrich-koethe,gt-yaNMAAAAJ,5973.0,38.0,1993.0
Christoph Schnörr,Heidelberg University,https://ipa.math.uni-heidelberg.de/cschnoerr,C-5j7CQAAAAJ,12675.0,53.0,1989.0
Carsten Rother,Heidelberg University,https://hci.iwr.uni-heidelberg.de/vislearn/people/carsten-rother,N_YNMIMAAAAJ,37053.0,84.0,1999.0
