name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Lynne Baillie,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/lynne-baillie.htm,qusCPxoAAAAJ,1664.0,22.0,2001.0
Santiago Chumbe,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/santiago-segundo-chumbe,4zoTdQMAAAAJ,48.0,4.0,1996.0
Sasa Radomirovic,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/sasa-radomirovic,3KP-_8cAAAAJ,1868.0,23.0,1998.0
Phil Bartie,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/Phil-Bartie.htm,6A8l1l8AAAAJ,1457.0,16.0,2005.0
Jenny Coady,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/jenny-coady.htm,,,,
Jessica Chen-Burger,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/yun-heh-chen-burger,GKiqYxoAAAAJ,1348.0,17.0,1995.0
Ioannis Konstas,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/ioannis-konstas.htm,FAJSqSkjAoIC,3036.0,21.0,2008.0
Lilia Georgieva,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/lilia-georgieva.htm,,,,
Mike Just,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/mike-just.htm,W0GgRxAAAAAJ,1678.0,19.0,1994.0
Alasdair J. G. Gray,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/alasdair-j-g-gray.htm,3XRqgLcAAAAJ,10278.0,18.0,2003.0
Nicholas K. Taylor,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/nicholas-taylor.htm,ujf8B2gAAAAJ,1084.0,19.0,1982.0
David Corne,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/david-wolfe-corne.htm,6jNgTK4AAAAJ,19719.0,54.0,1992.0
Murdoch Gabbay,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/murdoch-james-gabbay.htm,2B9QID8AAAAJ,3515.0,28.0,1999.0
Michael A. Lones,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/michael-adam-lones,MtauJIcAAAAJ,1157.0,19.0,2001.0
Manuel Maarek,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/dr-manuel-maarek.htm,QtQDy8MAAAAJ,255.0,10.0,2003.0
Arash Eshghi,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/arash-eshghi.htm,yCku-o8AAAAJ,1279.0,18.0,2005.0
Idris Skloul Ibrahim,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/idris-ibrahim.htm,,,,
Wei Pang,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/wei-pang,kfFNe0cAAAAJ,2228.0,21.0,2002.0
Oliver Lemon,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/oliver-lemon.htm,YYWptO4AAAAJ,7278.0,44.0,1996.0
Ekaterina Komendantskaya,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/ekaterina-komendantskaya.htm,,,,
