name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Alan Akbik,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/ml,adKmg3IAAAAJ,2459.0,14.0,2009.0
Henning Meyerhenke,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/macsy/standardseite,cjr90bEAAAAJ,3321.0,26.0,2000.0
Christoph Berkholz,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/loginf/luk/berkholz/berkholz-page,,,,
Eckhard Grass,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/bbk/modul-bbk,,,,
Jens-Peter Redlich,Humboldt University of Berlin,http://sar.informatik.hu-berlin.de/main/main_page.htm,,,,
Verena V. Hafner,Humboldt University of Berlin,http://adapt.informatik.hu-berlin.de,BgeNFyEAAAAJ,3148.0,23.0,1998.0
Ulf Leser,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/forschung/gebiete/wbi,VKfq59gAAAAJ,10026.0,50.0,1996.0
Björn Scheuermann,Humboldt University of Berlin,http://www.ti.informatik.hu-berlin.de,,,,
Johann Christoph Freytag,Humboldt University of Berlin,http://www.dbis.informatik.hu-berlin.de,yVGyEzIAAAAJ,6892.0,31.0,1982.0
Matthias Weidlich,Humboldt University of Berlin,http://www.informatik.hu-berlin.de/de/forschung/gebiete/pda,P_9a7I0AAAAJ,8519.0,46.0,2006.0
Niels Pinkwart,Humboldt University of Berlin,http://cses.informatik.hu-berlin.de,WrsLeY0AAAAJ,4181.0,31.0,2001.0
Stefan Kratsch,Humboldt University of Berlin,http://www.informatik.hu-berlin.de/de/forschung/gebiete/ae,P3-nVvkAAAAJ,2578.0,28.0,2010.0
Timo Kehrer,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/mse,WJw1SK0AAAAJ,1610.0,20.0,2008.0
Peter Eisert,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/viscom/eisert/eisert,BCElyCkAAAAJ,5521.0,36.0,1996.0
Joachim Fischer,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/sam,x9bgDJoAAAAJ,2906.0,22.0,2010.0
Nicole Schweikardt,Humboldt University of Berlin,http://www2.informatik.hu-berlin.de/logik,Ghy_9r8AAAAJ,1663.0,22.0,1997.0
Johannes Köbler,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/forschung/gebiete/algorithmenII,YMXVA0wAAAAJ,2683.0,24.0,1985.0
Jan Mendling,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/promis/team/mendling,e3LVAMEAAAAJ,30324.0,84.0,2002.0
Lars Grunske,Humboldt University of Berlin,http://www.informatik.hu-berlin.de/de/forschung/gebiete/SE,tXYPtDgAAAAJ,5095.0,40.0,2003.0
Bernd-Holger Schlingloff,Humboldt University of Berlin,http://www2.informatik.hu-berlin.de/svt,,,,
