name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Garimella Rama Murthy,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ramamurthy,YUWS9LAAAAAJ,1379.0,16.0,1989.0
Ashok Kumar Das,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ashokkdas,bToAUHMAAAAJ,12570.0,66.0,2005.0
Venkatesh Choppella,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/choppell,fGj4T74AAAAJ,958.0,12.0,1995.0
Syed Azeemuddin,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/azeemuddin,6FjRZ_MAAAAJ,1173.0,11.0,2000.0
Bapi Raju Surampudi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rajubapi,bbSYyiAAAAAJ,3333.0,26.0,1990.0
Avinash Sharma,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/asharma,O_94NWYAAAAJ,1770.0,13.0,1942.0
Abhishek Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ,42.0,4.0,2013.0
Suresh Purini,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/psuresh,m8_F5SoAAAAJ,295.0,8.0,2007.0
Anoop M. Namboodiri,IIIT Hyderabad,http://iiit.ac.in/~anoop,mpI3sbYAAAAJ,2172.0,25.0,2001.0
P. Ubaidulla,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/pubaidulla,JpIWSI4AAAAJ,1029.0,17.0,2000.0
P. Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ,2167.0,23.0,1992.0
K. Srinathan,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/srinathan,-iyXX44AAAAJ,2268.0,23.0,2000.0
Suryakanth V. Gangashetty,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/svg,U1ofnDgAAAAJ,1263.0,19.0,2001.0
Raghu Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~raghu.reddy,-WWiT4MAAAAJ,1178.0,18.0,2002.0
R. K. Bagga,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rbagga,,,,
Ramanathan Subramanian,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/s.ramanathan,mUvcmRsAAAAJ,2821.0,25.0,2004.0
Sachin Chaudhari,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/sachin.chaudhari,vowwEQgAAAAJ,1098.0,13.0,2004.0
Ramesh Loganathan,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ramesh.loganathan,,,,
Radhika Mamidi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/radhikamamidi,DsIpZR0AAAAJ,968.0,15.0,1998.0
Soma Paul,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/soma,rNO7BrYAAAAJ,150.0,6.0,2003.0
Sujit Gujar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/sujit.g,9yxKajsAAAAJ,696.0,14.0,1963.0
Shatrunjay Rawat,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/shatrunjay.rawat,,,,
Rambabu Kalla,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rambabukalla,,,,
Anil Kumar Vuppala,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/anilvuppala,VEx1PN4AAAAJ,1258.0,18.0,1970.0
Saswata Shannigrahi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/saswata.sh,PbbIftYAAAAJ,154.0,6.0,2009.0
Girish Varma,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/girish.varma,YLlRCu4AAAAJ,596.0,10.0,2007.0
P. J. Narayanan,IIIT Hyderabad,https://www.iiit.ac.in/~pjn,3HKjt_IAAAAJ,6428.0,32.0,1989.0
Priyanka Srivastava,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/priyanka,xjiw6DYAAAAJ,882.0,17.0,2010.0
Nita Parekh,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/nita,AxoY6h4AAAAJ,938.0,16.0,1990.0
Kalluri R. Sarma,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/krsarma,,,,
Kishore Prahallad,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/kishore,3-8i_54AAAAJ,3220.0,27.0,1999.0
Naresh Manwani,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/naresh.manwani,qz4eDmgAAAAJ,694.0,9.0,2006.0
Jayanthi Sivaswamy,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/jsivaswamy,HfATfbMAAAAJ,4145.0,32.0,1993.0
Vasudeva Varma,IIIT Hyderabad,https://www.iiit.ac.in/~vv/Home.html,9OFvbfcAAAAJ,5751.0,37.0,1996.0
K. S. Rajan,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rajan,00_zU7QAAAAJ,1127.0,17.0,1997.0
Kamal Karlapalem,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/kamal,,,,
Pawan Kumar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/pawan.kumar,Zt5c_MYAAAAJ,54872.0,121.0,1960.0
Govindarajulu Regeti,IIIT Hyderabad,https://iiit.ac.in/people/faculty/gregeti,TvcR9REAAAAJ,18.0,3.0,2008.0
Kishore Kothapalli,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/kkishore,fKTjFPIAAAAJ,1387.0,20.0,2003.0
Vishal Garg,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/vishal,vyH26MIAAAAJ,1387.0,19.0,1997.0
C. V. Jawahar,IIIT Hyderabad,https://www.iiit.ac.in/~jawahar,U9dH-DoAAAAJ,12093.0,54.0,1995.0
Kavita Vemuri,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/kvemuri,,,,
Vikram Pudi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/vikram,jH79pJkAAAAJ,1749.0,23.0,1994.0
Dipti Misra Sharma,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/dipti,,,,
K. Madhava Krishna,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/mkrishna,QDuPGHwAAAAJ,3293.0,30.0,1991.0
Manish Shrivastava,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/m.shrivastava,sIvMnGQAAAAJ,1949.0,25.0,2005.0
Praveen Paruchuri,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/praveen.p,ILUqgKEAAAAJ,2061.0,15.0,2002.0
Vineet Gandhi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/vgandhi,PVlBz8oAAAAJ,548.0,13.0,2012.0
Krishnan Prasad,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/prasad.krishnan,tRbRF34AAAAJ,7384.0,45.0,1979.0
Moumita Patra,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/moumita.patra,BIGZy7sAAAAJ,1099.0,18.0,2007.0
