name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
N. Viswanadham,IISc Bangalore,http://lcm.csa.iisc.ernet.in/nv,djtLYqgAAAAJ,8000.0,41.0,1947.0
Partha P. Talukdar,IISc Bangalore,http://talukdar.net,CIZwXAcAAAAJ,6729.0,46.0,2004.0
Devarajan Sridharan,IISc Bangalore,http://cns.iisc.ac.in/sridhar,5ij8Y9YAAAAJ,3181.0,13.0,2006.0
Pushpak Jagtap,IISc Bangalore,https://www.pushpakjagtap.com/,Szd98jUAAAAJ,368.0,11.0,2014.0
Jayant R. Haritsa,IISc Bangalore,http://dsl.cds.iisc.ac.in/~haritsa,dc626ewAAAAJ,6329.0,37.0,1990.0
Arkaprava Basu,IISc Bangalore,http://drona.csa.iisc.ac.in/~arkapravab,pL5B4ywAAAAJ,6468.0,18.0,2007.0
Arindam Khan,IISc Bangalore,http://drona.csa.iisc.ac.in/~arindam,yRsbV0AAAAAJ,632.0,13.0,2008.0
Shishir Kolathaya,IISc Bangalore,https://shishirny.github.io,is0x16gAAAAJ,725.0,16.0,2012.0
Dilip P. Patil,IISc Bangalore,http://www.math.iisc.ernet.in/~patil,TpFaZPcAAAAJ,2.0,1.0,2016.0
Matthew J. Thazhuthaveetil,IISc Bangalore,http://www.csa.iisc.ac.in/~mjt,,,,
Ambedkar Dukkipati,IISc Bangalore,http://www.csa.iisc.ac.in/~ad,0y2aAvgAAAAJ,950.0,15.0,2002.0
Vinod Ganapathy,IISc Bangalore,http://www.csa.iisc.ac.in/~vg,wrzZzwYAAAAJ,2953.0,29.0,2002.0
Arpita Patra,IISc Bangalore,http://www.csa.iisc.ac.in/~arpita,RG6kKh8AAAAJ,1641.0,23.0,2006.0
Anand Louis,IISc Bangalore,http://www.csa.iisc.ac.in/~anand,PedG3PYAAAAJ,3321.0,15.0,2003.0
Chaya Ganesh,IISc Bangalore,https://www.csa.iisc.ac.in/~chaya,b_NnjeQAAAAJ,331.0,10.0,2012.0
Sanjit Chatterjee,IISc Bangalore,http://www.csa.iisc.ac.in/~sanjit,bbLLOyIAAAAJ,1184.0,18.0,2002.0
Gugan Thoppe,IISc Bangalore,https://www.csa.iisc.ac.in/people/gugan-thoppe,X5zV3s8AAAAJ,359.0,7.0,2012.0
R.C. Hansdah,IISc Bangalore,http://www.csa.iisc.ac.in/people/people-faculty-hansdah.html,ZxBF_lUAAAAJ,703.0,15.0,1986.0
P. Vijay Kumar,IISc Bangalore,http://ece.iisc.ernet.in/~vijay,Wx5neQQAAAAJ,13881.0,53.0,1956.0
Raghavan Komondoor,IISc Bangalore,http://www.csa.iisc.ac.in/~raghavan,fZq9W2cAAAAJ,1668.0,14.0,1999.0
Siddharth Barman,IISc Bangalore,http://www.csa.iisc.ac.in/~barman,HcGQSKIAAAAJ,1394.0,20.0,1984.0
M. Narasimha Murty,IISc Bangalore,http://www.csa.iisc.ac.in/~mnm,VQZTmpcAAAAJ,25005.0,33.0,1980.0
Saladi Rahul,IISc Bangalore,https://drona.csa.iisc.ac.in/~saladi,CuqCFEYAAAAJ,198.0,10.0,2009.0
Shirish K. Shevade,IISc Bangalore,http://www.csa.iisc.ac.in/~shirish,HOIpJSwAAAAJ,6371.0,21.0,1999.0
Y.N. Srikant,IISc Bangalore,http://www.csa.iisc.ac.in/~srikant,,,,
L. Sunil Chandran,IISc Bangalore,http://www.csa.iisc.ac.in/~sunil,020isz4AAAAJ,1702.0,23.0,1991.0
V. Susheela Devi,IISc Bangalore,http://www.csa.iisc.ac.in/~susheela,42FyLCkAAAAJ,881.0,12.0,1990.0
Aditya Kanade,IISc Bangalore,http://www.csa.iisc.ac.in/~kanade,FCCMbWYAAAAJ,1518.0,16.0,2005.0
Uday Bondhugula,IISc Bangalore,http://www.csa.iisc.ac.in/~uday,cwo0elIAAAAJ,4769.0,33.0,2005.0
Y. Narahari,IISc Bangalore,http://www.csa.iisc.ac.in/~hari,628OkCYAAAAJ,6020.0,37.0,1985.0
Vijay Natarajan,IISc Bangalore,http://www.csa.iisc.ac.in/~vijayn,yePyztMAAAAJ,2411.0,25.0,1999.0
R. Govindarajan,IISc Bangalore,http://www.csa.iisc.ac.in/~govind,wWrR-qgAAAAJ,4825.0,27.0,2000.0
Bhavana Kanukurthi,IISc Bangalore,http://www.csa.iisc.ac.in/~bhavana,QYNU5jMAAAAJ,498.0,10.0,2008.0
K. Gopinath,IISc Bangalore,http://www.csa.iisc.ac.in/~gopi,,,,
Chiranjib Bhattacharyya,IISc Bangalore,http://www.csa.iisc.ac.in/~chiru,SbYoEmQAAAAJ,7421.0,30.0,1974.0
Chandan Saha,IISc Bangalore,http://www.csa.iisc.ac.in/~chandan,xJrC-GMAAAAJ,889.0,17.0,2005.0
Sathish Govindarajan,IISc Bangalore,http://www.csa.iisc.ac.in/~gsat,6sRrxpAAAAAJ,359.0,11.0,1989.0
Shalabh Bhatnagar,IISc Bangalore,http://www.csa.iisc.ac.in/~shalabh,cj3fJJsbjAoC,5059.0,31.0,1960.0
Deepak D'Souza,IISc Bangalore,http://www.csa.iisc.ac.in/~deepakd,qDmD8DsAAAAJ,14689.0,64.0,1985.0
