name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Arnab Bhattacharya,IIT Kanpur,https://www.cse.iitk.ac.in/users/arnabb,Sk-JV9QAAAAJ,877.0,16.0,2003.0
Indranil Saha,IIT Kanpur,http://cse.iitk.ac.in/users/isaha,2-juveEAAAAJ,52850.0,109.0,1982.0
T. V. Prabhakar,IIT Kanpur,http://www.cse.iitk.ac.in/users/tvp,vWvglUgAAAAJ,1027.0,14.0,1984.0
Subhajit Roy,IIT Kanpur,http://www.cse.iitk.ac.in/users/subhajit,FIiF03AAAAAJ,4793.0,31.0,2000.0
Harish Karnick,IIT Kanpur,http://www.iitk.ac.in/new/dr-harish-karnick,,,,
Sumit Ganguly,IIT Kanpur,http://www.cse.iitk.ac.in/users/sganguly,,,,
Piyush P Kurur,IIT Kanpur,http://www.cse.iitk.ac.in/users/ppk,,,,
Raghunath Tewari,IIT Kanpur,http://www.cse.iitk.ac.in/users/rtewari,Ks3QdEUAAAAJ,265.0,9.0,2007.0
Sunil Easaw Simon,IIT Kanpur,http://www.cse.iitk.ac.in/users/simon,,,,
Satyadev Nandakumar,IIT Kanpur,http://www.cse.iitk.ac.in/users/satyadev,lMAxggwAAAAJ,62.0,3.0,2003.0
Sandeep K. Shukla,IIT Kanpur,http://www.cse.iitk.ac.in/users/sandeeps,SKqctYsAAAAJ,5981.0,38.0,1955.0
Vinay Namboodiri,IIT Kanpur,http://www.cse.iitk.ac.in/users/vinaypn,JyHi9OoAAAAJ,2157.0,25.0,2004.0
Surender Baswana,IIT Kanpur,http://www.cse.iitk.ac.in/users/sbaswana,U42j5MkAAAAJ,1625.0,19.0,2000.0
Rajat Mittal,IIT Kanpur,http://www.cse.iitk.ac.in/users/rmittal,gK5DF9QAAAAJ,21021.0,70.0,1978.0
Nitin Saxena,IIT Kanpur,http://www.cse.iitk.ac.in/users/nitin,1Yl1h_YAAAAJ,3653.0,24.0,2002.0
Purushottam Kar,IIT Kanpur,http://www.cse.iitk.ac.in/users/purushot,MNXz0AoAAAAJ,2596.0,21.0,2006.0
Ashutosh Modi,IIT Kanpur,https://ashutosh-modi.github.io,AWu6f60AAAAJ,750.0,13.0,
Sanjeev Saxena,IIT Kanpur,http://www.iitk.ac.in/new/dr-sanjeev-saxena,_hRiGsQAAAAJ,430.0,12.0,1968.0
Rajat Moona,IIT Kanpur,http://www.cse.iitk.ac.in/users/moona,,,,
Mainak Chaudhuri,IIT Kanpur,https://www.cse.iitk.ac.in/users/mainakc,-0GC4ZMAAAAJ,207.0,7.0,2006.0
Swaprava Nath,IIT Kanpur,https://www.cse.iitk.ac.in/users/swaprava,TlpsH9cAAAAJ,446.0,8.0,2008.0
Phalguni Gupta,IIT Kanpur,http://www.cse.iitk.ac.in/users/pg,,,,
Somenath Biswas,IIT Kanpur,http://www.iitk.ac.in/new/dr-somenath-biswas,remwKicAAAAJ,369.0,12.0,2015.0
Shashank K. Mehta,IIT Kanpur,http://www.iitk.ac.in/new/dr-shashank-k-mehta,77K1J3cAAAAJ,394.0,10.0,1962.0
Piyush Rai,IIT Kanpur,http://cse.iitk.ac.in/users/piyush,D50grEgAAAAJ,4118.0,29.0,2004.0
Ratan K. Ghosh,IIT Kanpur,http://www.iitk.ac.in/new/dr-r-k-ghosh,UNULIi0AAAAJ,854.0,14.0,
Nisheeth Srivastava,IIT Kanpur,http://www.iitk.ac.in/new/nisheeth-srivastava,bXX0fekAAAAJ,2258.0,18.0,2002.0
Manindra Agrawal,IIT Kanpur,http://www.cse.iitk.ac.in/users/manindra,UBXqggoAAAAJ,3965.0,25.0,1984.0
Medha Atre,IIT Kanpur,http://www.cse.iitk.ac.in/users/atrem,N_manZoAAAAJ,571.0,8.0,2008.0
Dheeraj Sanghi,IIT Kanpur,http://www.cse.iitk.ac.in/users/dheeraj,I-DJ7EsAAAAJ,8333.0,40.0,2003.0
Amitabha Mukerjee,IIT Kanpur,http://www.cse.iitk.ac.in/users/amit,6lD1AscAAAAJ,1569.0,20.0,1985.0
Ajai Jain,IIT Kanpur,http://www.iitk.ac.in/new/dr-ajai-jain,y7TbKJMAAAAJ,3555.0,25.0,1988.0
Amey Karkare,IIT Kanpur,http://www.cse.iitk.ac.in/users/karkare,WPLq_rQAAAAJ,610.0,11.0,1998.0
Anil Seth,IIT Kanpur,https://www.cse.iitk.ac.in/users/seth,3eJCZCkAAAAJ,23574.0,71.0,1973.0
