name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ,1978.0,15.0,2012.0
Pawan Goyal,IIT Kharagpur,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ,2313.0,23.0,1990.0
P. P. Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,3152.0,27.0,1976.0
Sourangshu Bhattacharya,IIT Kharagpur,http://cse.iitkgp.ac.in/~sourangshu,IixRsP0AAAAJ,622.0,11.0,1950.0
Sandip Chakraborty,IIT Kharagpur,http://cse.iitkgp.ac.in/~sandipc,dEpbTokAAAAJ,11871.0,54.0,1968.0
Chitta Mandal,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta,jkoZD_MAAAAJ,1696.0,23.0,1992.0
Somak Aditya,IIT Kharagpur,https://adityasomak.github.io,2shiHpwAAAAJ,378.0,11.0,2015.0
Rajib Mall,IIT Kharagpur,http://www.iitkgp.ac.in/department/CS/faculty/cs-rajib,dt2fhqYAAAAJ,4481.0,34.0,1983.0
Soumyajit Dey,IIT Kharagpur,http://cse.iitkgp.ac.in/~soumya,XJI3nYIAAAAJ,251.0,8.0,1996.0
Sudip Mishra,IIT Kharagpur,http://cse.iitkgp.ac.in/~smisra,h33l-A8AAAAJ,13332.0,56.0,1991.0
Chittaranjan Mandal,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta/pubs,jkoZD_MAAAAJ,1696.0,23.0,1992.0
Pabitra Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~pabitra,5bXSZPYAAAAJ,9483.0,42.0,1997.0
Anupam Basu,IIT Kharagpur,http://cse.iitkgp.ac.in/~debmalya/AB_website,AMidPUMAAAAJ,3809.0,26.0,
Dipanwita Roy Chowdhury,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~drc,F_MRaWYAAAAJ,3248.0,25.0,1990.0
Debdeep Mukhopadhyay,IIT Kharagpur,http://cse.iitkgp.ac.in/~debdeep,2ELnl9IAAAAJ,7683.0,42.0,1969.0
Saptarshi Ghosh,IIT Kharagpur,https://sites.google.com/site/saptarshighosh,7TmKZv0AAAAJ,3492.0,31.0,2008.0
Pallab Dasgupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~pallab,Pw4jS9sAAAAJ,1553.0,20.0,1974.0
Sudebkumar Prasant Pal,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~spp,NLt-RjAAAAAJ,392.0,11.0,1977.0
Rajat Subhra Chakraborty,IIT Kharagpur,https://sites.google.com/site/rschakraborty,ITIg9kkAAAAJ,5658.0,33.0,2007.0
Arobinda Gupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~agupta,vAiphMEAAAAJ,1964.0,21.0,
Bivas Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~bivasm,mQ57itUAAAAJ,836.0,17.0,2004.0
Partha Bhowmick,IIT Kharagpur,http://cse.iitkgp.ac.in/~pb,ExC8yMUAAAAJ,1256.0,15.0,1981.0
Somindu C. Ramanna,IIT Kharagpur,https://cse.iitkgp.ac.in/~somindu,,,,
Indranil Sengupta,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~isg,,,,
