name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Renu M. Rameshan,IIT Mandi,http://faculty.iitmandi.ac.in/research/publications/Author/renumr.php,,,,
Aroor Dinesh Dileep,IIT Mandi,http://faculty.iitmandi.ac.in/~addileep,,,,
Timothy A. Gonsalves,IIT Mandi,http://www.cse.iitm.ac.in/~tag,,,,
Tushar Jain,IIT Mandi,http://faculty.iitmandi.ac.in/~tushar,RPol2lkAAAAJ,1763.0,21.0,2001.0
Srikant Srinivasan,IIT Mandi,http://faculty.iitmandi.ac.in/~srikant_srinivasan,,,,
Varun Dutt,IIT Mandi,https://faculty.iitmandi.ac.in/~varun,jly9u8AAAAAJ,4013.0,27.0,2005.0
Subashish Datta,IIT Mandi,https://www.facebook.com/subashish.datta,g9EexPkAAAAJ,110.0,7.0,2010.0
Samar Agnihotri,IIT Mandi,http://faculty.iitmandi.ac.in/~samar,qZkww5oAAAAJ,441.0,10.0,2002.0
Anil Kumar Sao,IIT Mandi,http://faculty.iitmandi.ac.in/~anil,4ya5wyQAAAAJ,16235.0,36.0,1952.0
Padmanabhan Rajan,IIT Mandi,https://faculty.iitmandi.ac.in/~padman,g2W04wkAAAAJ,722.0,13.0,1995.0
Satyajit Thakor,IIT Mandi,http://faculty.iitmandi.ac.in/~satyajit,B4gJ7CoAAAAJ,146.0,6.0,2009.0
Siddhartha Sarma,IIT Mandi,http://faculty.iitmandi.ac.in/~siddhartha/index.html,c-oFx5UAAAAJ,1654.0,22.0,2009.0
Sriram Kailasam,IIT Mandi,http://faculty.iitmandi.ac.in/~sriramk,xLWew1gAAAAJ,230.0,7.0,2008.0
Aditya Nigam,IIT Mandi,http://faculty.iitmandi.ac.in/~aditya,ffSpknUAAAAJ,1063.0,18.0,1977.0
