name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Arturo Azcorra,IMDEA Networks Institute,https://www.networks.imdea.org/people/dr-arturo-azcorra,pui4ym6mQiwC,2836.0,28.0,1989.0
Antonio Fernández,IMDEA Networks Institute,http://people.networks.imdea.org/~antonio_fernandez,kh4x8goAAAAJ,5016.0,33.0,1994.0
Narseo Vallina-Rodriguez,IMDEA Networks Institute,http://people.networks.imdea.org/~narseo_vallina,yOlNzfcAAAAJ,3358.0,30.0,2009.0
Guillermo Suarez-Tangil,IMDEA Networks Institute,https://networks.imdea.org/team/imdea-networks-team/people/guillermo-suarez-tangil,182ZkIgAAAAJ,2314.0,23.0,2009.0
Joerg Widmer,IMDEA Networks Institute,http://people.networks.imdea.org/~joerg_widmer,LT1_KV4AAAAJ,18901.0,52.0,2000.0
Marco Ajmone Marsan,IMDEA Networks Institute,https://www.networks.imdea.org/people/dr-marco-ajmone-marsan,oPrHUW0AAAAJ,16349.0,53.0,1977.0
Domenico Giustiniano,IMDEA Networks Institute,http://people.networks.imdea.org/~domenico_giustiniano,L38f7A0AAAAJ,3266.0,31.0,2004.0
Sergey Gorinsky,IMDEA Networks Institute,http://fourier.networks.imdea.org/~sergey_gorinsky,hiGGy0kAAAAJ,1560.0,20.0,1996.0
Nikolaos Laoutaris,IMDEA Networks Institute,http://laoutaris.info,KaqnVUcAAAAJ,5662.0,35.0,2001.0
Albert Banchs,IMDEA Networks Institute,https://www.networks.imdea.org/people/dr-albert-banchs,f17UAkMAAAAJ,6433.0,43.0,1998.0
Marco Fiore,IMDEA Networks Institute,http://people.networks.imdea.org/~marco_fiore,PI2-CnkAAAAJ,6426.0,42.0,2004.0
Vincenzo Mancuso,IMDEA Networks Institute,http://people.networks.imdea.org/~vincenzo_mancuso,ydSIhokAAAAJ,5264.0,30.0,1982.0
