name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Marcin Sydow,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/marcin-sydow,wqLRt0UAAAAJ,943.0,17.0,2003.0
Jozef Pieprzyk,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/jozef-pieprzyk,fTkTBxcAAAAJ,9218.0,46.0,1979.0
Marcin Wolinski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/marcin-wolinski,5MkdNeUAAAAJ,1627.0,20.0,1998.0
M. S. Tudruj,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/marek-tudruj,NlhtTKsAAAAJ,752.0,14.0,1976.0
Pawel Morawiecki,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/pawel-morawiecki,eLuRi8oAAAAJ,612.0,14.0,2004.0
Slawomir T. Wierzchon,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/slawomir-wierzchon,reIKatsAAAAJ,1370.0,19.0,1978.0
Stanislaw Ambroszkiewicz,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/stanislaw-ambroszkiewicz,rvhFKdcAAAAJ,424.0,12.0,1986.0
Stanislaw Bylka,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/stanislaw-bylka,5ur10iEAAAAJ,442.0,11.0,1974.0
Szymon Jaroszewicz,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/szymon-jaroszewicz,icsj73sAAAAJ,1773.0,22.0,1996.0
Mieczyslaw A. Klopotek,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/mieczyslaw-klopotek,,,,
Maciej Ogrodniczuk,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/maciej-ogrodniczuk,dTbg8-wAAAAJ,736.0,15.0,1999.0
Antoni W. Mazurkiewicz,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/antoni-mazurkiewicz,,,,
Jan Mielniczuk,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/jan-mielniczuk,O9m65cYAAAAJ,1794.0,19.0,1985.0
Elzbieta Hajnicz,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/elzbieta-hajnicz,UH3lJT8xzIcC,469.0,10.0,1987.0
Henryk Jan Komorowski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/henryk-jan-komorowski,P6CBNTMAAAAJ,16878.0,45.0,1979.0
Wojciech Penczek,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/wojciech-penczek,KFwHuRIAAAAJ,3552.0,33.0,1987.0
Malgorzata Marciniak,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/malgorzata-marciniak,GlwK910AAAAJ,715.0,13.0,1987.0
Wlodek Drabent,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/wlodzimierz-drabent,bG-Ml1YAAAAJ,1063.0,17.0,1985.0
Wojciech Jamroga,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/wojciech-jamroga,zOra04oAAAAJ,2736.0,25.0,1999.0
Adam Przepiórkowski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/adam-przepiorkowski,volQDFMAAAAJ,4733.0,37.0,1994.0
Agnieszka Mykowiecka,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/agnieszka-mykowiecka,5kj-eF0AAAAJ,797.0,13.0,1987.0
Beata Konikowska,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/beata-konikowska,EIJSiIIAAAAJ,816.0,17.0,1971.0
Jacek Koronacki,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/jacek-koronacki,XSStCMQAAAAJ,1574.0,18.0,1975.0
Lukasz Debowski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/lukasz-debowski,cNmTluAAAAAJ,632.0,14.0,1999.0
