name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Daria Siekhaus,IST Austria,https://ist.ac.at/research/research-groups/siekhaus-group,,,,
Calin C. Guet,IST Austria,https://ist.ac.at/research/research-groups/guet-group,J4NGQxcAAAAJ,2299.0,21.0,1996.0
Michael Sixt,IST Austria,https://ist.ac.at/research/research-groups/sixt-group,,,,
Sandra Siegert,IST Austria,https://ist.ac.at/research/research-groups/siegert-group,,,,
Jan Maas,IST Austria,https://ist.ac.at/research/research-groups/maas-group,Cm3vCpUAAAAJ,1171.0,14.0,2006.0
Leonid Sazanov,IST Austria,https://ist.ac.at/research/research-groups/sazanov-group,njTNIzUAAAAJ,8722.0,39.0,1988.0
Krzysztof Pietrzak,IST Austria,https://ist.ac.at/research/research-groups/pietrzak-group,uEjyGZUAAAAJ,5743.0,40.0,2003.0
Tamas Hausel,IST Austria,https://ist.ac.at/research/research-groups/hausel-group,o2Bj63wAAAAJ,1952.0,23.0,1994.0
Ryuichi Shigemoto,IST Austria,https://ist.ac.at/research/research-groups/shigemoto-group,,,,
Carl-Philipp Heisenberg,IST Austria,https://ist.ac.at/research/research-groups/heisenberg-group,,,,
Georgios Katsaros,IST Austria,https://ist.ac.at/research/research-groups/katsaros-group,llfcQGYAAAAJ,2994.0,26.0,2002.0
Uli Wagner,IST Austria,https://ist.ac.at/research/research-groups/wagner-group,9sN4N1wAAAAJ,2490.0,16.0,2001.0
Anna Kicheva,IST Austria,https://ist.ac.at/research/research-groups/kicheva-group,zBpAlHkAAAAJ,2398.0,18.0,2006.0
Peter Krogstrup,IST Austria,https://ist.ac.at/research/research-groups/krogstrup-group,_tAV9MMAAAAJ,10192.0,45.0,1989.0
Peter Jonas,IST Austria,https://ist.ac.at/research/research-groups/jonas-group,OCuYpdEAAAAJ,50.0,2.0,2012.0
Maximilian Jösch,IST Austria,https://ist.ac.at/research/research-groups/joesch-group,yHw-fi4AAAAJ,1572.0,13.0,2005.0
Simon Hippenmeyer,IST Austria,https://ist.ac.at/research/research-groups/hippenmeyer-group,DQKripgAAAAJ,4516.0,27.0,2001.0
Krishnendu Chatterjee,IST Austria,http://pub.ist.ac.at/~kchatterjee,1kaW8bwAAAAJ,11833.0,56.0,2000.0
Harald Janovjak,IST Austria,https://ist.ac.at/research/research-groups/janovjak-group,JHEJQBcAAAAJ,4574.0,32.0,2002.0
Björn Hof,IST Austria,https://ist.ac.at/research/research-groups/hof-group,tytU38QAAAAJ,5006.0,32.0,1991.0
Gaia Novarino,IST Austria,https://ist.ac.at/research/research-groups/novarino-group,S7ZK_zYAAAAJ,2328.0,17.0,2004.0
Robert Seiringer,IST Austria,https://ist.ac.at/research/research-groups/seiringer-group,,,,
Jiri Friml,IST Austria,https://ist.ac.at/research/research-groups/friml-group,,,,
Beatriz Vicoso,IST Austria,https://ist.ac.at/research/research-groups/vicoso-group,4Wqy1IcAAAAJ,2534.0,21.0,2006.0
Sylvia Cremer,IST Austria,http://ist.ac.at/research/research-groups/cremer-group,_Gm-T9IAAAAJ,3772.0,28.0,1998.0
Marco Mondelli,IST Austria,http://marcomondelli.com,BHdSb5AAAAAJ,1282.0,18.0,2011.0
Tobias Bollenbach,IST Austria,https://ist.ac.at/research/research-groups/bollenbach-group,,,,
Laszlo Erdös,IST Austria,https://ist.ac.at/research/research-groups/erdoes-group,T61lMmsAAAAJ,1183.0,21.0,1959.0
Mikhail Lemeshko,IST Austria,https://ist.ac.at/research/research-groups/lemeshko-group,lxBCBfUAAAAJ,1727.0,20.0,2005.0
Georg Danzl,IST Austria,http://ist.ac.at/research/physical-sciences/danzl-group,,,,
Christoph H. Lampert,IST Austria,http://ist.ac.at/~chl,iCf3SwgAAAAJ,13948.0,45.0,2000.0
Herbert Edelsbrunner,IST Austria,https://ist.ac.at/research/research-groups/edelsbrunner-group,,,,
Gasper Tkacik,IST Austria,https://gtkacik.pages.ist.ac.at,arjXIL8AAAAJ,5160.0,40.0,2005.0
Jozsef Csicsvari,IST Austria,https://ist.ac.at/research/research-groups/csicsvari-group,,,,
Chris Wojtan,IST Austria,http://pub.ist.ac.at/group_wojtan,OGdXlpcAAAAJ,2083.0,26.0,2005.0
Johannes Fink,IST Austria,https://ist.ac.at/research/research-groups/fink-group,4Ot68t8AAAAJ,6008.0,32.0,2007.0
Martin Loose,IST Austria,https://ist.ac.at/research/research-groups/loose-group,,,,
Eleftherios Kokoris-Kogias,IST Austria,https://ist.ac.at/en/research/kokoris-group,7TOIlqkAAAAJ,2518.0,17.0,2016.0
Vladimir Kolmogorov,IST Austria,http://pub.ist.ac.at/~vnk,BBGlIGQAAAAJ,34174.0,51.0,2001.0
Nicholas H. Barton,IST Austria,https://ist.ac.at/research/research-groups/barton-group,,,,
Maksim Serbyn,IST Austria,https://ist.ac.at/research/physical_sciences,PGHvCmgAAAAJ,6445.0,32.0,
Eva Benkova,IST Austria,https://ist.ac.at/research/research-groups/benkova-group,,,,
Dan Alistarh,IST Austria,https://ist.ac.at/research/research-groups/alistarh-group,75q-6ZQAAAAJ,4266.0,27.0,2007.0
Thomas A. Henzinger,IST Austria,http://pub.ist.ac.at/~tah,jpgplxUAAAAJ,58941.0,113.0,
Bernd Bickel,IST Austria,https://ist.ac.at/research/research-groups/bickel-group,Bt-QKXYAAAAJ,5417.0,36.0,2006.0
Jonathan P. Bollback,IST Austria,https://ist.ac.at/research/research-groups/bollback-group,WWNXoPgAAAAJ,7666.0,24.0,2001.0
Julian Fischer,IST Austria,https://ist.ac.at/research/research-groups/fischer-group,dj3-UisAAAAJ,1.0,1.0,2017.0
