name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Edward M. Reingold,Illinois Institute of Technology,https://science.iit.edu/people/faculty/edward-reingold,UlQeH7AAAAAJ,13000.0,28.0,1970.0
Bogdan Korel,Illinois Institute of Technology,https://science.iit.edu/people/faculty/bogdan-korel,,,,
Peng-Jun Wan,Illinois Institute of Technology,https://science.iit.edu/people/faculty/peng-jun-wan,TXUhDokAAAAJ,12886.0,54.0,1993.0
Xian-He Sun,Illinois Institute of Technology,https://science.iit.edu/people/faculty/xian-he-sun,9h3JX7MAAAAJ,7989.0,45.0,
Eunice E. Santos,Illinois Institute of Technology,https://science.iit.edu/people/faculty/eunice-santos,,,,
Shangping Ren,Illinois Institute of Technology,https://science.iit.edu/people/faculty/shangping-ren,jX0ar6QAAAAJ,1901.0,22.0,1990.0
Sanjiv Kapoor,Illinois Institute of Technology,https://science.iit.edu/people/faculty/sanjiv-kapoor,5KwApbgAAAAJ,2346.0,26.0,1985.0
Kai Shu,Illinois Institute of Technology,http://www.cs.iit.edu/~kshu,-6bAV2cAAAAJ,5807.0,27.0,2012.0
Lance Fortnow,Illinois Institute of Technology,http://www.cc.gatech.edu/people/lance-fortnow,Yf5wVssAAAAJ,10446.0,46.0,1979.0
Cynthia Hood,Illinois Institute of Technology,https://science.iit.edu/people/faculty/cynthia-hood,,,,
Sean P. Engelson,Illinois Institute of Technology,https://science.iit.edu/people/faculty/shlomo-argamon,mjsJxhQAAAAJ,11543.0,42.0,1990.0
Rujia Wang,Illinois Institute of Technology,https://rujiawang.github.io,IbOb-M4AAAAJ,283.0,8.0,2015.0
Zhiling Lan,Illinois Institute of Technology,https://science.iit.edu/people/faculty/zhiling-lan,WZVDjawAAAAJ,3282.0,33.0,1986.0
Yan Yan,Illinois Institute of Technology,https://www.iit.edu/directory/people/yan-yan,zhi-j1wAAAAJ,5173.0,36.0,2012.0
Gady Agam,Illinois Institute of Technology,https://science.iit.edu/people/faculty/gady-agam,0wKmvY0AAAAJ,1916.0,22.0,1993.0
Ioan Raicu,Illinois Institute of Technology,https://science.iit.edu/people/faculty/ioan-raicu,jE73HYAAAAAJ,12095.0,45.0,2001.0
Yue Duan,Illinois Institute of Technology,https://yueduan.github.io,q3rLf5kAAAAJ,1002.0,11.0,2011.0
Yuan Hong,Illinois Institute of Technology,https://science.iit.edu/people/faculty/yuan-hong,KJuZW2wAAAAJ,1489.0,21.0,2004.0
Gruia Calinescu,Illinois Institute of Technology,https://science.iit.edu/people/faculty/gruia-calinescu,,,,
Dong Jin,Illinois Institute of Technology,https://science.iit.edu/people/faculty/kevin-jin,-ln1Vp0AAAAJ,1395.0,20.0,2009.0
Mustafa Bilgic,Illinois Institute of Technology,https://science.iit.edu/people/faculty/mustafa-bilgic,bOM9qN8AAAAJ,4091.0,19.0,2004.0
Boris Glavic,Illinois Institute of Technology,https://science.iit.edu/people/faculty/boris-glavic,lCdBR8cAAAAJ,1547.0,21.0,2005.0
Stefan K. Muller,Illinois Institute of Technology,http://www.cs.iit.edu/~smuller,vM6V_aMAAAAJ,145.0,6.0,2012.0
Kyle C. Hale,Illinois Institute of Technology,https://science.iit.edu/people/faculty/kyle-hale,zYAOJqwAAAAJ,196.0,8.0,2008.0
