name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dana Habeeb,Indiana University,http://danahabeeb.com,vVlyWw0AAAAJ,672.0,5.0,2004.0
Thomas L. Sterling,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=303,iaP4C54AAAAJ,8581.0,39.0,2004.0
Erik Stolterman,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=305,iotMZFMAAAAJ,11236.0,44.0,2004.0
David J. Wild,Indiana University,http://david-wild-knzl.squarespace.com,-0YOKRoAAAAJ,2619.0,26.0,2004.0
Martin A. Siegel,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=298,sZ_nSuIAAAAJ,1014.0,17.0,2004.0
Steven A. Myers,Indiana University,http://wphomes.soic.indiana.edu/samyers,SQnCsswAAAAJ,2626.0,23.0,1987.0
Yuan Zhou,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=442,aR34e1gAAAAJ,10480.0,24.0,1998.0
Kahyun Choi,Indiana University,http://kahyunchoi.com,TYXfH1wAAAAJ,218.0,9.0,2013.0
Cassidy R. Sugimoto,Indiana University,https://ella.sice.indiana.edu/~sugimoto/index.php,AjKdHVMAAAAJ,11499.0,49.0,2007.0
Cenk S. Sahinalp,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=291,O8wbTncAAAAJ,22625.0,57.0,1994.0
D. Martin Swany,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=307,QwTp-V8AAAAJ,3309.0,28.0,1999.0
Damir Cavar,Indiana University,http://damir.cavar.me,6b8TO4cAAAAJ,1213.0,16.0,1992.0
Allen B. Riddell,Indiana University,https://www.ariddell.org,zDIvI1UAAAAJ,5566.0,7.0,2012.0
Vikram Jadhao,Indiana University,https://jadhaolab.engineering.indiana.edu,7m5wqk4AAAAJ,614.0,15.0,2008.0
Johan Bollen,Indiana University,https://homes.luddy.indiana.edu/jbollen,jDmcdsUAAAAJ,16093.0,42.0,1990.0
Zoran Tiganj,Indiana University,https://homes.luddy.indiana.edu/ztiganj,BrWVCo8AAAAJ,799.0,13.0,2008.0
Katie A. Siek,Indiana University,http://wphomes.soic.indiana.edu/ksiek,-R9W7IkAAAAJ,3097.0,31.0,2004.0
Justin Wood,Indiana University,http://buildingamind.com,q9EK5i0AAAAJ,2002.0,25.0,2005.0
Kay Connelly,Indiana University,http://wphomes.soic.indiana.edu/connelly,uZZ7HtIAAAAJ,4261.0,37.0,1977.0
Robert D. Montoya,Indiana University,http://robertdmontoya.com,JwuWrxkAAAAJ,47.0,4.0,2006.0
James A. Glazier,Indiana University,https://iubphys.sitehost.iu.edu/faculty/glazier.shtml,y0pmefMAAAAJ,13236.0,61.0,1986.0
Lawrence S. Moss,Indiana University,https://iulg.sitehost.iu.edu/moss,9XDfKqYAAAAJ,5745.0,30.0,1984.0
Shuang Wang,Indiana University,http://www.shuangwang.org,GnDGqKQAAAAJ,4421.0,31.0,2003.0
Bernard D. Frischer,Indiana University,http://frischer.org,rehhrNQAAAAJ,2202.0,25.0,1970.0
Minje Kim,Indiana University,https://minjekim.com,hEfnFKAAAAAJ,2446.0,19.0,2005.0
Luis Mateus Rocha,Indiana University,https://homes.luddy.indiana.edu/rocha,SIouE70AAAAJ,5129.0,31.0,1991.0
Hamid R. Ekbia,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=72,WPGTvh8AAAAJ,1914.0,21.0,2001.0
David B. Leake,Indiana University,https://www.cs.indiana.edu/~leake,CidT-JAAAAAJ,8984.0,49.0,1984.0
James Clawson,Indiana University,https://jamesclawson.com,7Z-F_AoAAAAJ,1914.0,21.0,1998.0
Paul W. Purdom,Indiana University,http://www.cs.indiana.edu/~pwp,h6Z8WS0AAAAJ,3231.0,27.0,1967.0
