name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Y. Murat Erten,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/murat-erten,XY_kpWgAAAAJ,437.0,7.0,1983.0
Isil Oz,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/isil-oz,Jber3GMAAAAJ,92.0,5.0,2011.0
Onur Demirörs,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/onur-demirors,zYKpvl4AAAAJ,2782.0,27.0,1991.0
Yalin Bastanlar,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/yalin-bastanlar,3WTNhHYAAAAJ,1070.0,15.0,2005.0
Tolga Ayav,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/tolga-ayav,Pt9GoVgAAAAJ,326.0,9.0,1999.0
Selma Tekir,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/selma-tekir,iRawdD8AAAAJ,185.0,7.0,2004.0
Serap Atay,Izmir Institute of Technology,http://ceng.iyte.edu.tr/tr/kisi/serap-sahin,6qyruFwAAAAJ,41.0,3.0,2005.0
Tugkan Tuglular,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/tugkan-tuglular,5FyBmLkAAAAJ,327.0,10.0,1997.0
Nesli Erdogmus,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/nesli-erdogmus,SGO1CAcAAAAJ,833.0,11.0,2007.0
Belgin Ergenc,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/belgin-ergenc,e00LSrIAAAAJ,219.0,8.0,2005.0
M. Özuysal,Izmir Institute of Technology,http://ceng.iyte.edu.tr/people/mustafa-ozuysal,CfT5AZYAAAAJ,3599.0,10.0,2004.0
