name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Wieland Schwinger,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/wieland-schwinger,5E-bnRkAAAAJ,4599.0,35.0,
Manuel Wimmer,JKU Linz,https://www.se.jku.at/manuel-wimmer,YZDY1psAAAAJ,9126.0,50.0,2005.0
Iris Groher,JKU Linz,https://www.se.jku.at/iris-groher,7I1zR48AAAAJ,1496.0,19.0,2003.0
Gerhard Widmer,JKU Linz,https://www.jku.at/en/institute-of-computational-perception/about-us/people/gerhard-widmer,dyGS5YYAAAAJ,15671.0,60.0,1984.0
Johannes Fürnkranz,JKU Linz,https://www.jku.at/en/faw/about-us/team/johannes-fuernkranz,sfTn4wEAAAAJ,11653.0,46.0,1992.0
Klaus Miesenberger,JKU Linz,https://www.jku.at/institut-integriert-studieren/team/auniv-dr-klaus-miesenberger,hw-8_h4AAAAJ,1495.0,21.0,1994.0
Paul Grünbacher,JKU Linz,https://www.jku.at/en/institute-for-software-systems-engineering/about-us/team/paul-gruenbacher,7Wpa7ysAAAAJ,8298.0,45.0,1983.0
Alexander Egyed,JKU Linz,https://www.jku.at/en/institute-for-software-systems-engineering/about-us/team/alexander-egyed,tN-tEGIAAAAJ,9003.0,53.0,1996.0
Alois Zoitl,JKU Linz,https://www.jku.at/linz-institute-of-technology/forschung/research-labs/cyber-physical-systems-lab/team/univ-prof-di-dr-alois-zoitl,OG52DQ8AAAAJ,3940.0,36.0,2001.0
Harald Pretl,JKU Linz,http://iic.jku.at/analog/team/pretl,yDlMlR0AAAAJ,755.0,17.0,1999.0
Josef Küng,JKU Linz,https://www.jku.at/en/faw/about-us/team/josef-kueng,uy1d_7wAAAAJ,998.0,14.0,1992.0
Werner Retschitzegger,JKU Linz,http://cis.jku.at/team/21?view=teamentry,,,,
Bettina Grün,JKU Linz,https://www.jku.at/institut-fuer-angewandte-statistik/ueber-uns/team/assoz-univ-profin-dipl-ingin-drin-bettina-gruen,Tl-eVmoAAAAJ,7436.0,39.0,2002.0
Wolfram Wöß,JKU Linz,https://www.jku.at/en/faw/about-us/team/wolfram-woess,,,,
Rick Rabiser,JKU Linz,https://www.jku.at/en/linz-institute-of-technology/research/research-labs/cyber-physical-systems-lab/our-team/univ-prof-mag-dr-rick-rabiser,7-AdX4sAAAAJ,3748.0,32.0,2006.0
Mario Huemer,JKU Linz,https://www.jku.at/en/institute-of-signal-processing,VXSkReQAAAAJ,3765.0,28.0,1997.0
Gabriele Anderst-Kotsis,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/gabriele-anderst-kotsis,9QhutOMAAAAJ,1399.0,18.0,1991.0
Oliver Bimber,JKU Linz,https://www.jku.at/en/institute-of-computer-graphics/about-us/team/oliver-bimber,nmSh5i8AAAAJ,7077.0,38.0,1999.0
Martina Seidl,JKU Linz,http://fmv.jku.at/seidl,SBGtDbMAAAAJ,2743.0,30.0,2003.0
Josef Scharinger,JKU Linz,https://www.jku.at/en/institute-of-computational-perception/about-us/people/josef-scharinger,,,,
Johannes Sametinger,JKU Linz,https://www.se.jku.at/johannes-sametinger,92HPqbEAAAAJ,1992.0,18.0,1989.0
Herbert Praehofer,JKU Linz,https://www.jku.at/institut-fuer-systemsoftware/team/praehofer-herbert,SpoHy8UAAAAJ,9518.0,24.0,1986.0
Sepp Hochreiter,JKU Linz,https://www.jku.at/en/institute-for-machine-learning/about-us/team/sepp-hochreiter,tvUH3WMAAAAJ,95211.0,48.0,1991.0
Marc Streit,JKU Linz,https://www.jku.at/en/institute-of-computer-graphics/about-us/team/marc-streit,l7TTSP0AAAAJ,2574.0,27.0,2005.0
Rene Mayrhofer,JKU Linz,https://www.jku.at/institut-fuer-netzwerke-und-sicherheit/ueber-uns/ins-team/mayrhofer,Mt_op3IAAAAJ,2716.0,26.0,2002.0
Reinhold Plösch,JKU Linz,http://www.se.jku.at/ploesch,29YTNJgAAAAJ,1272.0,19.0,1992.0
Hanspeter Mössenböck,JKU Linz,http://ssw.jku.at/General/Staff/HM,qwnXMU8AAAAJ,3943.0,33.0,1986.0
Ismail Khalil,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/ismail-khalil,,,,
Markus Schedl,JKU Linz,https://www.jku.at/en/institute-of-computational-perception/about-us/people/markus-schedl,TQR8qIEAAAAJ,7520.0,45.0,2003.0
Karin A. Hummel,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/karin-anna-hummel,CB7dUsIAAAAJ,2091.0,24.0,2001.0
Barbara Sabitzer,JKU Linz,https://www.jku.at/linz-school-of-education/ueber-uns/team/mint/sabitzer-barbara,woWR6uAAAAAJ,407.0,12.0,2010.0
Robert Wille,JKU Linz,http://iic.jku.at/eda/team/wille,dWkUqVsAAAAJ,8521.0,48.0,2007.0
Michael Sonntag,JKU Linz,https://www.jku.at/institut-fuer-netzwerke-und-sicherheit/ueber-uns/ins-team/sonntag,,,,
Armin Biere,JKU Linz,http://fmv.jku.at/biere,V6ES1nIAAAAJ,20685.0,59.0,1992.0
Birgit Pröll,JKU Linz,https://www.jku.at/en/faw/about-us/team/birgit-proell,,,,
