name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Matthew D. Green,Johns Hopkins University,https://isi.jhu.edu/~mgreen,X0XWAGkAAAAJ,12559.0,40.0,2000.0
Alan L. Yuille,Johns Hopkins University,http://www.cs.jhu.edu/~ayuille,FJ-huxgAAAAJ,78216.0,118.0,1978.0
Rama Chellappa,Johns Hopkins University,https://engineering.jhu.edu/ece/faculty/rama-chellappa,L60tuywAAAAJ,86260.0,135.0,1979.0
David Yarowsky,Johns Hopkins University,http://www.cs.jhu.edu/~yarowsky,gaO-vS4AAAAJ,16843.0,55.0,1992.0
Baruch Awerbuch,Johns Hopkins University,http://www.cs.jhu.edu/~baruch/home.html,,,,
Peng Huang,Johns Hopkins University,https://cs.jhu.edu/~huang,2y-8usQAAAAJ,1539.0,16.0,2010.0
Vladimir Braverman,Johns Hopkins University,http://www.cs.jhu.edu/~vova,DTthB48AAAAJ,2750.0,26.0,2004.0
Susan Hohenberger,Johns Hopkins University,http://www.cs.jhu.edu/~susan,EFCJtEwAAAAJ,9478.0,42.0,2001.0
Mark Dredze,Johns Hopkins University,http://www.cs.jhu.edu/~mdredze,7jNkTbYAAAAJ,21335.0,67.0,2003.0
Benjamin David Van Durme,Johns Hopkins University,http://www.cs.jhu.edu/~vandurme,wIujAJoAAAAJ,9493.0,52.0,2003.0
Suchi Saria,Johns Hopkins University,http://www.suchisaria.com,FZLHMv8AAAAJ,5214.0,35.0,2004.0
Yanif Ahmad,Johns Hopkins University,http://www.cs.jhu.edu/~yanif,BtpxluIAAAAJ,3757.0,20.0,1982.0
Joanne F. Selinski,Johns Hopkins University,http://www.cs.jhu.edu/~joanne,,,,
Ben Langmead,Johns Hopkins University,http://www.cs.jhu.edu/~langmea,2JMaTKsAAAAJ,74379.0,33.0,2007.0
René Vidal,Johns Hopkins University,http://cis.jhu.edu/~rvidal,uT8fgagAAAAJ,28286.0,82.0,1997.0
Randal C. Burns,Johns Hopkins University,http://www.cs.jhu.edu/~randal,rTJTJJ4AAAAJ,13556.0,48.0,1996.0
Scott F. Smith,Johns Hopkins University,https://www.cs.jhu.edu/~scott,bRjJOrMAAAAJ,6644.0,31.0,1981.0
Michael Dinitz,Johns Hopkins University,http://www.cs.jhu.edu/~mdinitz,Q2yN84AAAAAJ,1299.0,21.0,2003.0
Soudeh Ghorbani,Johns Hopkins University,http://soudeh.net,r7kyzkIAAAAJ,663.0,9.0,2012.0
Michael Schatz,Johns Hopkins University,https://www.cs.jhu.edu/faculty/michael-schatz,rcs6IKwAAAAJ,35271.0,74.0,2004.0
Abhishek Jain,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ,3875.0,30.0,2005.0
Russell H. Taylor,Johns Hopkins University,http://www.cs.jhu.edu/~rht,Ph16U5wAAAAJ,48114.0,98.0,
Yinzhi Cao,Johns Hopkins University,https://www.cs.jhu.edu/~yzcao,0jBP_aEAAAAJ,2267.0,21.0,2006.0
Michael Kazhdan,Johns Hopkins University,http://www.cs.jhu.edu/~misha,soUq_eQAAAAJ,15182.0,34.0,1991.0
Alexis Battle,Johns Hopkins University,http://battlelab.jhu.edu,yPOT9K0AAAAJ,24900.0,50.0,2002.0
S. Rao Kosaraju,Johns Hopkins University,http://www.cs.jhu.edu/~kosaraju,SBNZBMUAAAAJ,48087.0,54.0,1978.0
Peter Kazanzides,Johns Hopkins University,https://www.cs.jhu.edu/faculty/peter-kazanzides,nNU3STcAAAAJ,12900.0,47.0,1985.0
Raman Arora,Johns Hopkins University,http://www.cs.jhu.edu/~raman/Home.html,Spe0xdkAAAAJ,5533.0,30.0,2003.0
Joshua T. Vogelstein,Johns Hopkins University,https://www.bme.jhu.edu/faculty_staff/joshua-t-vogelstein-phd,DWPfdT4AAAAJ,9697.0,42.0,1997.0
Yair Amir,Johns Hopkins University,http://www.cs.jhu.edu/~yairamir,ijgEp3EAAAAJ,9784.0,50.0,1979.0
Philipp Koehn,Johns Hopkins University,http://www.cs.jhu.edu/~phi,OsIZgIYAAAAJ,40206.0,66.0,1981.0
Jason Eisner,Johns Hopkins University,http://www.cs.jhu.edu/~jason,tjb2UccAAAAJ,18214.0,56.0,1990.0
Greg Hager,Johns Hopkins University,http://www.cs.jhu.edu/~hager,ivApfKcAAAAJ,35193.0,88.0,1984.0
Aviel D. Rubin,Johns Hopkins University,http://avirubin.com,KWez2_sAAAAJ,16500.0,47.0,1961.0
Xin Li,Johns Hopkins University,http://www.cs.jhu.edu/~lixints,,,,
