name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sung-Eui Yoon,KAIST,http://sglab.kaist.ac.kr/~sungeui,uLQzQW4AAAAJ,4015.0,34.0,1986.0
Sung Ju Hwang,KAIST,http://www.sungjuhwang.com,RP4Qx3QAAAAJ,3600.0,32.0,2010.0
Sungjin Ahn,KAIST,http://www.sungjinahn.com,nfHyDeUAAAAJ,3265.0,22.0,2005.0
Kihong Heo,KAIST,https://kihongheo.kaist.ac.kr,bWY6MmgAAAAJ,682.0,13.0,2012.0
Doo­Hwan Bae,KAIST,http://se.kaist.ac.kr/professor,,,,
Seungwon Shin,KAIST,http://nss.kaist.ac.kr/?page_id=29,DbAmqd8AAAAJ,5802.0,26.0,2000.0
Junehwa Song,KAIST,http://nclab.kaist.ac.kr/?page_id=873,CatfK3MAAAAJ,4841.0,38.0,1982.0
Hyunsoo Yoon,KAIST,http://nslab.kaist.ac.kr/members_professor.htm,bmGTi6YAAAAJ,234.0,6.0,2007.0
Sue B. Moon,KAIST,http://an.kaist.ac.kr/~sbmoon,d5u7NnAAAAAJ,22709.0,43.0,1995.0
John Kim,KAIST,http://icn.kaist.ac.kr/~jjk12,yup9q7gAAAAJ,35146.0,62.0,
Se-Young Yun,KAIST,https://fbsqkd.github.io,X_IAjb8AAAAJ,926.0,17.0,2008.0
KyoungSoo Park,KAIST,https://www.ndsl.kaist.edu/~kyoungsoo,ZrPrFicAAAAJ,4748.0,28.0,2004.0
Jong Cheol Park,KAIST,http://nlp.kaist.ac.kr,u1XiOgvCXnQC,2057.0,22.0,2005.0
Min Suk Kang,KAIST,https://netsp.kaist.ac.kr/people,R6KDuS8AAAAJ,1118.0,17.0,2005.0
Kwangjo Kim,KAIST,http://caislab.kaist.ac.kr/kkj,ENIkgBkAAAAJ,9289.0,45.0,1990.0
Jaehyuk Huh,KAIST,http://calab.kaist.ac.kr/~jhuh,,,,
Song Chong,KAIST,https://sites.google.com/a/kaist.edu/song-chong,m2Lm6f4AAAAJ,8812.0,44.0,1989.0
Jaegul Choo,KAIST,https://sites.google.com/site/jaegulchoo,GHJYsLEAAAAJ,6547.0,33.0,1998.0
Jeehoon Kang,KAIST,https://cp.kaist.ac.kr/jeehoon.kang,rVgfdSYAAAAJ,601.0,10.0,2012.0
Myoungsoo Jung,KAIST,http://camelab.org,sbWjyP4AAAAJ,2026.0,23.0,2007.0
Hyun Myung,KAIST,http://urobot.kaist.ac.kr/members/professor,NrWfJ1gAAAAJ,4784.0,37.0,1992.0
Andrea Bianchi,KAIST,http://alsoplantsfly.com,wVDtZB0AAAAJ,1276.0,20.0,2009.0
Jongse Park,KAIST,https://jongse-park.github.io,4Fw2ma4AAAAJ,1975.0,17.0,2012.0
Changick Kim,KAIST,https://cilabs.kaist.ac.kr/members/professor,ABH_2lcAAAAJ,5810.0,39.0,1989.0
