name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Wannida Sae-Tang,KMUTNB,https://tggs.kmutnb.ac.th/asst-prof-dr-wannida-sae-tang,,,,
Sansiri Tanachutiwat,KMUTNB,https://tggs.kmutnb.ac.th/dr-sansiri-tanachutiwa,,,,
Rachata Ausavarungnirun,KMUTNB,https://rausavar.github.io,fIUdEFwAAAAJ,3281.0,29.0,2011.0
Soamsiri Chantaraskul,KMUTNB,https://tggs.kmutnb.ac.th/assoc-prof-dr-soamsiri-chantaraskul,mkaZZ4QAAAAJ,201.0,8.0,2003.0
Chaiyod Pirak,KMUTNB,https://tggs.kmutnb.ac.th/assoc-prof-dr-chaiyod-pirak,bOiR98IAAAAJ,402.0,11.0,2003.0
Wijarn Wangdee,KMUTNB,https://tggs.kmutnb.ac.th/assoc-prof-dr-wijarn-wangdee,,,,
Nisai H. Fuengwarodsakul,KMUTNB,https://tggs.kmutnb.ac.th/assoc-prof-dr-ing-nisai-fuengwarodsakul,U6DtNjIAAAAJ,679.0,15.0,2003.0
Yodsawalai Chodpathumwan,KMUTNB,https://tggs.kmutnb.ac.th/?page_id=2947,4K13tqIAAAAJ,602.0,5.0,2011.0
Chayakorn Netramai,KMUTNB,https://tggs.kmutnb.ac.th/asst-prof-dr-ing-chayakorn-netramai,mGzsTX4AAAAJ,94.0,5.0,2006.0
Suramate Chalermwisutkul,KMUTNB,https://tggs.kmutnb.ac.th/asst-prof-dr-ing-suramate-chalermwisutkul,,,,
Thanapong Suwanasri,KMUTNB,https://tggs.kmutnb.ac.th/assoc-prof-dr-ing-thanapong-suwanasri,QoeZIvIAAAAJ,420.0,12.0,2006.0
