name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jonathan I. Maletic,Kent State University,http://www.cs.kent.edu/~jmaletic,n9_W4kYAAAAJ,9362.0,44.0,1989.0
Cheng Chang Lu,Kent State University,http://www.cs.kent.edu/~lucc,,,,
Jungyong Kim,Kent State University,https://www.kent.edu/cs/jungyoon-kim,z2BCKT4AAAAJ,547.0,9.0,2006.0
Gokarna Sharma,Kent State University,http://www.cs.kent.edu/~sharma,PnmtA3wAAAAJ,863.0,15.0,2008.0
Kwangtaek Kim,Kent State University,https://www.kent.edu/cs/kwangtaek-kim,,,,
Kambiz Ghazinour,Kent State University,https://www.kent.edu/cs/profile/kambiz-ghazinour,S5Dabo0AAAAJ,571.0,12.0,2007.0
Hassan Peyravi,Kent State University,https://www.kent.edu/cs/hassan-peyravi,,,,
Austin C. Melton,Kent State University,https://www.kent.edu/node/austin-melton,J53ahJsAAAAJ,2254.0,21.0,1982.0
Arden Ruttan,Kent State University,https://www.kent.edu/cs/profile/arden-ruttan,,,,
Paul A. Farrell,Kent State University,https://www.kent.edu/cs/profile/paul-farrell,,,,
Mikhail Nesterenko,Kent State University,http://vega.cs.kent.edu/~mikhail,GjcGFa4AAAAJ,3365.0,20.0,1996.0
Javed Khan,Kent State University,http://www.cs.kent.edu/~javed,,,,
Qiang Guan,Kent State University,http://www.cs.kent.edu/~qguan,kpPoy4gAAAAJ,1112.0,19.0,2006.0
Xiang Lian,Kent State University,https://www.kent.edu/cs/xiang-lian,xvrh8YMAAAAJ,3378.0,30.0,2004.0
Jong-Hoon Kim,Kent State University,http://www.atr.cs.kent.edu/people/jong-hoon_kim,,,,
Ruoming Jin,Kent State University,http://www.cs.kent.edu/~jin,lNQmMTMAAAAJ,5874.0,43.0,2000.0
Angela Guercio,Kent State University,https://www.kent.edu/cs/angela-guercio-0,6LcqhvAAAAAJ,755.0,11.0,1986.0
Arvind K. Bansal,Kent State University,https://www.kent.edu/cs/arvind-k-bansal,LcDL4RsAAAAJ,923.0,15.0,1987.0
Dianne Foreback,Kent State University,https://www.kent.edu/ehhs/hs/profile/dr-dianne-kerr,KLexhgsAAAAJ,26.0,3.0,2013.0
Younghun Chae,Kent State University,https://www.kent.edu/cs/younghun-chae,5INt75sAAAAJ,107.0,4.0,2012.0
Augustine Samba,Kent State University,https://www.kent.edu/cs/augustine-gus-samba,,,,
Ye Zhao,Kent State University,http://www.cs.kent.edu/~zhao,,,,
L. Gwenn Volkert,Kent State University,http://www.cs.kent.edu/~volkert,,,,
Feodor F. Dragan,Kent State University,https://www.kent.edu/cs/feodor-f-dragan,U74_kMcAAAAJ,3273.0,34.0,1989.0
