name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Michael W. Spratling,King's College London,https://www.kcl.ac.uk/people/michael-spratling,A2tJIE4AAAAJ,4219.0,24.0,1994.0
Helen Yannakoudakis,King's College London,https://www.kcl.ac.uk/people/helen-yannakoudakis,B3WGvRsAAAAJ,1709.0,18.0,2010.0
Jeffery Raphael,King's College London,https://www.kcl.ac.uk/people/jeffery-raphael,xaZeEVsAAAAJ,37.0,3.0,2013.0
Laurence Robert Tratt,King's College London,https://www.kcl.ac.uk/people/laurence-tratt,_iWWkmIAAAAJ,2061.0,22.0,2002.0
Maria Polukarov,King's College London,https://www.kcl.ac.uk/people/maria-polukarov,nL-zXO4AAAAJ,1249.0,19.0,2005.0
Kevin Lano,King's College London,https://www.kcl.ac.uk/people/kevin-lano,JL7C3nMAAAAJ,4972.0,36.0,1986.0
Carmine Ventre,King's College London,https://www.kcl.ac.uk/people/carmine-ventre,kx8cKycAAAAJ,836.0,19.0,2003.0
Steffen Zschaler,King's College London,https://www.kcl.ac.uk/people/steffen-zschaler,MwQDdX4AAAAJ,2114.0,23.0,1998.0
Katie Bentley,King's College London,https://www.kcl.ac.uk/people/katie-bentley,vCDdIT4AAAAJ,3552.0,22.0,2002.0
Amanda Jane Coles,King's College London,https://www.kcl.ac.uk/people/amanda-coles,EArg5moAAAAJ,1812.0,21.0,1995.0
Jeroen Keppens,King's College London,https://www.kcl.ac.uk/people/jeroen-keppens,6uEtmfoAAAAJ,949.0,17.0,1994.0
Simon Parsons,King's College London,https://www.kcl.ac.uk/people/professor-simon-parsons,L9z6PakAAAAJ,16889.0,60.0,1970.0
Grigorios Loukides,King's College London,https://www.kcl.ac.uk/people/grigorios-loukides,OtmncdQAAAAJ,1908.0,26.0,2006.0
Bart de Keijzer,King's College London,https://www.kcl.ac.uk/people/bart-de-keijzer,JnVqd-oAAAAJ,836.0,15.0,2008.0
Andrew Coles,King's College London,https://www.kcl.ac.uk/people/andrew-coles,EMiUE40AAAAJ,2031.0,22.0,2004.0
Odinaldo Rodrigues,King's College London,https://www.kcl.ac.uk/people/odinaldo-rodrigues,oWihRAoAAAAJ,550.0,14.0,1993.0
Peter John McBurney,King's College London,https://www.kcl.ac.uk/people/peter-mcburney,mInKMwYAAAAJ,10154.0,49.0,1981.0
Petr Slovák,King's College London,https://www.kcl.ac.uk/people/petr-slovak,E7fLCOMAAAAJ,938.0,16.0,2007.0
Alfie Abdul-Rahman,King's College London,https://www.kcl.ac.uk/people/alfie-abdul-rahman,odURYTkAAAAJ,515.0,10.0,2005.0
Natalia Criado,King's College London,https://www.kcl.ac.uk/people/natalia-criado,9TL1eM4AAAAJ,1077.0,19.0,2008.0
Josh Murphy,King's College London,https://www.kcl.ac.uk/people/josh-murphy,ao4psAsAAAAJ,64.0,4.0,2015.0
Kathleen Steinhöfel,King's College London,https://www.kcl.ac.uk/people/kathleen-steinhofel,,,,
Michael Luck,King's College London,https://www.kcl.ac.uk/people/professor-michael-luck,mKVcy8sAAAAJ,13550.0,54.0,
Luc Moreau,King's College London,https://www.kcl.ac.uk/people/luc-moreau,q6JskukAAAAJ,10935.0,51.0,1992.0
