name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Takeyuki Tamura,Kyoto University,http://sunflower.kuicr.kyoto-u.ac.jp/~tamura/index.html.en,OfCjNzEAAAAJ,843.0,18.0,1985.0
Shuichi Miyazaki,Kyoto University,http://www.lab2.kuis.kyoto-u.ac.jp/~shuichi,6rzcMYwAAAAJ,1971.0,22.0,1993.0
Shin-ichi Minato,Kyoto University,http://www.lab2.kuis.kyoto-u.ac.jp/minato/index-e.html,REcGeeQAAAAJ,4391.0,28.0,1970.0
Akihiro Yamamoto,Kyoto University,http://www.iip.ist.i.kyoto-u.ac.jp/member/akihiro/index-e.html,,,,
Hisashi Kashima,Kyoto University,http://www.ml.ist.i.kyoto-u.ac.jp/en,bkTB0t8AAAAJ,8424.0,44.0,1998.0
Naofumi Takagi,Kyoto University,http://www.lab3.kuis.kyoto-u.ac.jp/~ntakagi/ntakagi.html,,,,
Shohei Nobuhara,Kyoto University,https://shohei.nobuhara.org/index.en.html,keXiLQ0AAAAJ,1599.0,16.0,2002.0
Ken Umeno,Kyoto University,http://chaosken.amp.i.kyoto-u.ac.jp/index_eng.html,,,,
Naoshi Nishimura,Kyoto University,http://www.cs.kyoto-u.ac.jp/en/profile/naoshi-nishimura,,,,
Kazuyuki Yagasaki,Kyoto University,http://yang.amp.i.kyoto-u.ac.jp/~yagasaki/index_e.html,,,,
Makoto Yamada,Kyoto University,https://riken-yamada.github.io,1cKNu1gAAAAJ,3314.0,30.0,
Hiroshi Nagamochi,Kyoto University,https://www-or.amp.i.kyoto-u.ac.jp/members/nag/index-e.html,,,,
Shigeo Matsubara,Kyoto University,https://kyouindb.iimc.kyoto-u.ac.jp/e/yU9jT,,,,
Toyoaki Nishida,Kyoto University,https://www.ii.ist.i.kyoto-u.ac.jp/?page_id=181&lang=en,yBpGoLMAAAAJ,4969.0,31.0,1958.0
