name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Klas Nilsson,Lund University,http://cs.lth.se/klas_nilsson,,,,
Martin Höst,Lund University,http://www.lunduniversity.lu.se/lucat/user/78d0f2fe1123024a5c3000141a36af85,9HNtvo0AAAAJ,19725.0,33.0,1995.0
Christin Lindholm,Lund University,http://cs.lth.se/christin_lindholm,,,,
Anders Robertsson,Lund University,http://www.control.lth.se/Staff/AndersRobertsson.html,YZNvXjAAAAAJ,4939.0,35.0,1970.0
Flavius Gruian,Lund University,http://www.lunduniversity.lu.se/lucat/user/2b6e0dd31045e02d96f26f40904362d9,SafG-QUAAAAJ,1172.0,15.0,1998.0
Jörn Janneck,Lund University,http://www.lunduniversity.lu.se/lucat/user/6d94f235ba6e4b38f5fbc1a7b0ed0c00,acaDIH8AAAAJ,4089.0,29.0,1997.0
Krzysztof Kuchcinski,Lund University,http://cs.lth.se/krzysztof_kuchcinski,,,,
Karl-Erik Årzen,Lund University,http://www.control.lth.se/Staff/KarlErikArzen.html,OZIadUUAAAAJ,9985.0,40.0,
Christoph Reichenbach,Lund University,https://creichen.net,xRdVrfAAAAAJ,434.0,12.0,2002.0
Per Andersson,Lund University,http://www.svet.lu.se/en/per-andersson,38DogacAAAAJ,5901.0,47.0,1988.0
Amir Aminifar,Lund University,https://www.eit.lth.se/staff/amir.aminifar,4eSC97MAAAAJ,813.0,17.0,2011.0
Björn Regnell,Lund University,http://cs.lth.se/bjorn-regnell,W37CtAwAAAAJ,18350.0,44.0,1994.0
Maria Kihl,Lund University,http://www.eit.lth.se/staff/maria.kihl,a8CP0V8AAAAJ,3065.0,26.0,1995.0
Per Runeson,Lund University,http://cs.lth.se/per_runeson,7B58FysAAAAJ,23915.0,47.0,1992.0
